Unnamed: 0,L4_tcp,L4_udp,L7_http,L7_https,port_class_src,port_class_dst,pck_size,ip_dst_new,ethernet_frame_size ,ttl,total_length,protocol ,source_port,dest_port,DNS_count,NTP_count,ARP_count,cnt,L3_ip_dst_count,most_freq_d_ip,most_freq_prot,most_freq_sport,most_freq_dport,sum_et,min_et,max_et,med_et,average_et,skew_et,kurt_et,var,q3,q1,iqr,sum_e,min_e,max_e,med,average,skew_e,kurt_e,var_e,q3_e,q1_e,iqr_e,epoch_timestamp,inter_arrival_time,time_since_previously_displayed_frame
0,1,0,0,0,2,2,233,3232270836,267,224,253,6,8886,40407,0,0,0,0,12,3232270809,17,5000,5000,1942,54,267,168.5,161.83333333333334,-0.1337019345465729,-1.4914805739262922,6253.805555555556,219.25,105.75,113.5,773,180,233,180.0,193.25,1.1547005383792517,-0.6666666666666665,526.6875,193.25,180.0,13.25,1633458188.750299,0.0,0.0
1,1,0,0,0,2,2,20,597822746,54,255,40,6,40407,8886,0,0,0,0,12,3232270809,17,5000,5000,1996,54,267,123.0,153.53846153846155,0.0135815095091236,-1.5674051985938018,6598.402366863905,214.0,54.0,160.0,793,20,233,180.0,158.6,-1.1766472417690428,-0.0662228274116238,5223.84,180.0,180.0,0.0,1633458188.799594,0.0492949485778808,0.0492949485778808
2,1,0,0,0,2,2,201,597822746,235,255,221,6,40407,8886,0,0,0,0,12,3232270809,17,5000,5000,2231,54,267,168.5,159.35714285714286,-0.1305201587839831,-1.5776157872137508,6567.229591836736,229.75,71.25,158.5,994,20,233,180.0,165.66666666666666,-1.4584339846653458,0.7167928200570799,4602.888888888889,195.75,180.0,15.75,1633458189.105593,0.3059990406036377,0.3552939891815185
3,1,0,0,0,2,2,89,3232270836,123,224,109,6,8886,40407,0,0,0,0,12,3232270809,17,5000,5000,2354,54,267,123.0,156.93333333333334,-0.0466815662916546,-1.524506638268308,6211.662222222221,224.5,88.5,136.0,1083,20,233,180.0,154.71428571428572,-0.942033336716858,-0.4309204948710294,4665.061224489796,190.5,134.5,56.0,1633458189.293296,0.1877031326293945,0.542997121810913
4,1,0,0,0,2,2,20,597822746,54,255,40,6,40407,8886,0,0,0,0,12,3232270809,17,5000,5000,2408,54,267,123.0,150.5,0.0677570099411103,-1.5626793630350744,6444.25,219.25,54.0,165.25,1103,20,233,180.0,137.875,-0.5438142210102601,-1.3052493067553603,6066.859375,185.25,71.75,113.5,1633458189.301359,0.0080628395080566,0.5510599613189696
5,0,1,0,0,3,2,180,4294967295,214,255,200,17,54554,6667,0,0,0,0,12,3232270809,17,5000,5000,2622,54,267,123.0,154.23529411764707,-0.0450551948598964,-1.5599925119923497,6288.415224913496,214.0,54.0,160.0,1283,20,233,180.0,142.55555555555554,-0.7182180138543569,-1.0436754753263018,5568.024691358025,180.0,89.0,91.0,1633458189.631427,0.3300681114196777,0.8811280727386472
6,1,0,0,0,2,2,89,597822746,123,255,109,6,40407,8886,0,0,0,0,12,3232270809,17,5000,5000,2745,54,267,123.0,152.5,0.017853485827226,-1.5011759910298474,5990.25,214.0,71.25,142.75,1372,20,233,180.0,137.2,-0.5205473564141946,-1.1907412043301322,5269.36,180.0,89.0,91.0,1633458192.073047,2.441619873046875,3.3227479457855225
7,1,0,0,0,2,2,89,3232270836,123,224,109,6,8886,40407,0,0,0,0,12,3232270809,17,5000,5000,2868,54,267,123.0,150.94736842105263,0.076614480614183,-1.4368456743458558,5718.365650969528,214.0,88.5,125.5,1461,20,233,180.0,132.8181818181818,-0.3571749957053129,-1.2523119477400433,4982.330578512396,180.0,89.0,91.0,1633458192.278761,0.2057139873504638,3.5284619331359863
8,1,0,0,0,2,2,20,597822746,54,255,40,6,40407,8886,0,0,0,0,12,3232270809,17,5000,5000,2922,54,267,123.0,146.1,0.1586645268406033,-1.451068267257632,5878.890000000001,214.0,54.0,160.0,1481,20,233,134.5,123.41666666666669,-0.1885560466570652,-1.4552845503543288,5539.409722222222,180.0,71.75,108.25,1633458192.30004,0.0212790966033935,3.54974102973938
9,0,1,0,0,3,2,180,4294967295,214,255,200,17,54554,6667,0,0,0,0,12,3232270809,17,5000,5000,214,214,214,214.0,214.0,0.0,-3.0,0.0,214.0,214.0,0.0,1661,20,233,180.0,127.76923076923076,-0.327041993333041,-1.3817320011492242,5340.639053254437,180.0,89.0,91.0,1633458194.634144,2.334104061126709,5.883845090866089
10,0,1,0,0,3,2,180,4294967295,214,255,200,17,54554,6667,0,0,0,0,12,3232270809,17,5000,5000,428,214,214,214.0,214.0,0.0,-3.0,0.0,214.0,214.0,0.0,1841,20,233,180.0,131.5,-0.4502593391223532,-1.2802006078496466,5140.107142857143,180.0,89.0,91.0,1633458199.6373,5.003155946731567,10.887001037597656
