Unnamed: 0,L4_tcp,L4_udp,L7_http,L7_https,port_class_src,port_class_dst,pck_size,ip_dst_new,ethernet_frame_size ,ttl,total_length,protocol ,source_port,dest_port,DNS_count,NTP_count,ARP_count,cnt,L3_ip_dst_count,most_freq_d_ip,most_freq_prot,most_freq_sport,most_freq_dport,sum_et,min_et,max_et,med_et,average_et,skew_et,kurt_et,var,q3,q1,iqr,sum_e,min_e,max_e,med,average,skew_e,kurt_e,var_e,q3_e,q1_e,iqr_e,epoch_timestamp,inter_arrival_time,time_since_previously_displayed_frame
0,0,1,0,0,2,2,12,795910705,46,64,32,17,23029,32100,0,0,0,0,6,3232270632,17,32100,32100,414,46,90,62.0,59.142857142857146,1.0364113722750838,0.1210476110316181,213.55102040816328,62.0,46.0,16.0,152,12,56,28.0,30.4,0.7305950546519626,-0.3388479410350902,202.24,28.0,28.0,0.0,1634043514.232405,0.0,0.0
1,0,1,0,0,2,2,12,313968685,46,64,32,17,23029,32100,0,0,0,0,6,3232270632,17,32100,32100,460,46,90,54.0,57.5,1.2078675444014355,0.5045140544698365,205.75,62.0,46.0,16.0,164,12,56,28.0,27.33333333333333,0.8609667006348564,-0.1810776915718985,215.55555555555557,28.0,16.0,12.0,1634043514.232405,0.0,0.0
2,0,1,0,0,2,2,12,64861754,46,64,32,17,23029,32100,0,0,0,0,6,3232270632,17,32100,32100,506,46,90,46.0,56.22222222222222,1.3681959246482218,0.9345977497398552,195.9506172839506,62.0,46.0,16.0,176,12,56,28.0,25.142857142857142,1.0364113722750845,0.1210476110316189,213.5510204081633,28.0,12.0,16.0,1634043514.232405,0.0,0.0
3,0,1,0,0,2,2,28,3232270632,62,37,48,17,32100,23029,0,0,0,0,6,3232270632,17,32100,32100,568,46,90,54.0,56.8,1.2846439015865876,0.9971455650420472,179.36,62.0,46.0,16.0,204,12,56,28.0,25.5,1.022997831442375,0.4225701727479207,187.75,28.0,12.0,16.0,1634043514.262052,0.0296471118927001,0.0296471118927001
4,0,1,0,0,2,2,28,3232270632,62,41,48,17,32100,23029,0,0,0,0,6,3232270632,17,32100,32100,630,46,90,62.0,57.27272727272727,1.215771115300902,1.0942783999999977,165.28925619834715,62.0,46.0,16.0,232,12,56,28.0,25.77777777777778,1.0154638860782208,0.7322779458882156,167.50617283950618,28.0,12.0,16.0,1634043514.480065,0.218013048171997,0.2476601600646971
5,0,1,0,0,2,2,28,3232270632,62,37,48,17,32100,23029,0,0,0,0,6,3232270632,17,32100,32100,692,46,90,62.0,57.66666666666666,1.1578040145032775,1.2158225448441646,153.22222222222223,62.0,46.0,16.0,260,12,56,28.0,26.0,1.0120445200947752,1.0476190476190483,151.2,28.0,16.0,12.0,1634043514.518013,0.0379478931427001,0.2856080532073972
6,0,1,0,0,2,1,56,3415408643,90,64,76,17,38968,123,0,1,0,0,6,3232270632,17,32100,32100,782,46,90,62.0,60.15384615384615,0.9480222939713744,-0.0434098422826729,215.6686390532544,62.0,46.0,16.0,316,12,56,28.0,28.727272727272727,0.7821891870557314,-0.2825891792562656,211.83471074380165,28.0,20.0,8.0,1634043516.095853,1.5778400897979736,1.8634481430053709
7,0,1,0,0,2,1,56,3415408643,90,64,76,17,45311,123,0,2,0,0,6,3232270632,17,32100,32100,872,46,90,62.0,62.285714285714285,0.7227961652272715,-0.746971192556984,259.3469387755102,62.0,46.0,16.0,372,12,56,28.0,31.0,0.5477057410147471,-0.9321439342232662,251.0,35.0,24.0,11.0,1634043523.116466,7.020612955093384,8.884061098098755
8,0,1,0,0,2,1,44,3232270593,78,64,64,17,39123,53,1,2,0,0,6,3232270632,17,32100,32100,950,46,90,62.0,63.333333333333336,0.5486622112575048,-0.9731616861512165,257.4222222222222,70.0,46.0,24.0,416,12,56,28.0,32.0,0.3804707032778239,-1.0601469237832872,243.69230769230768,44.0,28.0,16.0,1634043524.533952,1.4174859523773191,10.301547050476074
9,0,1,0,0,1,2,60,3232270632,94,128,80,17,53,39123,2,2,0,0,6,3232270632,17,32100,32100,1044,46,94,62.0,65.25,0.4340638954335694,-1.2058482802913526,296.4375,81.0,46.0,35.0,476,12,60,28.0,34.0,0.2658761207941105,-1.2657387769902473,278.2857142857143,53.0,28.0,25.0,1634043524.536226,0.0022740364074707,10.303821086883545
10,0,1,0,0,3,1,43,3232270593,77,64,63,17,55771,53,3,2,0,0,6,3232270632,17,32100,32100,1121,46,94,62.0,65.94117647058823,0.3267686824683048,-1.2437402020638182,286.64359861591697,78.0,46.0,32.0,519,12,60,28.0,34.6,0.1679973434008146,-1.2386286728835465,264.7733333333333,50.0,28.0,22.0,1634043524.538739,0.0025129318237304,10.306334018707275
11,0,1,0,0,1,3,59,3232270632,93,128,79,17,53,55771,4,2,0,0,6,3232270632,17,32100,32100,1214,46,94,62.0,67.44444444444444,0.2209337178851231,-1.3817209525462135,309.13580246913585,87.0,50.0,37.0,578,12,60,28.0,36.125,0.0603975190125928,-1.350540047648942,283.109375,56.0,28.0,28.0,1634043524.540854,0.0021150112152099,10.308449029922485
12,0,1,0,0,2,2,12,795910705,46,64,32,17,24646,32100,4,2,0,0,6,3232270632,17,32100,32100,1260,46,94,62.0,66.3157894736842,0.3010261161217835,-1.3670051737590594,315.7950138504155,84.0,46.0,38.0,590,12,60,28.0,34.705882352941174,0.1393436585366987,-1.3765618018188304,298.6782006920416,56.0,28.0,28.0,1634043524.543128,0.0022740364074707,10.310723066329956
13,0,1,0,0,2,2,12,313968685,46,64,32,17,24646,32100,4,2,0,0,6,3232270632,17,32100,32100,1306,46,94,62.0,65.3,0.3781365497295214,-1.3355278047488883,319.61,81.0,46.0,35.0,602,12,60,28.0,33.44444444444444,0.2209337178851232,-1.3817209525462129,309.13580246913574,53.0,16.0,37.0,1634043524.543128,0.0,10.310723066329956
14,0,1,0,0,2,2,12,64861754,46,64,32,17,24646,32100,4,2,0,0,6,3232270632,17,32100,32100,46,46,46,46.0,46.0,0.0,-3.0,0.0,46.0,46.0,0.0,614,12,60,28.0,32.31578947368421,0.3010261161217823,-1.3670051737590607,315.7950138504156,50.0,12.0,38.0,1634043524.543128,0.0,10.310723066329956
15,0,1,0,0,2,2,28,3232270632,62,38,48,17,32100,24646,4,2,0,0,6,3232270632,17,32100,32100,108,46,62,54.0,54.0,0.0,-2.0,64.0,58.0,50.0,8.0,642,12,60,28.0,32.1,0.3440374380165687,-1.274769399950939,300.89,47.0,12.0,35.0,1634043524.574114,0.0309860706329345,10.34170913696289
