Unnamed: 0,L4_tcp,L4_udp,L7_http,L7_https,port_class_src,port_class_dst,pck_size,ip_dst_new,ethernet_frame_size ,ttl,total_length,protocol ,source_port,dest_port,DNS_count,NTP_count,ARP_count,cnt,L3_ip_dst_count,most_freq_d_ip,most_freq_prot,most_freq_sport,most_freq_dport,sum_et,min_et,max_et,med_et,average_et,skew_et,kurt_et,var,q3,q1,iqr,sum_e,min_e,max_e,med,average,skew_e,kurt_e,var_e,q3_e,q1_e,iqr_e,epoch_timestamp,inter_arrival_time,time_since_previously_displayed_frame
0,0,1,0,0,2,1,56,3415408643,90,64,76,17,42023,123,0,1,0,0,6,3232270632,17,32100,32100,458,46,90,62.0,65.42857142857143,0.440970021879683,-1.2206981237792525,285.38775510204084,76.0,54.0,22.0,458,12,60,28.0,35.23076923076923,0.0719966032234433,-1.506746206279563,322.02366863905326,56.0,20.0,36.0,1634044154.907656,0.0,0.0
1,0,1,0,0,2,1,44,3232270593,78,64,64,17,47426,53,1,1,0,0,6,3232270632,17,32100,32100,536,46,90,62.0,67.0,0.1939114576450713,-1.3076631738416866,267.0,81.0,58.0,23.0,502,12,60,35.5,35.857142857142854,-0.0258748213368794,-1.4448259294414734,304.1224489795918,53.0,22.0,31.0,1634044157.881282,2.973626136779785,2.973626136779785
2,0,1,0,0,1,2,60,3232270632,94,128,80,17,53,47426,2,1,0,0,6,3232270632,17,32100,32100,630,46,94,62.0,70.0,0.0235271806627935,-1.4536266349583826,309.3333333333333,90.0,62.0,28.0,562,12,60,43.0,37.46666666666667,-0.1291672001352019,-1.4710287191473956,320.11555555555555,56.0,24.0,32.0,1634044157.883499,0.0022168159484863,2.9758429527282715
3,0,1,0,0,2,1,43,3232270593,77,64,63,17,46945,53,3,1,0,0,6,3232270632,17,32100,32100,707,46,94,69.5,70.7,-0.0935121312247557,-1.3268019701371907,282.81000000000006,87.0,62.0,25.0,605,12,60,43.0,37.8125,-0.1899163848398144,-1.3750366342464244,301.90234375,56.0,26.0,30.0,1634044157.885302,0.0018031597137451,2.9776461124420166
4,0,1,0,0,1,2,59,3232270632,93,128,79,17,53,46945,4,1,0,0,6,3232270632,17,32100,32100,800,46,94,77.0,72.72727272727273,-0.2365492559270033,-1.3508290588441294,298.198347107438,90.0,62.0,28.0,664,12,60,43.0,39.05882352941177,-0.2826795066030634,-1.3659052639102935,308.9965397923875,56.0,28.0,28.0,1634044157.88725,0.0019478797912597,2.9795939922332764
5,0,1,0,0,2,2,12,795910705,46,64,32,17,16750,32100,4,1,0,0,6,3232270632,17,32100,32100,846,46,94,69.5,70.5,-0.0851286848326553,-1.4872665567698742,327.9166666666667,90.0,58.0,32.0,676,12,60,43.0,37.55555555555556,-0.1762945058786819,-1.4752724492968816,330.2469135802469,56.0,22.0,34.0,1634044157.891761,0.0045111179351806,2.984105110168457
6,0,1,0,0,2,2,12,313968685,46,64,32,17,16750,32100,4,1,0,0,6,3232270632,17,32100,32100,892,46,94,62.0,68.61538461538461,0.0562876024866552,-1.5473395798742762,345.3136094674556,90.0,46.0,44.0,688,12,60,43.0,36.21052631578947,-0.0754652242210108,-1.5448689289901218,345.42936288088646,56.0,16.0,40.0,1634044157.891761,0.0,2.984105110168457
7,0,1,0,0,2,2,12,64861754,46,64,32,17,16750,32100,4,1,0,0,6,3232270632,17,32100,32100,938,46,94,62.0,67.0,0.1844821591018568,-1.5529056588582029,354.57142857142856,87.0,46.0,41.0,700,12,60,35.5,35.0,0.0185797381214597,-1.5828998863779826,356.0,56.0,12.0,44.0,1634044157.891761,0.0,2.984105110168457
8,0,1,0,0,2,2,28,3232270632,62,37,48,17,32100,16750,4,1,0,0,6,3232270632,17,32100,32100,1000,46,94,62.0,66.66666666666667,0.2430919987205699,-1.4478683609313268,332.4888888888889,84.0,46.0,38.0,28,28,28,28.0,28.0,0.0,-3.0,0.0,28.0,28.0,0.0,1634044157.921182,0.0294208526611328,3.01352596282959
9,0,1,0,0,2,2,28,3232270632,62,37,48,17,32100,16750,4,1,0,0,6,3232270632,17,32100,32100,1062,46,94,62.0,66.375,0.2978470133319201,-1.3395518659422212,312.984375,81.0,46.0,35.0,56,28,28,28.0,28.0,0.0,-3.0,0.0,28.0,28.0,0.0,1634044158.140014,0.2188320159912109,3.232357978820801
10,0,1,0,0,2,2,28,3232270632,62,40,48,17,32100,16750,4,1,0,0,6,3232270632,17,32100,32100,1124,46,94,62.0,66.11764705882354,0.3493015509814683,-1.2285836302414217,295.6332179930796,78.0,46.0,32.0,84,28,28,28.0,28.0,0.0,-3.0,0.0,28.0,28.0,0.0,1634044158.177857,0.0378429889678955,3.2702009677886963
11,0,1,0,0,2,1,56,3415408643,90,64,76,17,45222,123,4,2,0,0,6,3232270632,17,32100,32100,1214,46,94,62.0,67.44444444444444,0.2209337178851231,-1.3817209525462135,309.13580246913585,87.0,50.0,37.0,140,28,56,28.0,35.0,1.1547005383792517,-0.6666666666666665,147.0,35.0,28.0,7.0,1634044161.921051,3.743194103240967,7.013395071029663
12,0,1,0,0,3,1,44,3232270593,78,64,64,17,52566,53,5,2,0,0,6,3232270632,17,32100,32100,1292,46,94,62.0,68.0,0.1361736019536261,-1.3712122654274332,298.42105263157896,84.0,54.0,30.0,184,28,56,28.0,36.8,0.7248508670262646,-1.1629181084198374,130.56,44.0,28.0,16.0,1634044168.190405,6.269353866577148,13.282748937606812
13,0,1,0,0,1,3,60,3232270632,94,128,80,17,53,52566,6,2,0,0,6,3232270632,17,32100,32100,1386,46,94,62.0,69.3,0.0557565871341191,-1.435700967436474,315.61,90.0,58.0,32.0,244,28,60,36.0,40.66666666666666,0.3197845179716591,-1.6528325780182798,183.55555555555557,53.0,28.0,25.0,1634044168.19254,0.0021350383758544,13.284883975982666
14,0,1,0,0,2,1,43,3232270593,77,64,63,17,36980,53,7,2,0,0,6,3232270632,17,32100,32100,77,77,77,77.0,77.0,0.0,-3.0,0.0,77.0,77.0,0.0,287,28,60,43.0,41.0,0.2645623590595239,-1.4736534895964477,158.0,50.0,28.0,22.0,1634044168.196865,0.0043251514434814,13.289209127426147
15,0,1,0,0,1,2,59,3232270632,93,128,79,17,53,36980,8,2,0,0,6,3232270632,17,32100,32100,170,77,93,85.0,85.0,0.0,-2.0,64.0,89.0,81.0,8.0,346,28,60,43.5,43.25,0.0021706724778018,-1.6370480759606472,173.6875,56.75,28.0,28.75,1634044168.198887,0.0020220279693603,13.291231155395508
16,0,1,0,0,2,2,12,795910705,46,64,32,17,15318,32100,8,2,0,0,6,3232270632,17,32100,32100,216,46,93,77.0,72.0,-0.3675744983985478,-1.5000000000000002,380.6666666666667,85.0,61.5,23.5,358,12,60,43.0,39.77777777777778,-0.1841664037534899,-1.1872423708627855,250.83950617283952,56.0,28.0,28.0,1634044168.212698,0.0138108730316162,13.305042028427124
17,0,1,0,0,2,2,12,313968685,46,64,32,17,15318,32100,8,2,0,0,6,3232270632,17,32100,32100,262,46,93,61.5,65.5,0.2236479120091544,-1.7075846912383454,412.25,81.0,46.0,35.0,370,12,60,35.5,37.0,-0.0631710328490777,-1.3371615220217243,295.2,53.0,28.0,25.0,1634044168.212698,0.0,13.305042028427124
18,0,1,0,0,2,2,12,64861754,46,64,32,17,15318,32100,8,2,0,0,6,3232270632,17,32100,32100,308,46,93,46.0,61.6,0.6015441972479166,-1.4193481763665012,390.64,77.0,46.0,31.0,382,12,60,28.0,34.72727272727273,0.0841854371151227,-1.4212592764954657,320.01652892561987,50.0,20.0,30.0,1634044168.212698,0.0,13.305042028427124
19,0,1,0,0,2,2,28,3232270632,62,32,48,17,32100,15318,8,2,0,0,6,3232270632,17,32100,32100,370,46,93,54.0,61.66666666666666,0.647808414765976,-1.113132826241423,325.55555555555554,73.25,46.0,27.25,410,12,60,28.0,34.166666666666664,0.1790908014271816,-1.298730389034347,296.8055555555555,47.0,24.0,23.0,1634044168.242393,0.0296950340270996,13.334737062454224
20,0,1,0,0,2,2,28,3232270632,62,37,48,17,32100,15318,8,2,0,0,6,3232270632,17,32100,32100,432,46,93,62.0,61.71428571428572,0.6911113059298499,-0.806798571615881,279.0612244897959,69.5,46.0,23.5,438,12,60,28.0,33.69230769230769,0.2653396435561583,-1.1659157577944166,276.6745562130177,44.0,28.0,16.0,1634044168.466354,0.2239608764648437,13.558697938919067
21,0,1,0,0,2,2,28,3232270632,62,41,48,17,32100,15318,8,2,0,0,6,3232270632,17,32100,32100,494,46,93,62.0,61.75,0.7319328092330255,-0.5003900187944055,244.1875,65.75,46.0,19.75,466,12,60,28.0,33.285714285714285,0.3445776132008496,-1.0253615114472694,259.0612244897959,43.75,28.0,15.75,1634044168.503751,0.0373971462249755,13.596095085144043
22,0,1,0,0,3,1,56,3415408643,90,64,76,17,56142,123,8,3,0,0,6,3232270632,17,32100,32100,584,46,93,62.0,64.88888888888889,0.4264785003932981,-1.190465168362905,295.8765432098765,77.0,46.0,31.0,522,12,60,28.0,34.8,0.1929343127169509,-1.235561967307522,273.8933333333334,50.0,28.0,22.0,1634044168.940364,0.4366128444671631,14.032707929611206
23,0,1,0,0,2,1,56,3415408643,90,64,76,17,46286,123,8,4,0,0,6,3232270632,17,32100,32100,674,46,93,62.0,67.4,0.1873009676138718,-1.474939228885764,323.04,86.75,50.0,36.75,578,12,60,28.0,36.125,0.0603975190125928,-1.350540047648942,283.109375,56.0,28.0,28.0,1634044175.959966,7.019602060317993,21.0523099899292
24,0,1,0,0,2,1,44,3232270593,78,64,64,17,41983,53,9,4,0,0,6,3232270632,17,32100,32100,752,46,93,62.0,68.36363636363636,0.0417542253770665,-1.438837008680648,302.9586776859505,84.0,54.0,30.0,622,12,60,28.0,36.588235294117645,-0.0170631948616984,-1.2914960406966984,269.88927335640136,56.0,28.0,28.0,1634044178.520571,2.560605049133301,23.6129150390625
25,0,1,0,0,1,2,60,3232270632,94,128,80,17,53,41983,10,4,0,0,6,3232270632,17,32100,32100,846,46,94,69.5,70.5,-0.0851286848326553,-1.4872665567698742,327.9166666666667,90.0,58.0,32.0,682,12,60,35.5,37.888888888888886,-0.0978704678748591,-1.3373697805533789,283.6543209876544,56.0,28.0,28.0,1634044178.52281,0.0022389888763427,23.615154027938843
26,0,1,0,0,2,1,43,3232270593,77,64,63,17,48574,53,11,4,0,0,6,3232270632,17,32100,32100,923,46,94,77.0,71.0,-0.1691669691318663,-1.3773003384606888,305.6923076923077,90.0,62.0,28.0,725,12,60,43.0,38.1578947368421,-0.1473573274674386,-1.253358305119964,270.027700831025,56.0,28.0,28.0,1634044178.531128,0.0083179473876953,23.623471975326538
27,0,1,0,0,1,2,59,3232270632,93,128,79,17,53,48574,12,4,0,0,6,3232270632,17,32100,32100,1016,46,94,77.0,72.57142857142857,-0.2799736793308121,-1.3698799549375644,315.9591836734694,90.0,62.0,28.0,784,12,60,43.0,39.2,-0.2245471365995657,-1.2694714534517169,277.16,56.0,28.0,28.0,1634044178.533151,0.0020229816436767,23.625494956970215
28,0,1,0,0,2,2,12,795910705,46,64,32,17,22539,32100,12,4,0,0,6,3232270632,17,32100,32100,1062,46,94,77.0,70.8,-0.1462426931358259,-1.499461647122322,338.8266666666667,90.0,54.0,36.0,12,12,12,12.0,12.0,0.0,-3.0,0.0,12.0,12.0,0.0,1634044178.535301,0.0021500587463378,23.627645015716553
29,0,1,0,0,2,2,12,313968685,46,64,32,17,22539,32100,12,4,0,0,6,3232270632,17,32100,32100,1108,46,94,69.5,69.25,-0.0240588702830714,-1.5687168745490336,353.6875,90.0,46.0,44.0,24,12,12,12.0,12.0,0.0,-3.0,0.0,12.0,12.0,0.0,1634044178.535301,0.0,23.627645015716553
30,0,1,0,0,2,2,12,64861754,46,64,32,17,22539,32100,12,4,0,0,6,3232270632,17,32100,32100,1154,46,94,62.0,67.88235294117646,0.0870004103271212,-1.5951884546178334,362.8096885813149,90.0,46.0,44.0,36,12,12,12.0,12.0,0.0,-3.0,0.0,12.0,12.0,0.0,1634044178.535301,0.0,23.627645015716553
31,0,1,0,0,2,2,28,3232270632,62,32,48,17,32100,22539,12,4,0,0,6,3232270632,17,32100,32100,1216,46,94,62.0,67.55555555555556,0.1398758167966353,-1.5196386226425134,344.4691358024692,87.0,46.0,41.0,64,12,28,12.0,16.0,1.1547005383792517,-0.6666666666666665,48.0,16.0,12.0,4.0,1634044178.583442,0.0481410026550293,23.675786018371582
32,0,1,0,0,2,2,28,3232270632,62,37,48,17,32100,22539,12,4,0,0,6,3232270632,17,32100,32100,1278,46,94,62.0,67.26315789473684,0.1896261914911858,-1.440880364998586,327.87811634349026,84.0,46.0,38.0,92,12,28,12.0,18.4,0.4082482904638635,-1.833333333333333,61.44,28.0,12.0,16.0,1634044178.799768,0.2163259983062744,23.892112016677856
33,0,1,0,0,2,2,28,3232270632,62,41,48,17,32100,22539,12,4,0,0,6,3232270632,17,32100,32100,1340,46,94,62.0,67.0,0.2366496573902511,-1.3594511417376915,312.8,81.0,46.0,35.0,120,12,28,20.0,20.0,0.0,-2.0,64.0,28.0,12.0,16.0,1634044178.799825,5.698204040527344e-05,23.89216899871826
34,0,0,0,0,0,0,0,0,60,0,0,0,0,0,12,4,1,0,6,3232270632,17,32100,32100,60,60,60,60.0,60.0,0.0,-3.0,0.0,60.0,60.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1634044181.000968,2.2011430263519287,26.09331202507019
35,0,0,0,0,0,0,0,0,42,0,0,0,0,0,12,4,2,0,6,3232270632,17,32100,32100,102,42,60,51.0,51.0,0.0,-2.0,81.0,55.5,46.5,9.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1634044181.000987,1.9073486328125e-05,26.09333109855652
36,0,1,0,0,2,1,56,3415408643,90,64,76,17,36746,123,12,5,2,0,6,3232270632,17,32100,32100,192,42,90,60.0,64.0,0.2947996201448288,-1.5,392.0,75.0,51.0,24.0,176,12,56,28.0,25.142857142857142,1.036411372275085,0.1210476110316207,213.55102040816325,28.0,12.0,16.0,1634044182.981125,1.980138063430786,28.073469161987305
37,0,0,0,0,0,0,0,0,42,0,0,0,0,0,12,5,3,0,6,3232270632,17,32100,32100,234,42,90,51.0,58.5,0.7378868633263682,-1.0868985328819123,384.75,67.5,42.0,25.5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1634044183.075865,0.0947399139404296,28.168209075927734
38,0,0,0,0,0,0,0,0,60,0,0,0,0,0,12,5,4,0,6,3232270632,17,32100,32100,294,42,90,60.0,58.8,0.7723882110026338,-0.6687483623023849,308.16,60.0,42.0,18.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1634044183.079083,0.0032179355621337,28.171427011489868
