Unnamed: 0,L4_tcp,L4_udp,L7_http,L7_https,port_class_src,port_class_dst,pck_size,ip_dst_new,ethernet_frame_size ,ttl,total_length,protocol ,source_port,dest_port,DNS_count,NTP_count,ARP_count,cnt,L3_ip_dst_count,most_freq_d_ip,most_freq_prot,most_freq_sport,most_freq_dport,sum_et,min_et,max_et,med_et,average_et,skew_et,kurt_et,var,q3,q1,iqr,sum_e,min_e,max_e,med,average,skew_e,kurt_e,var_e,q3_e,q1_e,iqr_e,epoch_timestamp,inter_arrival_time,time_since_previously_displayed_frame
0,0,1,0,0,2,2,1040,3453090859,1074,64,1060,17,17272,8201,0,0,0,0,9,2211110130,17,14908,13658,1350,62,1074,62.0,270.0,1.4972991009864054,0.2463159774916636,161721.6,90.0,62.0,28.0,1040,1040,1040,1040.0,1040.0,0.0,-3.0,0.0,1040.0,1040.0,0.0,1634043332.983482,0.0,0.0
1,0,1,0,0,2,2,1040,3453090859,1074,64,1060,17,17272,8201,0,0,0,0,9,2211110130,17,14908,13658,2424,62,1074,76.0,404.0,0.7057312087518687,-1.5000360810570963,224548.0,828.0,62.0,766.0,2080,1040,1040,1040.0,1040.0,0.0,-3.0,0.0,1040.0,1040.0,0.0,1634043332.983482,0.0,0.0
2,0,1,0,0,2,2,18,3232270632,52,44,38,17,8201,17272,0,0,0,0,9,2211110130,17,14908,13658,2476,52,1074,62.0,353.7142857142857,0.946830235679034,-1.100833252460591,207641.6326530612,582.0,62.0,520.0,2098,18,1040,1040.0,699.3333333333334,-0.7071067811865476,-1.5000000000000002,232107.5555555556,1040.0,529.0,511.0,1634043332.986724,0.003242015838623,0.003242015838623
3,0,1,0,0,2,2,18,3232270632,52,44,38,17,8201,17272,0,0,0,0,9,2211110130,17,14908,13658,2528,52,1074,62.0,316.0,1.152525744370415,-0.6684128511117553,191643.0,336.0,59.5,276.5,2116,18,1040,529.0,529.0,0.0,-2.0,261121.0,1040.0,18.0,1022.0,1634043332.987127,0.0004031658172607,0.0036451816558837
4,0,1,0,0,2,2,1040,3453090859,1074,64,1060,17,17272,8201,0,0,0,0,9,2211110130,17,14908,13658,3602,52,1074,62.0,400.22222222222223,0.7056082276713602,-1.5000457605631965,227096.3950617284,1074.0,62.0,1012.0,3156,18,1040,1040.0,631.2,-0.4082482904638632,-1.8333333333333333,250676.16,1040.0,18.0,1022.0,1634043333.044809,0.0576820373535156,0.061327219009399296
5,0,1,0,0,2,2,1040,3453090859,1074,64,1060,17,17272,8201,0,0,0,0,9,2211110130,17,14908,13658,4676,52,1074,76.0,467.6,0.4070465183433257,-1.8327145503237048,245244.64,1074.0,62.0,1012.0,4196,18,1040,1040.0,699.3333333333334,-0.7071067811865476,-1.4999999999999998,232107.5555555556,1040.0,273.5,766.5,1634043333.044809,0.0,0.061327219009399296
6,0,1,0,0,2,2,18,3232270632,52,44,38,17,8201,17272,0,0,0,0,9,2211110130,17,14908,13658,4728,52,1074,62.0,429.8181818181818,0.5656679312766904,-1.6782917810095852,237224.3305785124,1074.0,57.0,1017.0,4214,18,1040,1040.0,602.0,-0.2886751345948129,-1.9166666666666667,255792.0,1040.0,18.0,1022.0,1634043333.057053,0.0122439861297607,0.07357120513915999
7,0,1,0,0,2,2,1040,3453090859,1074,64,1060,17,17272,8201,0,0,0,0,9,2211110130,17,14908,13658,5802,52,1074,76.0,483.5,0.3369726816440846,-1.885013390517123,249154.75,1074.0,59.5,1014.5,5254,18,1040,1040.0,656.75,-0.5163977794943223,-1.7333333333333334,244800.9375,1040.0,18.0,1022.0,1634043333.122911,0.0658578872680664,0.1394290924072264
8,0,1,0,0,2,2,1040,3453090859,1074,64,1060,17,17272,8201,0,0,0,0,9,2211110130,17,14908,13658,6876,52,1074,90.0,528.9230769230769,0.1533310340890718,-1.9752215608255117,254748.07100591715,1074.0,62.0,1012.0,6294,18,1040,1040.0,699.3333333333334,-0.7071067811865476,-1.5000000000000002,232107.5555555556,1040.0,18.0,1022.0,1634043333.122911,0.0,0.1394290924072264
9,0,1,0,0,2,2,18,3232270632,52,44,38,17,8201,17272,0,0,0,0,9,2211110130,17,14908,13658,6928,52,1074,76.0,494.8571428571428,0.2876852192968998,-1.9159394098685616,251638.1224489796,1074.0,54.5,1019.5,6312,18,1040,1040.0,631.2,-0.408248290463863,-1.8333333333333333,250676.1600000001,1040.0,18.0,1022.0,1634043333.152494,0.0295829772949218,0.1690120697021482
