Unnamed: 0,L4_tcp,L4_udp,L7_http,L7_https,port_class_src,port_class_dst,pck_size,ip_dst_new,ethernet_frame_size ,ttl,total_length,protocol ,source_port,dest_port,DNS_count,NTP_count,ARP_count,cnt,L3_ip_dst_count,most_freq_d_ip,most_freq_prot,most_freq_sport,most_freq_dport,sum_et,min_et,max_et,med_et,average_et,skew_et,kurt_et,var,q3,q1,iqr,sum_e,min_e,max_e,med,average,skew_e,kurt_e,var_e,q3_e,q1_e,iqr_e,epoch_timestamp,inter_arrival_time,time_since_previously_displayed_frame
0,0,1,0,0,2,2,1040,1153216444,1074,64,1060,17,25531,8261,0,0,0,0,6,3232270635,17,25020,5988,1834,46,1074,74.0,166.72727272727272,2.8310933431684235,6.049730560494753,82550.74380165289,94.0,66.0,28.0,1276,12,1040,40.0,182.28571428571428,2.0327150102298144,2.14816015792458,122856.48979591836,60.0,32.0,28.0,1634130461.796691,0.0,0.0
1,0,1,0,0,2,2,1040,1153216444,1074,64,1060,17,25531,8261,0,0,0,0,6,3232270635,17,25020,5988,2908,46,1074,84.0,242.33333333333331,1.7825510425922129,1.1887756035165795,138550.55555555553,94.0,66.0,28.0,2316,12,1040,50.0,289.5,1.150758966757574,-0.6696816790871827,187963.75,305.0,32.0,273.0,1634130461.796691,0.0,0.0
2,0,1,0,0,2,2,595,1153216444,629,64,615,17,25531,8261,0,0,0,0,6,3232270635,17,25020,5988,3537,46,1074,94.0,272.0769230769231,1.4921705541958272,0.4431319423406492,138508.99408284022,94.0,66.0,28.0,2911,12,1040,60.0,323.44444444444446,0.9258378899356908,-0.952880661076521,176296.6913580247,595.0,32.0,563.0,1634130461.796691,0.0,0.0
3,0,1,0,0,2,2,273,1153216444,307,64,293,17,25531,8261,0,0,0,0,6,3232270635,17,25020,5988,3844,46,1074,94.0,274.57142857142856,1.5262439751878785,0.6605939040789068,128696.38775510204,253.75,66.0,187.75,3184,12,1040,60.0,318.4,1.0115735881529364,-0.6817049782632427,158896.04,514.5,34.0,480.5,1634130461.796691,0.0,0.0
4,0,1,0,0,2,2,22,3232270635,56,48,42,17,8261,25531,0,0,0,0,6,3232270635,17,25020,5988,3900,46,1074,94.0,260.0,1.631481976218751,1.0056489366611476,123089.2,200.5,66.0,134.5,3206,12,1040,60.0,291.45454545454544,1.1535128265197685,-0.3671772081734263,151711.520661157,434.0,32.0,402.0,1634130461.802429,0.0057380199432373,0.0057380199432373
5,0,1,0,0,2,2,22,3232270635,56,48,42,17,8261,25531,0,0,0,0,6,3232270635,17,25020,5988,3956,46,1074,84.0,247.25,1.7313174594147474,1.354425698767793,117834.5625,147.25,66.0,81.25,3228,12,1040,50.0,269.0,1.2838652537520705,-0.04060438542826,144615.16666666666,353.5,29.5,324.0,1634130461.84057,0.0381410121917724,0.043879032135009696
6,0,1,0,0,2,2,1040,1153216444,1074,64,1060,17,25531,8261,0,0,0,0,6,3232270635,17,25020,5988,5030,46,1074,94.0,295.88235294117646,1.3480790067450716,0.0384692779627631,148744.80968858133,307.0,66.0,241.0,4268,12,1040,60.0,328.3076923076923,0.9363527383976588,-0.9192912896179676,175699.75147928993,595.0,32.0,563.0,1634130461.857668,0.0170979499816894,0.060976982116699094
7,0,1,0,0,2,2,390,1153216444,424,64,410,17,25531,8261,0,0,0,0,6,3232270635,17,25020,5988,5454,46,1074,94.0,303.0,1.3198980268422589,0.0767602185263878,141342.44444444444,394.75,66.0,328.75,4658,12,1040,60.0,332.7142857142857,0.9369973426714846,-0.8076866273658703,163402.20408163263,543.75,32.0,511.75,1634130461.857668,0.0,0.060976982116699094
8,0,1,0,0,2,2,273,1153216444,307,64,293,17,25531,8261,0,0,0,0,6,3232270635,17,25020,5988,5761,46,1074,94.0,303.2105263157895,1.354328303361072,0.244533970293562,133904.16620498616,365.5,66.0,299.5,4931,12,1040,60.0,328.7333333333333,0.9980943953650284,-0.6178303732417807,152730.59555555557,492.5,32.0,460.5,1634130461.857668,0.0,0.060976982116699094
9,0,1,0,0,2,2,18,3232270635,52,48,38,17,8261,25531,0,0,0,0,6,3232270635,17,25020,5988,5813,46,1074,94.0,290.65,1.4294038800775393,0.4633554040628875,130206.5275,336.25,66.0,270.25,4949,12,1040,60.0,309.3125,1.0911058464085437,-0.4177228324925366,148842.46484375,441.25,29.5,411.75,1634130461.858665,0.0009970664978027,0.061974048614501794
10,0,1,0,0,2,2,1040,1153216444,1074,64,1060,17,25531,8261,0,0,0,0,6,3232270635,17,25020,5988,1074,1074,1074,1074.0,1074.0,0.0,-3.0,0.0,1074.0,1074.0,0.0,5989,12,1040,60.0,352.29411764705884,0.8581659276148422,-0.9701811967297896,169645.73702422145,595.0,32.0,563.0,1634130461.920653,0.0619881153106689,0.12396216392517069
11,0,1,0,0,2,2,1040,1153216444,1074,64,1060,17,25531,8261,0,0,0,0,6,3232270635,17,25020,5988,2148,1074,1074,1074.0,1074.0,0.0,-3.0,0.0,1074.0,1074.0,0.0,7029,12,1040,166.5,390.5,0.6713647676897119,-1.3115591946181258,185035.69444444444,928.75,32.0,896.75,1634130461.920653,0.0,0.12396216392517069
12,0,1,0,0,2,2,273,1153216444,307,64,293,17,25531,8261,0,0,0,0,6,3232270635,17,25020,5988,2455,307,1074,1074.0,818.3333333333334,-0.707106781186548,-1.4999999999999991,130730.88888888888,1074.0,690.5,383.5,7302,12,1040,273.0,384.3157894736842,0.7287901311574781,-1.1896785771090828,175985.37396121884,817.5,32.0,785.5,1634130461.920653,0.0,0.12396216392517069
13,0,1,0,0,2,2,273,1153216444,307,64,293,17,25531,8261,0,0,0,0,6,3232270635,17,25020,5988,2762,307,1074,690.5,690.5,0.0,-2.0,147072.25,1074.0,307.0,767.0,7575,12,1040,273.0,378.75,0.7835553260045091,-1.0659919550827677,167774.6875,706.25,32.0,674.25,1634130461.920653,0.0,0.12396216392517069
14,0,1,0,0,2,2,22,3232270635,56,48,42,17,8261,25531,0,0,0,0,6,3232270635,17,25020,5988,2818,56,1074,307.0,563.6,0.2609051960356304,-1.7282934438048707,182072.24,1074.0,307.0,767.0,22,22,22,22.0,22.0,0.0,-3.0,0.0,22.0,22.0,0.0,1634130461.926954,0.006300926208496,0.1302630901336667
15,0,1,0,0,2,2,18,3232270635,52,48,38,17,8261,25531,0,0,0,0,6,3232270635,17,25020,5988,2870,52,1074,307.0,478.3333333333333,0.5309152661981362,-1.4999805459061235,188078.8888888889,882.25,118.75,763.5,40,18,22,20.0,20.0,0.0,-2.0,4.0,21.0,19.0,2.0,1634130461.927011,5.698204040527344e-05,0.13032007217407196
16,0,1,0,0,2,2,1040,1153216444,1074,64,1060,17,25531,8261,0,0,0,0,6,3232270635,17,25020,5988,3944,52,1074,307.0,563.4285714285714,0.1560652945541047,-1.815710292785644,204657.67346938772,1074.0,181.5,892.5,1080,18,1040,22.0,360.0,0.7070700807422231,-1.4999999999999998,231202.66666666663,531.0,20.0,511.0,1634130461.937711,0.010699987411499,0.14102005958557096
17,0,1,0,0,2,2,1040,1153216444,1074,64,1060,17,25531,8261,0,0,0,0,6,3232270635,17,25020,5988,5018,52,1074,690.5,627.25,-0.1133976691611753,-1.8502479898877968,207587.6875,1074.0,244.25,829.75,2120,18,1040,531.0,530.0,-2.306778468478629e-05,-1.9999692430128784,260102.0,1040.0,21.0,1019.0,1634130461.937711,0.0,0.14102005958557096
18,0,1,0,0,2,2,749,1153216444,783,64,769,17,25531,8261,0,0,0,0,6,3232270635,17,25020,5988,5801,52,1074,783.0,644.5555555555555,-0.2329235504355915,-1.7099260042213007,186918.24691358025,1074.0,307.0,767.0,2869,18,1040,749.0,573.8,-0.262789526602537,-1.7817269523444683,215755.36,1040.0,22.0,1018.0,1634130461.937711,0.0,0.14102005958557096
19,0,1,0,0,2,2,273,1153216444,307,64,293,17,25531,8261,0,0,0,0,6,3232270635,17,25020,5988,6108,52,1074,545.0,610.8,-0.0354672628603355,-1.7354950400632332,178481.36000000002,1074.0,307.0,767.0,3142,18,1040,511.0,523.6666666666666,0.0305158567354977,-1.7505823749906382,192362.88888888888,967.25,84.75,882.5,1634130461.937711,0.0,0.14102005958557096
20,0,1,0,0,2,2,1040,1153216444,1074,64,1060,17,25531,8261,0,0,0,0,6,3232270635,17,25020,5988,7182,52,1074,783.0,652.9090909090909,-0.2122658763480159,-1.7153612908016267,179987.53719008266,1074.0,307.0,767.0,4182,18,1040,749.0,597.4285714285714,-0.2533295598952849,-1.72195299879848,197527.387755102,1040.0,147.5,892.5,1634130461.976042,0.0383310317993164,0.17935109138488736
21,0,1,0,0,2,2,390,1153216444,424,64,410,17,25531,8261,0,0,0,0,6,3232270635,17,25020,5988,7606,52,1074,603.5,633.8333333333334,-0.0889526670907815,-1.685601078472911,168991.30555555553,1074.0,307.0,767.0,4572,18,1040,569.5,571.5,-0.0901972604802144,-1.6533750659740811,177542.5,1040.0,210.25,829.75,1634130461.976042,0.0,0.17935109138488736
22,0,1,0,0,2,2,273,1153216444,307,64,293,17,25531,8261,0,0,0,0,6,3232270635,17,25020,5988,7913,52,1074,424.0,608.6923076923077,0.0599112472647091,-1.68055744606554,163576.82840236684,1074.0,307.0,767.0,4845,18,1040,390.0,538.3333333333334,0.1126550840943489,-1.6121184706827991,166615.77777777775,1040.0,273.0,767.0,1634130461.976042,0.0,0.17935109138488736
23,0,1,0,0,2,2,273,1153216444,307,64,293,17,25531,8261,0,0,0,0,6,1153216444,17,25020,5988,8220,52,1074,365.5,587.1428571428571,0.1902271131669022,-1.638283146606958,157929.693877551,1074.0,307.0,767.0,5118,18,1040,331.5,511.8,0.2830187382638409,-1.5111868591808173,156290.36000000002,967.25,273.0,694.25,1634130461.976042,0.0,0.17935109138488736
24,0,1,0,0,2,2,20,3232270635,54,48,40,17,8261,25531,0,0,0,0,6,3232270635,17,25020,5988,8274,52,1074,307.0,551.6,0.2786109907118451,-1.5877320675857198,165087.1733333333,1074.0,307.0,767.0,5138,18,1040,273.0,467.09090909090907,0.4124510172706592,-1.4298305110429204,162071.17355371907,894.5,147.5,747.0,1634130461.989997,0.0139548778533935,0.19330596923828086
25,0,1,0,0,2,2,18,3232270635,52,48,38,17,8261,25531,0,0,0,0,6,3232270635,17,25020,5988,8326,52,1074,307.0,520.375,0.367548191717655,-1.5298027408346748,169394.234375,1074.0,244.25,829.75,5156,18,1040,273.0,429.6666666666667,0.5359016293890644,-1.3209842015623563,163971.55555555556,821.75,21.5,800.25,1634130461.99006,6.318092346191406e-05,0.19336915016174278
26,0,1,0,0,2,2,1040,1153216444,1074,64,1060,17,25531,8261,0,0,0,0,6,3232270635,17,25020,5988,9400,52,1074,307.0,552.9411764705883,0.2271737530007634,-1.6529706755150195,176398.76124567472,1074.0,307.0,767.0,6196,18,1040,273.0,476.61538461538464,0.3359299723278975,-1.5684994965996302,177808.5443786982,1040.0,22.0,1018.0,1634130462.016003,0.0259428024291992,0.21931195259094197
27,0,1,0,0,2,2,1040,1153216444,1074,64,1060,17,25531,8261,0,0,0,0,6,1153216444,17,25020,5988,10474,52,1074,365.5,581.8888888888889,0.1043574379138136,-1.720604472031526,180844.3209876543,1074.0,307.0,767.0,7236,18,1040,331.5,516.8571428571429,0.1695869410087466,-1.695234889736088,186160.1224489796,1040.0,84.75,955.25,1634130462.016003,0.0,0.21931195259094197
28,0,1,0,0,2,2,450,1153216444,484,64,470,17,25531,8261,0,0,0,0,6,1153216444,17,25020,5988,10958,52,1074,424.0,576.7368421052631,0.1433681097401105,-1.650662955723312,171803.98337950138,1074.0,307.0,767.0,7686,18,1040,390.0,512.4,0.2068983175436048,-1.598300854239748,174027.5733333333,1040.0,147.5,892.5,1634130462.016003,0.0,0.21931195259094197
29,0,1,0,0,2,2,273,1153216444,307,64,293,17,25531,8261,0,0,0,0,6,1153216444,17,25020,5988,11265,52,1074,365.5,563.25,0.2272627241068043,-1.604928345580053,166669.7875,1074.0,307.0,767.0,7959,18,1040,331.5,497.4375,0.3046837780706901,-1.5205301812233438,166508.99609375,1040.0,210.25,829.75,1634130462.016003,0.0,0.21931195259094197
30,0,1,0,0,2,2,1040,1153216444,1074,64,1060,17,25531,8261,0,0,0,0,6,1153216444,17,25020,5988,1074,1074,1074,1074.0,1074.0,0.0,-3.0,0.0,1074.0,1074.0,0.0,8999,18,1040,390.0,529.3529411764706,0.1706590224083505,-1.6277082465609536,173011.87543252597,1040.0,273.0,767.0,1634130462.038755,0.022752046585083,0.24206399917602497
