Unnamed: 0,L4_tcp,L4_udp,L7_http,L7_https,port_class_src,port_class_dst,pck_size,ip_dst_new,ethernet_frame_size ,ttl,total_length,protocol ,source_port,dest_port,DNS_count,NTP_count,ARP_count,cnt,L3_ip_dst_count,most_freq_d_ip,most_freq_prot,most_freq_sport,most_freq_dport,sum_et,min_et,max_et,med_et,average_et,skew_et,kurt_et,var,q3,q1,iqr,sum_e,min_e,max_e,med,average,skew_e,kurt_e,var_e,q3_e,q1_e,iqr_e,epoch_timestamp,inter_arrival_time,time_since_previously_displayed_frame
0,0,1,0,0,2,2,22,3232270635,56,46,42,17,7603,20296,0,0,0,0,6,1181850666,17,28395,5439,1070,46,94,70.0,76.42857142857143,-0.1605027414787031,-1.3407464913284712,267.53061224489795,94.0,66.0,28.0,226,12,60,36.0,37.66666666666666,0.0388789254419643,-1.4160912406477637,323.2222222222222,55.0,24.5,30.5,1634130109.561597,0.0,0.0
1,0,1,0,0,2,2,273,1181850666,307,64,293,17,20296,7603,0,0,0,0,6,1181850666,17,28395,5439,1377,46,307,74.0,91.8,3.057758662257434,8.340869557815347,3557.626666666666,94.0,66.0,28.0,499,12,273,40.0,71.28571428571429,1.875457474810284,1.8090740745685832,7058.489795918367,60.0,27.0,33.0,1634130109.56359,0.0019929409027099,0.0019929409027099
2,0,1,0,0,2,2,20,3232270635,54,46,40,17,7603,20296,0,0,0,0,6,1181850666,17,28395,5439,1431,46,307,70.0,89.4375,3.1471482254228005,9.021490658114764,3418.99609375,94.0,66.0,28.0,519,12,273,36.0,64.875,2.0798726710345647,2.663634139224281,6463.859375,60.0,21.5,38.5,1634130109.580578,0.0169880390167236,0.0189809799194335
3,0,1,0,0,2,2,22,3232270635,56,46,42,17,7603,20296,0,0,0,0,6,1181850666,17,28395,5439,1487,46,307,66.0,87.47058823529412,3.2439709469670817,9.740668226561136,3279.778546712803,94.0,66.0,28.0,541,12,273,32.0,60.11111111111112,2.272138319218279,3.537310016998081,5927.20987654321,60.0,22.0,38.0,1634130109.590226,0.0096478462219238,0.0286288261413573
4,0,1,0,0,2,2,20,3232270635,54,46,40,17,7603,20296,0,0,0,0,6,1181850666,17,28395,5439,1541,46,307,66.0,85.61111111111111,3.3327911543552977,10.434005539656612,3156.3487654320984,94.0,58.5,35.5,561,12,273,27.0,56.1,2.447544959867032,4.406341441696616,5479.289999999999,55.0,20.5,34.5,1634130109.612747,0.0225210189819335,0.0511498451232908
5,0,1,0,0,2,2,1040,1181850666,1074,64,1060,17,20296,7603,0,0,0,0,6,1181850666,17,28395,5439,2615,46,1074,66.0,137.6315789473684,3.672319107986056,12.16172482257036,51700.548476454285,94.0,61.0,33.0,1601,12,1040,32.0,145.54545454545453,2.582010968163617,5.080918806009176,84986.06611570249,60.0,21.0,39.0,1634130109.623042,0.0102951526641845,0.0614449977874753
6,0,1,0,0,2,2,1040,1181850666,1074,64,1060,17,20296,7603,0,0,0,0,6,1181850666,17,28395,5439,3689,46,1074,70.0,184.45,2.5311061638919026,4.6206374444322575,90762.8475,94.0,63.5,30.5,2641,12,1040,36.0,220.08333333333331,1.6740728306270514,0.948263199707557,139018.74305555553,113.25,21.5,91.75,1634130109.623042,0.0,0.0614449977874753
7,0,1,0,0,2,2,693,1181850666,727,64,713,17,20296,7603,0,0,0,0,6,1181850666,17,28395,5439,727,727,727,727.0,727.0,0.0,-3.0,0.0,727.0,727.0,0.0,3334,12,1040,40.0,256.46153846153845,1.3229842362964674,0.0100228359805116,144205.47928994085,273.0,22.0,251.0,1634130109.623042,0.0,0.0614449977874753
8,0,1,0,0,2,2,273,1181850666,307,64,293,17,20296,7603,0,0,0,0,6,1181850666,17,28395,5439,1034,307,727,517.0,517.0,0.0,-2.0,44100.0,622.0,412.0,210.0,3607,12,1040,50.0,257.6428571428572,1.362969098081878,0.2230237809523236,133923.22959183677,273.0,22.0,251.0,1634130109.623042,0.0,0.0614449977874753
9,0,1,0,0,2,2,18,3232270635,52,46,38,17,7603,20296,0,0,0,0,6,1181850666,17,28395,5439,1086,52,727,307.0,362.0,0.2887254817402639,-1.5,77450.0,517.0,179.5,337.5,3625,12,1040,40.0,241.66666666666663,1.4662553761170345,0.5266612626710185,128568.35555555556,273.0,21.0,252.0,1634130109.639089,0.0160470008850097,0.077491998672485
10,0,1,0,0,2,2,24,3232270635,58,46,44,17,7603,20296,0,0,0,0,6,1181850666,17,28395,5439,1144,52,727,182.5,286.0,0.7376702446996477,-1.086873508043914,75415.5,412.0,56.5,355.5,3649,12,1040,36.0,228.0625,1.5648881917390502,0.837021146305172,123308.93359375,273.0,21.5,251.5,1634130109.674537,0.0354478359222412,0.1129398345947262
11,0,1,0,0,2,2,20,3232270635,54,46,40,17,7603,20296,0,0,0,0,6,1181850666,17,28395,5439,1198,52,727,58.0,239.6,1.072843547393381,-0.4768054162096122,68944.23999999999,307.0,54.0,253.0,3669,12,1040,32.0,215.8235294117647,1.6580738945722235,1.1496466636494531,118452.14532871977,273.0,20.0,253.0,1634130109.680011,0.0054740905761718,0.11841392517089801
12,0,1,0,0,2,2,1040,1181850666,1074,64,1060,17,20296,7603,0,0,0,0,6,1181850666,17,28395,5439,2272,52,1074,182.5,378.6666666666667,0.7601191560434416,-1.0250370208652595,154151.22222222222,622.0,55.0,567.0,4709,12,1040,36.0,261.6111111111111,1.3164436448607593,-0.0081401704794643,147512.01543209876,273.0,20.5,252.5,1634130109.683128,0.0031170845031738,0.12153100967407181
13,0,1,0,0,2,2,371,1181850666,405,64,391,17,20296,7603,0,0,0,0,6,1181850666,17,28395,5439,2677,52,1074,307.0,382.4285714285714,0.7892471898997544,-0.7321353002824127,132214.5306122449,566.0,56.0,510.0,5080,12,1040,40.0,267.3684210526316,1.2991038888947262,0.0503861209319338,140344.86426592796,322.0,21.0,301.0,1634130109.683128,0.0,0.12153100967407181
14,0,1,0,0,2,2,273,1181850666,307,64,293,17,20296,7603,0,0,0,0,6,1181850666,17,28395,5439,2984,52,1074,307.0,373.0,0.9185862246204236,-0.3385196690814109,116310.0,485.5,57.0,428.5,5353,12,1040,50.0,267.65,1.3305166172728635,0.2067525350795844,133329.1275,297.5,21.5,276.0,1634130109.683128,0.0,0.12153100967407181
15,0,1,0,0,2,2,18,3232270635,52,46,38,17,7603,20296,0,0,0,0,6,1181850666,17,28395,5439,3036,52,1074,307.0,337.3333333333333,1.0689888463023207,-0.0417295172143217,113563.55555555556,405.0,54.0,351.0,18,18,18,18.0,18.0,0.0,-3.0,0.0,18.0,18.0,0.0,1634130109.712476,0.0293478965759277,0.1508789062499995
16,0,1,0,0,2,2,1040,1181850666,1074,64,1060,17,20296,7603,0,0,0,0,6,1181850666,17,28395,5439,4110,52,1074,307.0,411.0,0.7327347963196954,-0.9766514347957922,151048.2,646.5,55.0,591.5,1058,18,1040,529.0,529.0,0.0,-2.0,261121.0,784.5,273.5,511.0,1634130109.74368,0.0312039852142334,0.1820828914642329
17,0,1,0,0,2,2,1040,1181850666,1074,64,1060,17,20296,7603,0,0,0,0,6,1181850666,17,28395,5439,5184,52,1074,307.0,471.27272727272725,0.469625002769938,-1.423280869831907,173644.56198347107,900.5,56.0,844.5,2098,18,1040,1040.0,699.3333333333334,-0.7071067811865476,-1.4999999999999998,232107.5555555556,1040.0,529.0,511.0,1634130109.74368,0.0,0.1820828914642329
18,0,1,0,0,2,2,466,1181850666,500,64,486,17,20296,7603,0,0,0,0,6,1181850666,17,28395,5439,5684,52,1074,356.0,473.6666666666667,0.4722494445971339,-1.2928505175888647,159237.22222222222,813.75,57.0,756.75,2564,18,1040,753.0,641.0,-0.3795867734795504,-1.511061375862391,184289.0,1040.0,354.0,686.0,1634130109.74368,0.0,0.1820828914642329
19,0,1,0,0,2,2,273,1181850666,307,64,293,17,20296,7603,0,0,0,0,6,1181850666,17,28395,5439,5991,52,1074,307.0,460.84615384615387,0.5752980535114274,-1.1267463957220238,148960.59171597636,727.0,58.0,669.0,2837,18,1040,466.0,567.4,0.0538464072171454,-1.611645791330198,169099.03999999998,1040.0,273.0,767.0,1634130109.763371,0.019690990447998,0.2017738819122309
20,0,1,0,0,2,2,22,3232270635,56,46,42,17,7603,20296,0,0,0,0,6,1181850666,17,28395,5439,6047,52,1074,307.0,431.9285714285714,0.675737909283091,-1.0110231593140064,149191.49489795917,670.25,56.5,613.75,2859,18,1040,369.5,476.5,0.3409930801407446,-1.5433461864218203,182229.91666666663,896.5,84.75,811.75,1634130109.773618,0.010246992111206,0.2120208740234369
21,0,1,0,0,2,2,18,3232270635,52,46,38,17,7603,20296,0,0,0,0,6,1181850666,17,28395,5439,6099,52,1074,307.0,406.6,0.7704385254851059,-0.8794055242748771,148226.90666666668,613.5,55.0,558.5,2877,18,1040,273.0,411.0,0.5798516940360604,-1.3425835664830728,181938.57142857145,753.0,20.0,733.0,1634130109.779742,0.0061240196228027,0.2181448936462396
22,0,1,0,0,2,2,273,1181850666,307,64,293,17,20296,7603,0,0,0,0,6,1181850666,17,28395,5439,6406,52,1074,307.0,400.375,0.839551493069839,-0.70222605932338,139543.984375,556.75,55.5,501.25,3150,18,1040,273.0,393.75,0.7317856780643806,-1.0380203479262629,161279.1875,609.5,21.0,588.5,1634130109.782966,0.0032238960266113,0.2213687896728509
