Unnamed: 0,L4_tcp,L4_udp,L7_http,L7_https,port_class_src,port_class_dst,pck_size,ip_dst_new,ethernet_frame_size ,ttl,total_length,protocol ,source_port,dest_port,DNS_count,NTP_count,ARP_count,cnt,L3_ip_dst_count,most_freq_d_ip,most_freq_prot,most_freq_sport,most_freq_dport,sum_et,min_et,max_et,med_et,average_et,skew_et,kurt_et,var,q3,q1,iqr,sum_e,min_e,max_e,med,average,skew_e,kurt_e,var_e,q3_e,q1_e,iqr_e,epoch_timestamp,inter_arrival_time,time_since_previously_displayed_frame
0,0,1,0,0,2,2,32,3232270720,66,50,52,17,8414,16170,0,0,0,0,8,1181850666,17,20296,7603,136,66,70,68.0,68.0,0.0,-2.0,4.0,69.0,67.0,2.0,6657,12,1040,71.5,369.8333333333333,0.7013981477166279,-1.3787746851617244,199831.69444444447,958.5,18.0,940.5,1633526075.067603,0.0,0.0
1,0,1,0,0,2,2,113,3232270720,147,50,133,17,8414,16170,0,0,0,0,8,1181850666,17,20296,7603,283,66,147,70.0,94.33333333333331,0.7010051947253199,-1.4999999999999991,1389.5555555555554,108.5,68.0,40.5,6770,12,1040,107.0,356.3157894736842,0.7841220496772232,-1.2495666352387786,192603.2686980609,877.0,18.0,859.0,1633526075.13016,0.0625569820404052,0.0625569820404052
2,0,1,0,0,2,2,18,1129668718,52,64,38,17,16170,8414,0,0,0,0,9,1181850666,17,20296,7603,335,52,147,68.0,83.75,1.0399823119727885,-0.7419590085731005,1378.1875,89.25,62.5,26.75,6788,12,1040,71.5,339.4,0.8632205191910406,-1.1183422521513446,188409.84000000003,795.5,18.0,777.5,1633526075.14574,0.0155799388885498,0.07813692092895501
3,0,1,0,0,2,2,113,3232270720,147,50,133,17,8414,16170,0,0,0,0,9,1181850666,17,20296,7603,482,52,147,70.0,96.4,0.3438956063959927,-1.7923467425245154,1742.64,147.0,66.0,81.0,113,113,113,113.0,113.0,0.0,-3.0,0.0,113.0,113.0,0.0,1633526075.164523,0.0187828540802001,0.0969197750091551
4,0,1,0,0,2,2,18,1129668718,52,64,38,17,16170,8414,0,0,0,0,9,1181850666,17,20296,7603,534,52,147,68.0,89.0,0.627303302834465,-1.5011305518892435,1726.0,127.75,55.5,72.25,131,18,113,65.5,65.5,0.0,-2.0,2256.25,89.25,41.75,47.5,1633526075.181445,0.0169219970703125,0.1138417720794676
5,0,1,0,0,2,2,113,3232270720,147,50,133,17,8414,16170,0,0,0,0,9,1181850666,17,20296,7603,681,52,147,70.0,97.28571428571428,0.2291296708303372,-1.871862824905561,1891.34693877551,147.0,59.0,88.0,244,18,113,113.0,81.33333333333333,-0.7071067811865472,-1.5,2005.555555555556,113.0,65.5,47.5,1633526075.229111,0.0476660728454589,0.1615078449249265
6,0,1,0,0,2,2,102,3232270720,136,50,122,17,8414,16170,0,0,0,0,9,1181850666,17,20296,7603,817,52,147,103.0,102.125,-0.0357763046604388,-1.9089343058889643,1818.859375,147.0,62.5,84.5,346,18,113,107.5,86.5,-1.1119881011446329,-0.7029246715606714,1584.25,113.0,81.0,32.0,1633526075.229167,5.602836608886719e-05,0.16156387329101538
7,0,1,0,0,2,2,20,1129668718,54,64,40,17,16170,8414,0,0,0,0,9,1181850666,17,20296,7603,871,52,147,70.0,96.77777777777776,0.1880229938813733,-1.8825646662883144,1845.506172839506,147.0,54.0,93.0,366,18,113,102.0,73.2,-0.3846218043793895,-1.820600334956568,1974.96,113.0,20.0,93.0,1633526075.241075,0.0119080543518066,0.173471927642822
8,0,1,0,0,2,2,102,3232270720,136,50,122,17,8414,16170,0,0,0,0,9,1181850666,17,20296,7603,1007,52,147,103.0,100.7,-0.0233643951083409,-1.911758033080028,1799.41,144.25,57.0,87.25,468,18,113,102.0,78.0,-0.6714427262815157,-1.4983227033063204,1761.0,110.25,40.5,69.75,1633526075.250542,0.0094668865203857,0.18293881416320767
9,0,1,0,0,2,2,296,1129668718,330,64,316,17,16170,8414,0,0,0,0,9,1181850666,17,20296,7603,1337,52,330,136.0,121.54545454545456,1.5377193439537338,2.01558061902998,5981.157024793388,147.0,60.0,87.0,764,18,296,102.0,109.14285714285714,1.151731172906235,0.5940714201423742,7328.693877551021,113.0,61.0,52.0,1633526075.264609,0.0140671730041503,0.19700598716735798
