Unnamed: 0,L4_tcp,L4_udp,L7_http,L7_https,port_class_src,port_class_dst,pck_size,ip_dst_new,ethernet_frame_size ,ttl,total_length,protocol ,source_port,dest_port,DNS_count,NTP_count,ARP_count,cnt,L3_ip_dst_count,most_freq_d_ip,most_freq_prot,most_freq_sport,most_freq_dport,sum_et,min_et,max_et,med_et,average_et,skew_et,kurt_et,var,q3,q1,iqr,sum_e,min_e,max_e,med,average,skew_e,kurt_e,var_e,q3_e,q1_e,iqr_e,epoch_timestamp,inter_arrival_time,time_since_previously_displayed_frame
0,1,0,0,1,1,2,32,3232270617,66,60,52,6,443,41717,0,0,0,0,2,578502810,6,41717,443,1748,66,748,66.0,291.3333333333333,0.7074827195376131,-1.4989367171792631,101562.22222222223,568.5,66.0,502.5,1544,32,714,32.0,257.3333333333333,0.7074827195376131,-1.4989367171792631,101562.22222222223,534.5,32.0,502.5,1634059767.855,0.0,0.0
1,1,0,0,1,2,1,32,578502810,66,64,52,6,41717,443,0,0,0,0,2,578502810,6,41717,443,1814,66,748,66.0,259.1428571428572,0.9490494399818236,-1.09876500210262,93270.69387755104,401.0,66.0,335.0,1576,32,714,32.0,225.14285714285717,0.949049439981824,-1.0987650021026192,93270.69387755104,367.0,32.0,335.0,1634059767.857711,0.0027110576629638,0.0027110576629638
2,1,0,0,1,2,1,996,578502810,1030,64,1016,6,41717,443,0,0,0,0,2,578502810,6,41717,443,2844,66,1030,66.0,355.5,0.6705100589817591,-1.3320395023398,146604.75,739.0,66.0,673.0,2572,32,996,32.0,321.5,0.6705100589817591,-1.3320395023398,146604.75,705.0,32.0,673.0,1634059767.858847,0.0011358261108398,0.0038468837738036
3,1,0,0,1,1,2,32,3232270617,66,60,52,6,443,41717,0,0,0,0,2,578502810,6,41717,443,2910,66,1030,66.0,323.3333333333333,0.85603792032806,-1.0493522848570327,138592.88888888888,736.0,66.0,670.0,2604,32,996,32.0,289.3333333333333,0.85603792032806,-1.0493522848570327,138592.88888888888,702.0,32.0,670.0,1634059767.90789,0.0490431785583496,0.0528900623321532
4,1,0,0,1,2,1,548,578502810,582,64,568,6,41717,443,0,0,0,0,2,578502810,6,41717,443,3492,66,1030,66.0,349.2,0.6623693502022,-1.221719939656965,130755.36000000002,697.5,66.0,631.5,3152,32,996,32.0,315.2,0.6623693502022,-1.221719939656965,130755.36000000002,663.5,32.0,631.5,1634059767.917136,0.0092458724975585,0.062135934829711706
5,1,0,0,1,1,2,32,3232270617,66,60,52,6,443,41717,0,0,0,0,2,578502810,6,41717,443,3558,66,1030,66.0,323.45454545454544,0.8123584148850825,-1.003500666263782,125496.79338842977,659.0,66.0,593.0,3184,32,996,32.0,289.45454545454544,0.8123584148850825,-1.003500666263782,125496.79338842977,625.0,32.0,593.0,1634059767.966058,0.048922061920166,0.11105799674987771
6,1,0,0,1,2,1,202,578502810,236,64,222,6,41717,443,0,0,0,0,2,578502810,6,41717,443,3794,66,1030,66.0,316.1666666666667,0.9049482603863876,-0.7687654911061159,115622.9722222222,620.5,66.0,554.5,3386,32,996,32.0,282.1666666666667,0.9049482603863876,-0.7687654911061159,115622.9722222222,586.5,32.0,554.5,1634059767.972295,0.0062370300292968,0.11729502677917451
7,1,0,0,1,1,2,106,3232270617,140,60,126,6,443,41717,0,0,0,0,2,578502810,6,41717,443,3934,66,1030,66.0,302.61538461538464,1.0250106810374584,-0.5151691749394565,108932.5443786982,582.0,66.0,516.0,3492,32,996,32.0,268.61538461538464,1.0250106810374584,-0.5151691749394565,108932.5443786982,548.0,32.0,516.0,1634059767.994805,0.0225100517272949,0.13980507850646942
8,1,0,0,1,1,2,106,3232270617,140,60,126,6,443,41717,0,0,0,0,2,578502810,6,41717,443,4074,66,1030,103.0,291.0,1.135994660394031,-0.2530889615457088,102905.57142857143,495.5,66.0,429.5,3598,32,996,69.0,257.0,1.135994660394031,-0.2530889615457088,102905.57142857143,461.5,32.0,429.5,1634059767.99486,5.4836273193359375e-05,0.13985991477966278
9,1,0,0,1,1,2,106,3232270617,140,60,126,6,443,41717,0,0,0,0,2,578502810,6,41717,443,4214,66,1030,140.0,280.93333333333334,1.2395105027094795,0.0153414769469901,97463.92888888891,409.0,66.0,343.0,3704,32,996,106.0,246.9333333333333,1.2395105027094795,0.0153414769469901,97463.92888888891,375.0,32.0,343.0,1634059767.995461,0.000601053237915,0.1404609680175778
10,1,0,0,1,2,1,32,578502810,66,64,52,6,41717,443,0,0,0,0,2,578502810,6,41717,443,4280,66,1030,103.0,267.5,1.3352789121597146,0.2714247247285333,94079.25,322.5,66.0,256.5,3736,32,996,69.0,233.5,1.3352789121597146,0.2714247247285333,94079.25,288.5,32.0,256.5,1634059768.00429,0.008829116821289,0.1492900848388668
11,1,0,0,1,2,1,32,578502810,66,64,52,6,41717,443,0,0,0,0,2,578502810,6,41717,443,4346,66,1030,66.0,255.64705882352945,1.4260570256096043,0.5327691814712767,90793.0519031142,236.0,66.0,170.0,3768,32,996,32.0,221.64705882352945,1.4260570256096043,0.5327691814712767,90793.0519031142,202.0,32.0,170.0,1634059768.045157,0.0408668518066406,0.1901569366455074
12,1,0,0,1,2,1,32,578502810,66,64,52,6,41717,443,0,0,0,0,2,578502810,6,41717,443,4412,66,1030,66.0,245.11111111111111,1.5124691677224609,0.7982913471270052,87636.0987654321,212.0,66.0,146.0,3800,32,996,32.0,211.11111111111111,1.5124691677224609,0.7982913471270052,87636.0987654321,178.0,32.0,146.0,1634059768.077483,0.0323259830474853,0.2224829196929927
13,1,0,0,1,2,1,1440,578502810,1474,64,1460,6,41717,443,0,0,0,0,2,578502810,6,41717,443,5886,66,1474,66.0,309.7894736842105,1.6486283540455864,1.6599553469746358,158322.9030470914,409.0,66.0,343.0,5240,32,1440,32.0,275.7894736842105,1.6486283540455864,1.6599553469746358,158322.9030470914,375.0,32.0,343.0,1634059768.077992,0.0005090236663818,0.2229919433593745
14,1,0,0,1,1,2,106,3232270617,140,60,126,6,443,41717,0,0,0,0,2,578502810,6,41717,443,6026,66,1474,103.0,301.3,1.7298623715534345,1.9668408255698155,151776.11000000002,322.5,66.0,256.5,5346,32,1440,69.0,267.3,1.7298623715534345,1.9668408255698155,151776.11000000002,288.5,32.0,256.5,1634059768.102574,0.0245821475982666,0.2475740909576411
15,1,0,0,1,2,1,44,578502810,78,64,64,6,41717,443,0,0,0,0,2,578502810,6,41717,443,78,78,78,78.0,78.0,0.0,-3.0,0.0,78.0,78.0,0.0,44,44,44,44.0,44.0,0.0,-3.0,0.0,44.0,44.0,0.0,1634059768.124411,0.0218369960784912,0.2694110870361323
16,1,0,0,1,2,1,1440,578502810,1474,64,1460,6,41717,443,0,0,0,0,2,578502810,6,41717,443,1552,78,1474,776.0,776.0,0.0,-2.0,487204.0,1125.0,427.0,698.0,1484,44,1440,742.0,742.0,0.0,-2.0,487204.0,1091.0,393.0,698.0,1634059768.125288,0.0008769035339355,0.2702879905700678
17,1,0,0,1,2,1,1440,578502810,1474,64,1460,6,41717,443,0,0,0,0,2,578502810,6,41717,443,3026,78,1474,1474.0,1008.6666666666666,-0.7071067811865475,-1.5,433070.2222222223,1474.0,776.0,698.0,2924,44,1440,1440.0,974.6666666666666,-0.7071067811865475,-1.5,433070.2222222223,1440.0,742.0,698.0,1634059768.125288,0.0,0.2702879905700678
18,1,0,0,1,2,1,1440,578502810,1474,64,1460,6,41717,443,0,0,0,0,2,578502810,6,41717,443,4500,78,1474,1474.0,1125.0,-1.1547005383792517,-0.6666666666666665,365403.0,1474.0,1125.0,349.0,4364,44,1440,1440.0,1091.0,-1.1547005383792517,-0.6666666666666665,365403.0,1440.0,1091.0,349.0,1634059768.126749,0.0014610290527343,0.2717490196228021
19,1,0,0,1,2,1,1440,578502810,1474,64,1460,6,41717,443,0,0,0,0,2,578502810,6,41717,443,5974,78,1474,1474.0,1194.8,-1.499999999999999,0.2499999999999982,311810.5600000001,1474.0,1474.0,0.0,5804,44,1440,1440.0,1160.8,-1.499999999999999,0.2499999999999982,311810.5600000001,1440.0,1440.0,0.0,1634059768.128292,0.0015430450439453,0.27329206466674744
20,1,0,0,1,2,1,1440,578502810,1474,64,1460,6,41717,443,0,0,0,0,2,578502810,6,41717,443,7448,78,1474,1474.0,1241.3333333333333,-1.7888543819998322,1.200000000000002,270668.8888888888,1474.0,1474.0,0.0,7244,44,1440,1440.0,1207.3333333333333,-1.7888543819998322,1.200000000000002,270668.8888888888,1440.0,1440.0,0.0,1634059768.129981,0.0016889572143554,0.27498102188110285
21,1,0,0,1,2,1,1440,578502810,1474,64,1460,6,41717,443,0,0,0,0,2,578502810,6,41717,443,8922,78,1474,1474.0,1274.571428571429,-2.041241452319317,2.1666666666666714,238630.5306122448,1474.0,1474.0,0.0,8684,44,1440,1440.0,1240.571428571429,-2.041241452319317,2.1666666666666714,238630.5306122448,1440.0,1440.0,0.0,1634059768.129981,0.0,0.27498102188110285
22,1,0,0,1,2,1,1440,578502810,1474,64,1460,6,41717,443,0,0,0,0,2,578502810,6,41717,443,10396,78,1474,1474.0,1299.5,-2.2677868380553634,3.1428571428571432,213151.75,1474.0,1474.0,0.0,10124,44,1440,1440.0,1265.5,-2.2677868380553634,3.1428571428571432,213151.75,1440.0,1440.0,0.0,1634059768.13302,0.0030388832092285,0.27801990509033137
23,1,0,0,1,2,1,1440,578502810,1474,64,1460,6,41717,443,0,0,0,0,2,578502810,6,41717,443,11870,78,1474,1474.0,1318.888888888889,-2.4748737341529163,4.125000000000001,192475.65432098764,1474.0,1474.0,0.0,11564,44,1440,1440.0,1284.888888888889,-2.4748737341529163,4.125000000000001,192475.65432098764,1440.0,1440.0,0.0,1634059768.164044,0.0310239791870117,0.3090438842773431
24,1,0,0,1,1,2,32,3232270617,66,60,52,6,443,41717,0,0,0,0,2,578502810,6,41717,443,11936,66,1474,1474.0,1193.6,-1.5000858482307295,0.2504006227838435,314503.84,1474.0,1474.0,0.0,11596,32,1440,1440.0,1159.6,-1.5000858482307295,0.2504006227838435,314503.84,1440.0,1440.0,0.0,1634059768.173064,0.0090200901031494,0.3180639743804925
25,1,0,0,1,1,2,32,3232270617,66,60,52,6,443,41717,0,0,0,0,2,578502810,6,41717,443,12002,66,1474,1474.0,1091.090909090909,-1.02069575970797,-0.9580682812799132,390993.7190082645,1474.0,776.0,698.0,11628,32,1440,1440.0,1057.090909090909,-1.02069575970797,-0.9580682812799132,390993.7190082645,1440.0,742.0,698.0,1634059768.174631,0.0015671253204345,0.319631099700927
26,1,0,0,1,1,2,32,3232270617,66,60,52,6,443,41717,0,0,0,0,2,578502810,6,41717,443,12068,66,1474,1474.0,1005.6666666666666,-0.7071718761806436,-1.499816408478041,438681.2222222222,1474.0,75.0,1399.0,11660,32,1440,1440.0,971.6666666666666,-0.7071718761806436,-1.499816408478041,438681.2222222222,1440.0,41.0,1399.0,1634059768.177642,0.0030109882354736,0.3226420879364006
27,1,0,0,1,1,2,32,3232270617,66,60,52,6,443,41717,0,0,0,0,2,578502810,6,41717,443,12134,66,1474,1474.0,933.3846153846154,-0.4743998752352264,-1.7748655185497406,467632.8520710059,1474.0,66.0,1408.0,11692,32,1440,1440.0,899.3846153846154,-0.4743998752352264,-1.7748655185497406,467632.8520710059,1440.0,32.0,1408.0,1634059768.179617,0.0019748210906982,0.3246169090270988
28,1,0,0,1,1,2,32,3232270617,66,60,52,6,443,41717,0,0,0,0,2,578502810,6,41717,443,12200,66,1474,1474.0,871.4285714285714,-0.2887285951841887,-1.9165643282816769,484131.67346938775,1474.0,66.0,1408.0,11724,32,1440,1440.0,837.4285714285714,-0.2887285951841887,-1.9165643282816769,484131.67346938775,1440.0,32.0,1408.0,1634059768.213286,0.0336689949035644,0.3582859039306632
29,1,0,0,1,2,1,1440,578502810,1474,64,1460,6,41717,443,0,0,0,0,2,578502810,6,41717,443,13674,66,1474,1474.0,911.6,-0.4082997222803007,-1.8332218807877207,474448.64,1474.0,66.0,1408.0,13164,32,1440,1440.0,877.6,-0.4082997222803007,-1.8332218807877207,474448.64,1440.0,32.0,1408.0,1634059768.22138,0.0080940723419189,0.36637997627258206
