Unnamed: 0,L4_tcp,L4_udp,L7_http,L7_https,port_class_src,port_class_dst,pck_size,ip_dst_new,ethernet_frame_size ,ttl,total_length,protocol ,source_port,dest_port,DNS_count,NTP_count,ARP_count,cnt,L3_ip_dst_count,most_freq_d_ip,most_freq_prot,most_freq_sport,most_freq_dport,sum_et,min_et,max_et,med_et,average_et,skew_et,kurt_et,var,q3,q1,iqr,sum_e,min_e,max_e,med,average,skew_e,kurt_e,var_e,q3_e,q1_e,iqr_e,epoch_timestamp,inter_arrival_time,time_since_previously_displayed_frame
0,1,0,0,1,1,2,32,3232270617,66,60,52,6,443,41717,0,0,0,0,2,578502810,6,41717,443,1210,66,1078,66.0,403.3333333333333,0.7071067811865478,-1.5,227587.5555555556,572.0,66.0,506.0,1108,32,1044,32.0,369.3333333333333,0.7071067811865478,-1.5,227587.5555555556,538.0,32.0,506.0,1634059454.495113,0.0,0.0
1,1,0,0,1,2,1,186,578502810,220,64,206,6,41717,443,0,0,0,0,2,578502810,6,41717,443,1430,66,1078,143.0,357.5,1.080715018624821,-0.7312782325487897,176992.75,434.5,66.0,368.5,1294,32,1044,109.0,323.5,1.080715018624821,-0.7312782325487897,176992.75,400.5,32.0,368.5,1634059454.500345,0.0052320957183837,0.0052320957183837
2,1,0,0,1,1,2,32,3232270617,66,60,52,6,443,41717,0,0,0,0,2,578502810,6,41717,443,1496,66,1078,66.0,299.2,1.4192127229426132,0.1289798770722034,155189.75999999998,220.0,66.0,154.0,1326,32,1044,32.0,265.2,1.4192127229426132,0.1289798770722034,155189.75999999998,186.0,32.0,154.0,1634059454.549155,0.0488100051879882,0.0540421009063719
3,1,0,0,1,2,1,532,578502810,566,64,552,6,41717,443,0,0,0,0,2,578502810,6,41717,443,2062,66,1078,143.0,343.6666666666667,1.0937438801508417,-0.3228455318645782,139211.22222222222,479.5,66.0,413.5,1858,32,1044,109.0,309.6666666666667,1.0937438801508417,-0.3228455318645782,139211.22222222222,445.5,32.0,413.5,1634059454.568375,0.0192201137542724,0.0732622146606443
4,1,0,0,1,1,2,32,3232270617,66,60,52,6,443,41717,0,0,0,0,2,578502810,6,41717,443,2128,66,1078,66.0,304.0,1.320655608537008,0.2438468137007547,128764.57142857143,393.0,66.0,327.0,1890,32,1044,32.0,270.0,1.320655608537008,0.2438468137007547,128764.57142857143,359.0,32.0,327.0,1634059454.617325,0.0489499568939209,0.1222121715545652
5,1,0,0,1,2,1,1044,578502810,1078,64,1064,6,41717,443,0,0,0,0,2,578502810,6,41717,443,3206,66,1078,143.0,400.75,0.7807513120206586,-1.1387717360848275,178192.9375,694.0,66.0,628.0,2934,32,1044,109.0,366.75,0.7807513120206586,-1.1387717360848275,178192.9375,660.0,32.0,628.0,1634059454.622546,0.005220890045166,0.1274330615997312
6,1,0,0,1,1,2,106,3232270617,140,60,126,6,443,41717,0,0,0,0,2,578502810,6,41717,443,3346,66,1078,140.0,371.77777777777777,0.9630137206261304,-0.8100061224383888,165108.8395061728,566.0,66.0,500.0,3040,32,1044,106.0,337.77777777777777,0.9630137206261304,-0.8100061224383888,165108.8395061728,532.0,32.0,500.0,1634059454.652787,0.0302410125732421,0.1576740741729733
7,1,0,0,1,1,2,106,3232270617,140,60,126,6,443,41717,0,0,0,0,2,578502810,6,41717,443,3486,66,1078,140.0,348.6,1.124508653829854,-0.460217832258317,153432.84,479.5,66.0,413.5,3146,32,1044,106.0,314.6,1.124508653829854,-0.460217832258317,153432.84,445.5,32.0,413.5,1634059454.654274,0.0014870166778564,0.1591610908508297
8,1,0,0,1,1,2,180,3232270617,214,60,200,6,443,41717,0,0,0,0,2,578502810,6,41717,443,3700,66,1078,140.0,336.3636363636364,1.2542697734038444,-0.1066368802415542,140981.6859504132,393.0,66.0,327.0,3326,32,1044,106.0,302.3636363636364,1.2542697734038444,-0.1066368802415542,140981.6859504132,359.0,32.0,327.0,1634059454.654335,6.103515625e-05,0.1592221260070797
9,1,0,0,1,1,2,32,3232270617,66,60,52,6,443,41717,0,0,0,0,2,578502810,6,41717,443,3766,66,1078,140.0,313.8333333333333,1.3805484817949816,0.2410928027832257,134816.97222222225,306.5,66.0,240.5,3358,32,1044,106.0,279.8333333333333,1.3805484817949816,0.2410928027832257,134816.97222222225,272.5,32.0,240.5,1634059454.67256,0.0182249546051025,0.1774470806121822
