Unnamed: 0,L4_tcp,L4_udp,L7_http,L7_https,port_class_src,port_class_dst,pck_size,ip_dst_new,ethernet_frame_size ,ttl,total_length,protocol ,source_port,dest_port,DNS_count,NTP_count,ARP_count,cnt,L3_ip_dst_count,most_freq_d_ip,most_freq_prot,most_freq_sport,most_freq_dport,sum_et,min_et,max_et,med_et,average_et,skew_et,kurt_et,var,q3,q1,iqr,sum_e,min_e,max_e,med,average,skew_e,kurt_e,var_e,q3_e,q1_e,iqr_e,epoch_timestamp,inter_arrival_time,time_since_previously_displayed_frame
0,1,0,0,0,2,3,426,3232270593,460,64,446,6,8009,58449,0,0,0,2,7,3232270593,17,5353,5353,1480,54,460,98.0,134.54545454545453,2.4268623836638468,4.619578997437351,11606.975206611573,131.0,86.0,45.0,1106,20,426,64.0,100.54545454545456,2.426862383663846,4.61957899743735,11606.975206611569,97.0,52.0,45.0,1634049723.491497,0.0,0.0
1,1,0,0,0,3,2,20,3232270754,54,128,40,6,58449,8009,0,0,0,2,7,3232270593,17,5353,5353,1534,54,460,94.5,127.83333333333331,2.5214777280712,5.23438966298888,11135.305555555557,114.5,81.0,33.5,1126,20,426,60.5,93.83333333333331,2.5214777280712,5.23438966298888,11135.305555555557,80.5,47.0,33.5,1634049723.544052,0.0525548458099365,0.0525548458099365
2,1,0,0,0,2,3,284,3232270593,318,64,304,6,8009,58449,0,0,0,2,7,3232270593,6,5353,5353,1852,54,460,98.0,142.46153846153845,1.85228204008057,2.263953571347578,12846.55621301775,164.0,81.0,83.0,1410,20,426,64.0,108.46153846153848,1.8522820400805688,2.2639535713475736,12846.556213017757,130.0,47.0,83.0,1634049724.749771,1.205719232559204,1.2582740783691406
3,1,0,0,0,2,3,426,3232270593,460,64,446,6,8009,58449,0,0,0,2,7,3232270593,6,5353,5353,2312,54,460,98.0,165.14285714285714,1.382984798091467,0.3367067653410567,18616.693877551024,164.0,83.5,80.5,1836,20,426,64.0,131.14285714285714,1.382984798091467,0.3367067653410567,18616.693877551024,130.0,49.5,80.5,1634049724.749771,0.0,1.2582740783691406
4,1,0,0,0,3,2,20,3232270754,54,128,40,6,58449,8009,0,0,0,2,7,3232270593,6,5353,5353,2366,54,460,98.0,157.73333333333332,1.4692724478187322,0.6145899548731828,18144.19555555556,164.0,81.0,83.0,1856,20,426,64.0,123.73333333333332,1.469272447818733,0.6145899548731841,18144.195555555558,130.0,47.0,83.0,1634049724.749865,9.393692016601562e-05,1.2583680152893066
5,1,0,1,0,2,1,327,2899944707,361,64,347,6,42148,80,0,0,0,3,8,3232270593,6,5353,5353,2727,54,460,98.0,170.4375,1.1625126025461243,-0.2364373404611579,19431.12109375,202.5,81.0,121.5,2183,20,426,64.0,136.4375,1.1625126025461243,-0.2364373404611579,19431.12109375,168.5,47.0,121.5,1634049726.326432,1.5765669345855713,2.834934949874878
6,1,0,1,0,1,2,115,3232270754,149,60,135,6,80,42148,0,0,0,3,8,3232270593,6,5353,5353,2876,54,460,98.0,169.1764705882353,1.2235162545973002,-0.0267471605323668,18313.557093425603,164.0,81.0,83.0,2298,20,426,64.0,135.1764705882353,1.2235162545973002,-0.0267471605323668,18313.557093425603,130.0,47.0,83.0,1634049726.351965,0.0255329608917236,2.8604679107666016
7,1,0,1,0,2,1,32,2899944707,66,64,52,6,42148,80,0,0,0,3,8,3232270593,6,5353,5353,2942,54,460,98.0,163.44444444444446,1.303569278047332,0.186645703330222,17854.69135802469,164.0,81.0,83.0,2330,20,426,64.0,129.44444444444446,1.303569278047332,0.186645703330222,17854.69135802469,130.0,47.0,83.0,1634049726.359287,0.007322072982788,2.8677899837493896
8,0,1,0,0,2,1,45,134744072,79,64,65,17,45161,53,1,0,0,3,9,3232270593,6,5353,5353,3021,54,460,98.0,159.0,1.385677807430756,0.4161676973322255,17270.526315789473,164.0,80.0,84.0,2375,20,426,64.0,125.0,1.385677807430756,0.4161676973322255,17270.526315789473,130.0,46.0,84.0,1634049726.492979,0.1336920261383056,3.0014820098876953
9,0,1,0,0,1,2,85,3232270754,119,122,105,17,53,45161,2,0,0,3,9,3232270593,6,5353,5353,3140,54,460,98.0,157.0,1.4570798066513773,0.6526904194592671,16483.0,164.0,80.5,83.5,2460,20,426,64.0,123.0,1.4570798066513773,0.6526904194592671,16483.0,130.0,46.5,83.5,1634049726.539794,0.0468149185180664,3.0482969284057617
