Unnamed: 0,L4_tcp,L4_udp,L7_http,L7_https,port_class_src,port_class_dst,pck_size,ip_dst_new,ethernet_frame_size ,ttl,total_length,protocol ,source_port,dest_port,DNS_count,NTP_count,ARP_count,cnt,L3_ip_dst_count,most_freq_d_ip,most_freq_prot,most_freq_sport,most_freq_dport,sum_et,min_et,max_et,med_et,average_et,skew_et,kurt_et,var,q3,q1,iqr,sum_e,min_e,max_e,med,average,skew_e,kurt_e,var_e,q3_e,q1_e,iqr_e,epoch_timestamp,inter_arrival_time,time_since_previously_displayed_frame
0,1,0,0,0,2,3,442,3232270593,476,64,462,6,8009,58449,0,0,0,6,12,3232270754,17,443,443,1801,54,476,82.5,150.08333333333334,1.5855552039874692,1.1847701349754134,16449.909722222223,164.0,66.0,98.0,1393,20,442,48.5,116.08333333333331,1.5855552039874703,1.184770134975416,16449.909722222223,130.0,32.0,98.0,1634049865.067969,0.0,0.0
1,1,0,0,0,3,2,20,3232270754,54,128,40,6,58449,8009,0,0,0,6,12,3232270754,17,443,443,1855,54,476,70.0,142.69230769230768,1.6910733668803637,1.5686971760183752,15840.059171597635,164.0,66.0,98.0,1413,20,442,36.0,108.6923076923077,1.6910733668803637,1.5686971760183752,15840.059171597635,130.0,32.0,98.0,1634049865.109552,0.0415828227996826,0.0415828227996826
2,1,0,0,0,2,3,300,3232270593,334,64,320,6,8009,58449,0,0,0,6,12,3232270754,17,443,443,2189,54,476,82.5,156.35714285714286,1.3041973196800711,0.3406698623065018,17136.086734693876,164.0,66.0,98.0,1713,20,442,48.5,122.35714285714286,1.3041973196800711,0.3406698623065018,17136.086734693876,130.0,32.0,98.0,1634049865.452178,0.3426260948181152,0.3842089176177978
3,1,0,0,0,3,2,20,3232270754,54,128,40,6,58449,8009,0,0,0,6,12,3232270754,17,58449,443,2243,54,476,70.0,149.53333333333333,1.3969786586287112,0.6095892584937395,16645.582222222223,164.0,66.0,98.0,1733,20,442,36.0,115.53333333333332,1.3969786586287112,0.6095892584937395,16645.582222222223,130.0,32.0,98.0,1634049865.504652,0.052474021911621,0.4366829395294188
4,0,1,0,0,3,1,1358,2899902734,1392,64,1378,17,55672,443,0,0,0,6,12,3232270754,17,58449,443,3635,54,1392,82.5,227.1875,2.8232580479440563,7.287581650618666,106057.77734375,206.5,66.0,140.5,3091,20,1358,48.5,193.1875,2.8232580479440563,7.287581650618666,106057.77734375,172.5,32.0,140.5,1634049868.062983,2.55833101272583,2.995013952255249
5,0,1,0,0,1,3,1358,3232270754,1392,59,1378,17,443,55672,0,0,0,6,12,3232270754,17,443,443,5027,54,1392,95.0,295.7058823529412,2.029074409063513,2.6060320199876648,174935.38408304498,334.0,66.0,268.0,4449,20,1358,61.0,261.7058823529412,2.029074409063513,2.6060320199876648,174935.38408304498,300.0,32.0,268.0,1634049868.120427,0.0574438571929931,3.052457809448242
6,0,1,0,0,1,3,1358,3232270754,1392,60,1378,17,443,55672,0,0,0,6,12,3232270754,17,443,443,6419,54,1392,122.0,356.6111111111111,1.5722200947777802,0.7498217681537596,228277.3487654321,354.25,66.0,288.25,5807,20,1358,88.0,322.6111111111111,1.5722200947777802,0.7498217681537596,228277.3487654321,320.25,32.0,288.25,1634049868.376603,0.2561759948730469,3.308633804321289
7,0,1,0,0,3,1,1358,2899902734,1392,64,1378,17,55672,443,0,0,0,6,12,3232270754,17,443,443,7811,54,1392,149.0,411.10526315789474,1.2608725784830874,-0.2191854628297069,269715.77839335176,418.5,66.0,352.5,7165,20,1358,115.0,377.10526315789474,1.2608725784830874,-0.2191854628297069,269715.77839335176,384.5,32.0,352.5,1634049868.575926,0.1993231773376464,3.5079569816589355
8,0,1,0,0,1,3,1358,3232270754,1392,60,1378,17,443,55672,0,0,0,6,12,3232270754,17,443,443,9203,54,1392,156.5,460.15,1.027272177342261,-0.7987956338301618,301932.3275,705.0,66.0,639.0,8523,20,1358,122.5,426.15,1.027272177342261,-0.7987956338301618,301932.3275,671.0,32.0,639.0,1634049868.625081,0.0491549968719482,3.557111978530884
9,0,1,0,0,3,1,41,2899902734,75,64,61,17,55672,443,0,0,0,6,12,3232270754,17,443,443,75,75,75,75.0,75.0,0.0,-3.0,0.0,75.0,75.0,0.0,41,41,41,41.0,41.0,0.0,-3.0,0.0,41.0,41.0,0.0,1634049868.670022,0.0449409484863281,3.602052927017212
