Unnamed: 0,L4_tcp,L4_udp,L7_http,L7_https,port_class_src,port_class_dst,pck_size,ip_dst_new,ethernet_frame_size ,ttl,total_length,protocol ,source_port,dest_port,DNS_count,NTP_count,ARP_count,cnt,L3_ip_dst_count,most_freq_d_ip,most_freq_prot,most_freq_sport,most_freq_dport,sum_et,min_et,max_et,med_et,average_et,skew_et,kurt_et,var,q3,q1,iqr,sum_e,min_e,max_e,med,average,skew_e,kurt_e,var_e,q3_e,q1_e,iqr_e,epoch_timestamp,inter_arrival_time,time_since_previously_displayed_frame
0,1,0,0,0,2,3,284,3232270593,318,64,304,6,8009,58449,0,0,0,8,12,3232270754,17,58449,443,1092,54,318,132.5,136.5,1.0374613451588155,0.2709932735881337,6764.5,164.0,68.25,95.75,820,20,284,98.5,102.5,1.0374613451588155,0.2709932735881337,6764.5,130.0,34.25,95.75,1634050695.090254,0.0,0.0
1,1,0,0,0,2,3,426,3232270593,460,64,446,6,8009,58449,0,0,0,8,12,3232270754,17,58449,443,1552,54,460,164.0,172.44444444444446,1.1793494289069837,0.2439949468212821,16348.913580246914,164.0,73.0,91.0,1246,20,426,130.0,138.44444444444446,1.1793494289069837,0.2439949468212821,16348.913580246914,130.0,39.0,91.0,1634050695.095488,0.0052340030670166,0.0052340030670166
2,1,0,0,0,3,2,20,3232270754,54,128,40,6,58449,8009,0,0,0,8,12,3232270754,17,58449,443,1606,54,460,132.5,160.6,1.298387680327954,0.5682551347257534,15976.64,164.0,58.75,105.25,1266,20,426,98.5,126.6,1.298387680327954,0.5682551347257534,15976.64,130.0,24.75,105.25,1634050695.095527,3.886222839355469e-05,0.0052728652954101545
3,1,0,0,0,2,3,426,3232270593,460,64,446,6,8009,58449,0,0,0,8,12,3232270754,17,58449,443,2066,54,460,164.0,187.8181818181818,0.9274369133405216,-0.6457273416880325,21932.512396694216,241.0,63.5,177.5,1692,20,426,130.0,153.8181818181818,0.9274369133405216,-0.6457273416880325,21932.512396694216,207.0,29.5,177.5,1634050695.266294,0.170767068862915,0.17603993415832517
4,1,0,0,0,3,2,32,3232270754,66,128,52,6,58449,8009,0,0,0,8,12,3232270754,17,58449,443,2132,54,460,132.5,177.66666666666666,1.0528070367617668,-0.3936561910226355,21238.38888888889,202.5,63.0,139.5,1724,20,426,98.5,143.66666666666666,1.0528070367617668,-0.3936561910226355,21238.38888888889,168.5,29.0,139.5,1634050695.266365,7.104873657226562e-05,0.17611098289489743
5,0,0,0,0,0,0,64,3232270593,98,64,84,1,0,0,0,0,0,8,12,3232270754,17,58449,443,2230,54,460,101.0,171.53846153846155,1.1752755770060246,-0.1020330582049005,20055.32544378698,164.0,66.0,98.0,1788,20,426,67.0,137.53846153846155,1.1752755770060246,-0.1020330582049005,20055.32544378698,130.0,32.0,98.0,1634050695.756242,0.4898769855499267,0.6659879684448241
6,0,0,0,0,0,0,64,3232270593,98,64,84,1,0,0,0,0,0,8,12,3232270754,17,58449,443,2328,54,460,99.5,166.28571428571428,1.2888053371720585,0.1976751598625905,18981.489795918365,164.0,67.75,96.25,1852,20,426,65.5,132.28571428571428,1.2888053371720585,0.1976751598625905,18981.489795918365,130.0,33.75,96.25,1634050696.801773,1.0455310344696045,1.7115190029144287
7,0,0,0,0,0,0,64,3232270593,98,64,84,1,0,0,0,0,0,8,12,3232270754,17,58449,443,2426,54,460,98.0,161.73333333333332,1.3949572942002233,0.5034223218753477,18006.195555555554,164.0,69.5,94.5,1916,20,426,64.0,127.73333333333332,1.394957294200223,0.5034223218753477,18006.195555555554,130.0,35.5,94.5,1634050697.836485,1.034711837768555,2.7462308406829834
8,0,1,0,0,3,1,45,134744072,79,64,65,17,58728,53,1,0,0,8,12,3232270754,17,58449,443,2505,54,460,98.0,156.5625,1.4933290221790336,0.8010190052025075,17281.87109375,164.0,71.25,92.75,1961,20,426,64.0,122.5625,1.4933290221790336,0.8010190052025075,17281.87109375,130.0,37.25,92.75,1634050698.099885,0.2634000778198242,3.0096309185028076
9,0,1,0,0,1,3,85,3232270754,119,122,105,17,53,58728,2,0,0,8,12,3232270754,17,58449,443,2624,54,460,98.0,154.35294117647058,1.5786296862093436,1.1078532218711494,16343.404844290655,164.0,73.0,91.0,2046,20,426,64.0,120.3529411764706,1.578629686209343,1.1078532218711477,16343.40484429066,130.0,39.0,91.0,1634050698.125971,0.0260860919952392,3.035717010498047
