Unnamed: 0,L4_tcp,L4_udp,L7_http,L7_https,port_class_src,port_class_dst,pck_size,ip_dst_new,ethernet_frame_size ,ttl,total_length,protocol ,source_port,dest_port,DNS_count,NTP_count,ARP_count,cnt,L3_ip_dst_count,most_freq_d_ip,most_freq_prot,most_freq_sport,most_freq_dport,sum_et,min_et,max_et,med_et,average_et,skew_et,kurt_et,var,q3,q1,iqr,sum_e,min_e,max_e,med,average,skew_e,kurt_e,var_e,q3_e,q1_e,iqr_e,epoch_timestamp,inter_arrival_time,time_since_previously_displayed_frame
0,1,0,0,0,3,2,32,2398756796,66,64,52,6,51078,5228,0,0,0,8,12,3232270754,17,58449,443,66,66,66,66.0,66.0,0.0,-3.0,0.0,66.0,66.0,0.0,32,32,32,32.0,32.0,0.0,-3.0,0.0,32.0,32.0,0.0,1634050482.809465,0.0,0.0
1,1,0,0,0,2,3,32,3232270754,66,43,52,6,5228,51078,0,0,0,8,12,3232270754,17,58449,443,132,66,66,66.0,66.0,0.0,-3.0,0.0,66.0,66.0,0.0,64,32,32,32.0,32.0,0.0,-3.0,0.0,32.0,32.0,0.0,1634050482.857907,0.0484421253204345,0.0484421253204345
2,1,0,0,0,2,3,300,3232270593,334,64,320,6,8009,58449,0,0,0,8,12,3232270754,17,58449,443,466,66,334,66.0,155.33333333333334,0.7071067811865474,-1.5000000000000002,15960.888888888889,200.0,66.0,134.0,364,32,300,32.0,121.33333333333331,0.7071067811865477,-1.5,15960.88888888889,166.0,32.0,134.0,1634050483.048039,0.1901319026947021,0.2385740280151366
3,1,0,0,0,2,3,442,3232270593,476,64,462,6,8009,58449,0,0,0,8,12,3232270754,17,58449,443,942,66,476,200.0,235.5,0.2319994696514595,-1.6968989770556877,31250.75,369.5,66.0,303.5,806,32,442,166.0,201.5,0.2319994696514595,-1.6968989770556877,31250.75,335.5,32.0,303.5,1634050483.053952,0.0059130191802978,0.2444870471954344
4,1,0,0,0,3,2,20,3232270754,54,128,40,6,58449,8009,0,0,0,8,12,3232270754,17,58449,443,996,54,476,66.0,199.2,0.6026260989601261,-1.4122729169466948,30271.360000000004,334.0,66.0,268.0,826,20,442,32.0,165.2,0.6026260989601261,-1.4122729169466948,30271.360000000004,300.0,32.0,268.0,1634050483.054018,6.604194641113281e-05,0.24455308914184554
5,0,0,0,0,0,0,64,3232270593,98,64,84,1,0,0,0,0,0,8,12,3232270754,17,58449,443,1094,54,476,82.0,182.33333333333331,0.8793612727088759,-0.968815932571074,26648.55555555555,275.0,66.0,209.0,890,20,442,48.0,148.33333333333334,0.8793612727088759,-0.968815932571074,26648.55555555555,241.0,32.0,209.0,1634050483.360386,0.3063678741455078,0.5509209632873533
6,0,0,0,0,0,0,64,3232270593,98,64,84,1,0,0,0,0,0,8,12,3232270754,17,58449,443,1192,54,476,98.0,170.28571428571428,1.1097016352193207,-0.4777836080451325,23712.48979591837,216.0,66.0,150.0,954,20,442,64.0,136.28571428571428,1.1097016352193207,-0.4777836080451325,23712.48979591837,182.0,32.0,150.0,1634050484.402059,1.041673183441162,1.5925941467285154
7,0,0,0,0,0,0,64,3232270593,98,64,84,1,0,0,0,0,0,8,12,3232270754,17,58449,443,1290,54,476,98.0,161.25,1.309659312286818,0.0387623047441851,21319.9375,157.0,66.0,91.0,1018,20,442,64.0,127.25,1.309659312286818,0.0387623047441851,21319.9375,123.0,32.0,91.0,1634050485.438993,1.0369338989257812,2.629528045654297
8,0,0,0,0,0,0,64,3232270593,98,64,84,1,0,0,0,0,0,8,12,3232270754,17,58449,443,1388,54,476,98.0,154.22222222222223,1.4880265060536608,0.5705605092743888,19346.172839506173,98.0,66.0,32.0,1082,20,442,64.0,120.22222222222224,1.4880265060536608,0.5705605092743888,19346.172839506173,64.0,32.0,32.0,1634050486.478912,1.039919137954712,3.669447183609009
9,0,0,0,0,0,0,64,3232270593,98,64,84,1,0,0,0,0,0,8,12,3232270754,17,58449,443,1486,54,476,98.0,148.6,1.6501644148679515,1.1121969882599974,17696.039999999994,98.0,74.0,24.0,1146,20,442,64.0,114.6,1.6501644148679515,1.1121969882599974,17696.039999999994,64.0,40.0,24.0,1634050487.519503,1.04059100151062,4.710038185119629
10,1,0,0,0,3,2,130,3232270754,164,128,150,6,58449,8009,0,0,0,8,12,3232270754,17,58449,443,1650,54,476,98.0,150.0,1.6946164796080063,1.436929675099397,16106.90909090909,131.0,82.0,49.0,1276,20,442,64.0,116.0,1.6946164796080063,1.436929675099397,16106.90909090909,97.0,48.0,49.0,1634050488.068856,0.5493528842926025,5.2593910694122314
11,1,0,0,0,2,3,130,3232270593,164,64,150,6,8009,58449,0,0,0,8,12,3232270754,17,58449,443,1814,54,476,98.0,151.16666666666666,1.7386170670875123,1.763208392217953,14779.638888888889,164.0,90.0,74.0,1406,20,442,64.0,117.16666666666669,1.7386170670875123,1.763208392217953,14779.638888888883,130.0,56.0,74.0,1634050488.283193,0.2143371105194091,5.473728179931641
12,1,0,0,0,3,2,20,3232270754,54,128,40,6,58449,8009,0,0,0,8,12,3232270754,17,58449,443,1868,54,476,98.0,143.69230769230768,1.830432554407196,2.1555468913326417,14313.136094674555,164.0,66.0,98.0,1426,20,442,64.0,109.6923076923077,1.830432554407196,2.1555468913326417,14313.136094674555,130.0,32.0,98.0,1634050488.33423,0.0510368347167968,5.5247650146484375
13,0,0,0,0,0,0,64,3232270593,98,64,84,1,0,0,0,0,0,8,12,3232270754,17,58449,443,1966,54,476,98.0,140.42857142857142,1.9503598675674536,2.654900020982584,13429.24489795918,147.5,74.0,73.5,1490,20,442,64.0,106.42857142857144,1.9503598675674536,2.654900020982584,13429.24489795918,113.5,40.0,73.5,1634050488.559464,0.2252340316772461,5.749999046325684
14,1,0,0,0,2,3,130,3232270593,164,64,150,6,8009,58449,0,0,0,8,12,3232270754,17,58449,443,2130,54,476,98.0,142.0,1.9690566131771488,2.914087125348396,12568.533333333333,164.0,82.0,82.0,1620,20,442,64.0,108.0,1.9690566131771488,2.914087125348396,12568.533333333333,130.0,48.0,82.0,1634050488.589222,0.0297579765319824,5.779757022857666
15,1,0,0,0,3,2,32,3232270754,66,128,52,6,58449,8009,0,0,0,8,12,3232270754,17,58449,443,2196,54,476,98.0,137.25,2.0580126643383454,3.319191456695803,12121.4375,164.0,66.0,98.0,1652,20,442,64.0,103.25,2.0580126643383454,3.319191456695803,12121.4375,130.0,32.0,98.0,1634050488.589287,6.508827209472656e-05,5.779822111129761
16,0,1,0,0,2,2,37,4294967295,71,64,57,17,9999,9999,0,0,0,8,12,3232270754,17,58449,443,2267,54,476,98.0,133.35294117647058,2.150093235070118,3.748038095115092,11651.40484429066,164.0,66.0,98.0,1689,20,442,64.0,99.3529411764706,2.150093235070118,3.748038095115096,11651.404844290655,130.0,32.0,98.0,1634050489.079869,0.4905819892883301,6.270404100418091
