Unnamed: 0,L4_tcp,L4_udp,L7_http,L7_https,port_class_src,port_class_dst,pck_size,ip_dst_new,ethernet_frame_size ,ttl,total_length,protocol ,source_port,dest_port,DNS_count,NTP_count,ARP_count,cnt,L3_ip_dst_count,most_freq_d_ip,most_freq_prot,most_freq_sport,most_freq_dport,sum_et,min_et,max_et,med_et,average_et,skew_et,kurt_et,var,q3,q1,iqr,sum_e,min_e,max_e,med,average,skew_e,kurt_e,var_e,q3_e,q1_e,iqr_e,epoch_timestamp,inter_arrival_time,time_since_previously_displayed_frame
0,0,1,0,0,3,1,1358,2899944708,1392,64,1378,17,51864,443,0,0,0,0,16,3232270754,17,443,443,2115,54,1392,67.0,235.0,2.430034222350747,3.993935739462722,168962.44444444444,164.0,66.0,98.0,1809,20,1358,33.0,201.0,2.430034222350747,3.993935739462722,168962.44444444444,130.0,32.0,98.0,1634054806.948821,0.0,0.0
1,0,1,0,0,1,3,50,3232270754,84,59,70,17,443,51864,0,0,0,0,16,3232270754,17,443,443,2199,54,1392,71.0,219.9,2.6202495490107243,4.961920894086639,154118.28999999998,144.0,66.25,77.75,1859,20,1358,37.0,185.9,2.6202495490107243,4.961920894086639,154118.28999999998,110.0,32.25,77.75,1634054807.000045,0.0512239933013916,0.0512239933013916
2,0,1,0,0,1,3,1358,3232270754,1392,60,1378,17,443,51864,0,0,0,0,16,3232270754,17,443,443,3591,54,1392,75.0,326.45454545454544,1.6299520515109938,0.68917492195785,253646.24793388424,164.0,66.5,97.5,3217,20,1358,41.0,292.45454545454544,1.6299520515109938,0.68917492195785,253646.24793388424,130.0,32.5,97.5,1634054807.01704,0.0169949531555175,0.0682189464569091
3,0,1,0,0,3,1,41,2899944708,75,64,61,17,51864,443,0,0,0,0,16,3232270754,17,443,443,3666,54,1392,75.0,305.5,1.7683840323583235,1.1614764306096363,237339.0833333333,164.0,66.75,97.25,3258,20,1358,41.0,271.5,1.7683840323583235,1.1614764306096363,237339.0833333333,130.0,32.75,97.25,1634054807.06351,0.0464699268341064,0.11468887329101549
4,0,1,0,0,3,1,302,2899944708,336,64,322,17,51864,443,0,0,0,0,16,3232270754,17,443,443,4002,54,1392,75.0,307.84615384615387,1.82474632881911,1.4688190346649188,219148.28402366865,164.0,67.0,97.0,3560,20,1358,41.0,273.84615384615387,1.82474632881911,1.4688190346649188,219148.28402366865,130.0,33.0,97.0,1634054807.06351,0.0,0.11468887329101549
5,0,1,0,0,3,1,115,2899944708,149,64,135,17,51864,443,0,0,0,0,16,3232270754,17,443,443,4151,54,1392,79.5,296.5,1.9425892244170344,1.926338469196593,205168.39285714287,164.0,67.0,97.0,3675,20,1358,45.5,262.5,1.9425892244170344,1.926338469196593,205168.39285714287,130.0,33.0,97.0,1634054807.064487,0.0009770393371582,0.11566591262817369
6,0,1,0,0,1,3,1358,3232270754,1392,60,1378,17,443,51864,0,0,0,0,16,3232270754,17,443,443,5543,54,1392,84.0,369.53333333333336,1.4378088534741085,0.1525770837124658,266164.64888888894,250.0,67.0,183.0,5033,20,1358,50.0,335.53333333333336,1.4378088534741085,0.1525770837124658,266164.64888888894,216.0,33.0,183.0,1634054807.067241,0.0027539730072021,0.11841988563537578
7,0,1,0,0,3,1,112,2899944708,146,64,132,17,51864,443,0,0,0,0,16,3232270754,17,443,443,5689,54,1392,115.0,355.5625,1.5371400598457092,0.4539769362606991,252457.12109375,207.0,67.0,140.0,5145,20,1358,81.0,321.5625,1.5371400598457092,0.4539769362606991,252457.12109375,173.0,33.0,140.0,1634054807.067622,0.0003809928894042,0.11880087852477998
8,0,1,0,0,3,1,106,2899944708,140,64,126,17,51864,443,0,0,0,0,16,3232270754,17,443,443,5829,54,1392,140.0,342.88235294117646,1.6316916216126398,0.7587109320236207,240179.2802768165,164.0,67.0,97.0,5251,20,1358,106.0,308.88235294117646,1.6316916216126398,0.7587109320236207,240179.2802768165,130.0,33.0,97.0,1634054807.067622,0.0,0.11880087852477998
9,0,1,0,0,3,1,106,2899944708,140,64,126,17,51864,443,0,0,0,0,16,3232270754,17,443,443,5969,54,1392,140.0,331.6111111111111,1.721740892184951,1.0657761592620076,228995.68209876545,164.0,69.0,95.0,5357,20,1358,106.0,297.6111111111111,1.721740892184951,1.0657761592620076,228995.68209876545,130.0,35.0,95.0,1634054807.067622,0.0,0.11880087852477998
