Unnamed: 0,L4_tcp,L4_udp,L7_http,L7_https,port_class_src,port_class_dst,pck_size,ip_dst_new,ethernet_frame_size ,ttl,total_length,protocol ,source_port,dest_port,DNS_count,NTP_count,ARP_count,cnt,L3_ip_dst_count,most_freq_d_ip,most_freq_prot,most_freq_sport,most_freq_dport,sum_et,min_et,max_et,med_et,average_et,skew_et,kurt_et,var,q3,q1,iqr,sum_e,min_e,max_e,med,average,skew_e,kurt_e,var_e,q3_e,q1_e,iqr_e,epoch_timestamp,inter_arrival_time,time_since_previously_displayed_frame
0,0,1,0,0,2,1,40,134744072,74,64,60,17,33641,53,1,0,0,0,19,3232270754,17,443,443,3468,54,1065,149.0,182.52631578947367,3.285167966770689,10.291848896845892,49109.19667590028,181.0,74.5,106.5,2822,20,1031,115.0,148.52631578947367,3.285167966770689,10.291848896845892,49109.19667590028,147.0,40.5,106.5,1634054761.755415,0.0,0.0
1,0,1,0,0,1,2,56,3232270754,90,122,76,17,53,33641,2,0,0,0,19,3232270754,17,443,443,3558,54,1065,119.5,177.9,3.387026243441281,11.038513675705952,47060.39,172.5,74.75,97.75,2878,20,1031,85.5,143.9,3.387026243441281,11.038513675705952,47060.39,138.5,40.75,97.75,1634054761.78103,0.0256149768829345,0.0256149768829345
2,1,0,1,0,3,1,32,2398822819,66,64,52,6,52654,80,2,0,0,12,19,3232270754,17,443,443,66,66,66,66.0,66.0,0.0,-3.0,0.0,66.0,66.0,0.0,32,32,32,32.0,32.0,0.0,-3.0,0.0,32.0,32.0,0.0,1634054761.789989,0.0089590549468994,0.0345740318298339
3,1,0,1,0,1,3,32,3232270754,66,60,52,6,80,52654,2,0,0,12,19,3232270754,17,443,443,132,66,66,66.0,66.0,0.0,-3.0,0.0,66.0,66.0,0.0,64,32,32,32.0,32.0,0.0,-3.0,0.0,32.0,32.0,0.0,1634054761.815238,0.0252490043640136,0.059823036193847504
4,0,1,0,0,2,1,1358,2899944708,1392,64,1378,17,48676,443,2,0,0,12,19,3232270754,17,443,443,1524,66,1392,66.0,508.0,0.7071067811865476,-1.5,390728.0,729.0,66.0,663.0,1422,32,1358,32.0,474.0,0.7071067811865476,-1.5,390728.0,695.0,32.0,663.0,1634054762.015662,0.2004239559173584,0.2602469921112059
5,0,0,0,0,0,0,64,3232270593,98,64,84,1,0,0,2,0,0,12,19,3232270754,17,443,443,1622,66,1392,82.0,405.5,1.152889205902602,-0.668090971858796,324564.75,421.5,66.0,355.5,1486,32,1358,48.0,371.5,1.152889205902602,-0.668090971858796,324564.75,387.5,32.0,355.5,1634054762.055957,0.040295124053955,0.3005421161651609
6,0,1,0,0,1,2,1358,3232270754,1392,59,1378,17,443,48676,2,0,0,12,19,3232270754,17,443,443,3014,66,1392,98.0,602.8,0.4072474147734917,-1.8328032844936413,415360.96,1392.0,66.0,1326.0,2844,32,1358,64.0,568.8,0.4072474147734917,-1.8328032844936413,415360.96,1358.0,32.0,1326.0,1634054762.063465,0.0075080394744873,0.3080501556396482
7,0,1,0,0,2,1,1358,2899944708,1392,64,1378,17,48676,443,2,0,0,12,19,3232270754,17,443,443,4406,66,1392,745.0,734.3333333333334,-0.000784587517774,-1.998965253822346,432639.2222222223,1392.0,74.0,1318.0,4202,32,1358,711.0,700.3333333333334,-0.000784587517774,-1.998965253822346,432639.2222222223,1358.0,40.0,1318.0,1634054762.082208,0.0187427997589111,0.3267929553985593
8,0,1,0,0,1,2,50,3232270754,84,60,70,17,443,48676,2,0,0,12,19,3232270754,17,443,443,4490,66,1392,98.0,641.4285714285714,0.2879363525766362,-1.9161030835930457,422621.387755102,1392.0,75.0,1317.0,4252,32,1358,64.0,607.4285714285714,0.2879363525766362,-1.9161030835930457,422621.387755102,1358.0,41.0,1317.0,1634054762.13336,0.0511519908905029,0.37794494628906217
9,0,1,0,0,1,2,1358,3232270754,1392,60,1378,17,443,48676,2,0,0,12,19,3232270754,17,443,443,5882,66,1392,745.0,735.25,-0.0006267741093642,-1.9991686247793952,431410.9375,1392.0,79.5,1312.5,5610,32,1358,711.0,701.25,-0.0006267741093642,-1.9991686247793952,431410.9375,1358.0,45.5,1312.5,1634054762.181182,0.0478219985961914,0.4257669448852536
10,0,1,0,0,2,1,41,2899944708,75,64,61,17,48676,443,2,0,0,12,19,3232270754,17,443,443,5957,66,1392,98.0,661.8888888888889,0.2230326629816967,-1.94949197768775,426531.20987654326,1392.0,75.0,1317.0,5651,32,1358,64.0,627.8888888888889,0.2230326629816967,-1.94949197768775,426531.20987654326,1358.0,41.0,1317.0,1634054762.194824,0.0136420726776123,0.4394090175628659
11,0,1,0,0,2,1,302,2899944708,336,64,322,17,48676,443,2,0,0,12,19,3232270754,17,443,443,6293,66,1392,217.0,629.3,0.3685641978100228,-1.8211154522429844,393436.41,1392.0,77.25,1314.75,5953,32,1358,183.0,595.3,0.3685641978100228,-1.8211154522429844,393436.41,1358.0,43.25,1314.75,1634054762.194824,0.0,0.4394090175628659
12,0,1,0,0,2,1,1188,2899944708,1222,64,1208,17,48676,443,2,0,0,12,19,3232270754,17,443,443,7515,66,1392,336.0,683.1818181818181,0.1619703154469925,-1.91685056505601,386701.9669421488,1392.0,79.5,1312.5,7141,32,1358,302.0,649.1818181818181,0.1619703154469925,-1.91685056505601,386701.9669421488,1358.0,45.5,1312.5,1634054762.194824,0.0,0.4394090175628659
13,0,1,0,0,2,1,1358,2899944708,1392,64,1378,17,48676,443,2,0,0,12,19,3232270754,17,443,443,8907,66,1392,779.0,742.25,-0.0180365725415559,-1.9482468343380717,392856.3541666667,1392.0,81.75,1310.25,8499,32,1358,745.0,708.25,-0.0180365725415559,-1.9482468343380717,392856.3541666667,1358.0,47.75,1310.25,1634054762.194824,0.0,0.4394090175628659
14,0,1,0,0,2,1,1358,2899944708,1392,64,1378,17,48676,443,2,0,0,12,19,3232270754,17,443,443,10299,66,1392,1222.0,792.2307692307693,-0.1706990808770975,-1.92275928936076,392613.5621301775,1392.0,84.0,1308.0,9857,32,1358,1188.0,758.2307692307693,-0.1706990808770975,-1.92275928936076,392613.5621301775,1358.0,50.0,1308.0,1634054762.194824,0.0,0.4394090175628659
15,0,1,0,0,2,1,1358,2899944708,1392,64,1378,17,48676,443,2,0,0,12,19,3232270754,17,443,443,11691,66,1392,1307.0,835.0714285714286,-0.3039564415113418,-1.861573064108744,388428.92346938775,1392.0,87.5,1304.5,11215,32,1358,1273.0,801.0714285714286,-0.3039564415113418,-1.861573064108744,388428.92346938775,1358.0,53.5,1304.5,1634054762.194824,0.0,0.4394090175628659
16,0,1,0,0,2,1,1358,2899944708,1392,64,1378,17,48676,443,2,0,0,12,19,3232270754,17,443,443,13083,66,1392,1392.0,872.2,-0.4227406487072856,-1.7765240331405714,381833.0933333334,1392.0,91.0,1301.0,12573,32,1358,1358.0,838.2,-0.4227406487072856,-1.7765240331405714,381833.0933333334,1358.0,57.0,1301.0,1634054762.194824,0.0,0.4394090175628659
17,0,1,0,0,2,1,1358,2899944708,1392,64,1378,17,48676,443,2,0,0,12,19,3232270754,17,443,443,14475,66,1392,1392.0,904.6875,-0.5303153289069411,-1.6747399745135203,373800.08984375,1392.0,94.5,1297.5,13931,32,1358,1358.0,870.6875,-0.5303153289069411,-1.6747399745135203,373800.08984375,1358.0,60.5,1297.5,1634054762.194824,0.0,0.4394090175628659
18,0,1,0,0,2,1,1358,2899944708,1392,64,1378,17,48676,443,2,0,0,12,19,3232270754,17,443,443,15867,66,1392,1392.0,933.3529411764706,-0.628947946580383,-1.560768469356241,364959.169550173,1392.0,98.0,1294.0,15289,32,1358,1358.0,899.3529411764706,-0.628947946580383,-1.560768469356241,364959.169550173,1358.0,64.0,1294.0,1634054762.194824,0.0,0.4394090175628659
19,0,1,0,0,2,1,1358,2899944708,1392,64,1378,17,48676,443,2,0,0,12,19,3232270754,17,443,443,17259,66,1392,1392.0,958.8333333333334,-0.720276053342501,-1.4376469804677183,355720.9166666667,1392.0,157.5,1234.5,16647,32,1358,1358.0,924.8333333333334,-0.720276053342501,-1.4376469804677183,355720.9166666667,1358.0,123.5,1234.5,1634054762.194824,0.0,0.4394090175628659
