Unnamed: 0,L4_tcp,L4_udp,L7_http,L7_https,port_class_src,port_class_dst,pck_size,ip_dst_new,ethernet_frame_size ,ttl,total_length,protocol ,source_port,dest_port,DNS_count,NTP_count,ARP_count,cnt,L3_ip_dst_count,most_freq_d_ip,most_freq_prot,most_freq_sport,most_freq_dport,sum_et,min_et,max_et,med_et,average_et,skew_et,kurt_et,var,q3,q1,iqr,sum_e,min_e,max_e,med,average,skew_e,kurt_e,var_e,q3_e,q1_e,iqr_e,epoch_timestamp,inter_arrival_time,time_since_previously_displayed_frame
0,1,0,0,0,3,2,130,3232270754,164,128,150,6,58449,8009,0,0,0,14,19,3232270754,17,443,443,1586,54,164,118.5,113.28571428571428,-0.0347291467363171,-1.9536401307251277,2602.204081632653,164.0,66.0,98.0,1110,20,130,84.5,79.28571428571429,-0.0347291467363171,-1.9536401307251277,2602.204081632653,130.0,32.0,98.0,1634050322.935807,0.0,0.0
1,1,0,0,0,2,3,130,3232270593,164,64,150,6,8009,58449,0,0,0,14,19,3232270754,17,443,443,1750,54,164,164.0,116.66666666666669,-0.1662914146525795,-1.9297337328952964,2588.7555555555564,164.0,66.0,98.0,1240,20,130,130.0,82.66666666666667,-0.1662914146525795,-1.9297337328952964,2588.7555555555564,130.0,32.0,98.0,1634050323.208632,0.2728250026702881,0.2728250026702881
2,1,0,0,0,3,2,20,3232270754,54,128,40,6,58449,8009,0,0,0,14,19,3232270754,17,443,443,1804,54,164,118.5,112.75,-0.0338399345525419,-1.9559815351378784,2657.0625,164.0,63.0,101.0,1260,20,130,84.5,78.75,-0.0338399345525419,-1.9559815351378784,2657.0625,130.0,29.0,101.0,1634050323.263944,0.0553119182586669,0.32813692092895497
3,1,0,0,0,2,3,130,3232270593,164,64,150,6,8009,58449,0,0,0,14,19,3232270754,17,443,443,1968,54,164,164.0,115.76470588235294,-0.1498919359953907,-1.936822547376339,2646.179930795848,164.0,66.0,98.0,1390,20,130,130.0,81.76470588235294,-0.1498919359953907,-1.936822547376339,2646.179930795848,130.0,32.0,98.0,1634050323.481791,0.2178471088409423,0.5459840297698972
4,1,0,0,0,3,2,32,3232270754,66,128,52,6,58449,8009,0,0,0,14,19,3232270754,17,443,443,2034,54,164,118.5,113.0,-0.0318207297581282,-1.957828841897092,2629.1111111111118,164.0,66.0,98.0,1422,20,130,84.5,79.0,-0.0318207297581282,-1.957828841897092,2629.1111111111118,130.0,32.0,98.0,1634050323.481849,5.793571472167969e-05,0.5460419654846189
5,1,0,0,0,3,2,130,3232270754,164,128,150,6,58449,8009,0,0,0,14,19,3232270754,17,443,443,2198,54,164,164.0,115.6842105263158,-0.1357011000849263,-1.9423130168316585,2620.426592797784,164.0,66.0,98.0,1552,20,130,130.0,81.6842105263158,-0.1357011000849263,-1.9423130168316585,2620.426592797784,130.0,32.0,98.0,1634050328.224549,4.742700099945068,5.2887420654296875
6,1,0,1,0,2,1,327,2899944707,361,64,347,6,42148,80,0,0,0,15,19,3232270754,17,443,443,2559,54,361,164.0,127.95,1.3352932642185995,2.507169867995997,5347.9475,164.0,66.0,98.0,1879,20,327,130.0,93.95,1.3352932642185995,2.507169867995997,5347.9475,130.0,32.0,98.0,1634050328.333979,0.1094298362731933,5.398171901702881
7,1,0,1,0,1,2,115,3232270754,149,60,135,6,80,42148,0,0,0,15,19,3232270754,17,443,443,149,149,149,149.0,149.0,0.0,-3.0,0.0,149.0,149.0,0.0,115,115,115,115.0,115.0,0.0,-3.0,0.0,115.0,115.0,0.0,1634050328.359571,0.0255920886993408,5.423763990402222
8,1,0,0,0,2,3,130,3232270593,164,64,150,6,8009,58449,0,0,0,15,19,3232270754,17,443,443,313,149,164,156.5,156.5,0.0,-2.0,56.25,160.25,152.75,7.5,245,115,130,122.5,122.5,0.0,-2.0,56.25,126.25,118.75,7.5,1634050328.533593,0.1740219593048095,5.597785949707031
9,1,0,1,0,2,1,32,2899944707,66,64,52,6,42148,80,0,0,0,15,19,3232270754,17,443,443,379,66,164,149.0,126.33333333333331,-0.643412434431771,-1.5000000000000002,1857.5555555555557,156.5,107.5,49.0,277,32,130,115.0,92.33333333333331,-0.643412434431771,-1.5000000000000002,1857.5555555555557,122.5,73.5,49.0,1634050328.540942,0.0073490142822265,5.605134963989258
10,1,0,0,0,3,2,20,3232270754,54,128,40,6,58449,8009,0,0,0,15,19,3232270754,17,443,443,433,54,164,107.5,108.25,0.0126689634474106,-1.9237807591905345,2374.1875,152.75,63.0,89.75,297,20,130,73.5,74.25,0.0126689634474106,-1.9237807591905345,2374.1875,118.75,29.0,89.75,1634050328.583701,0.0427589416503906,5.647893905639648
11,1,0,0,0,3,2,130,3232270754,164,128,150,6,58449,8009,0,0,0,15,19,3232270754,17,443,443,597,54,164,149.0,119.4,-0.3897293470486103,-1.7775983011505516,2396.6400000000003,164.0,66.0,98.0,427,20,130,115.0,85.4,-0.3897293470486103,-1.7775983011505516,2396.6400000000003,130.0,32.0,98.0,1634050333.538146,4.954445123672485,10.602339029312134
12,1,0,0,0,2,3,130,3232270593,164,64,150,6,8009,58449,0,0,0,15,19,3232270754,17,443,443,761,54,164,156.5,126.83333333333331,-0.6866008802377822,-1.4586370434099514,2273.472222222222,164.0,86.75,77.25,557,20,130,122.5,92.83333333333331,-0.6866008802377822,-1.4586370434099514,2273.472222222222,130.0,52.75,77.25,1634050333.55314,0.0149939060211181,10.617332935333252
13,1,0,0,0,3,2,20,3232270754,54,128,40,6,58449,8009,0,0,0,15,19,3232270754,17,443,443,815,54,164,149.0,116.42857142857144,-0.2775674058721262,-1.8713649667438843,2598.244897959184,164.0,60.0,104.0,577,20,130,115.0,82.42857142857143,-0.2775674058721262,-1.8713649667438843,2598.244897959184,130.0,26.0,104.0,1634050333.600406,0.0472660064697265,10.664598941802979
