Unnamed: 0,L4_tcp,L4_udp,L7_http,L7_https,port_class_src,port_class_dst,pck_size,ip_dst_new,ethernet_frame_size ,ttl,total_length,protocol ,source_port,dest_port,DNS_count,NTP_count,ARP_count,cnt,L3_ip_dst_count,most_freq_d_ip,most_freq_prot,most_freq_sport,most_freq_dport,sum_et,min_et,max_et,med_et,average_et,skew_et,kurt_et,var,q3,q1,iqr,sum_e,min_e,max_e,med,average,skew_e,kurt_e,var_e,q3_e,q1_e,iqr_e,epoch_timestamp,inter_arrival_time,time_since_previously_displayed_frame
0,0,0,0,0,0,0,64,3232270593,98,64,84,1,0,0,0,0,0,0,19,3232270754,17,0,0,1896,54,164,92.0,105.33333333333331,0.3919547270466707,-1.4272014366092818,1776.0,160.25,69.75,90.5,1284,20,130,58.0,71.33333333333333,0.3919547270466707,-1.4272014366092818,1776.0,126.25,35.75,90.5,1634049986.246359,0.0,0.0
1,0,0,0,0,0,0,64,3232270593,98,64,84,1,0,0,0,0,0,0,19,3232270754,17,0,0,1994,54,164,92.0,104.94736842105264,0.4296413056579846,-1.329421573869208,1685.2077562326867,156.5,73.5,83.0,1348,20,130,58.0,70.94736842105263,0.4296413056579846,-1.329421573869208,1685.2077562326867,122.5,39.5,83.0,1634049987.286292,1.0399329662322998,1.0399329662322998
2,1,0,0,0,3,2,130,3232270754,164,128,150,6,58449,8009,0,0,0,15,19,3232270754,17,443,443,2158,54,164,95.0,107.9,0.3078585773894871,-1.4771164787908808,1766.59,164.0,77.25,86.75,1478,20,130,61.0,73.9,0.3078585773894871,-1.4771164787908808,1766.59,130.0,43.25,86.75,1634049987.336323,0.0500309467315673,1.0899639129638672
3,1,0,0,0,2,3,130,3232270593,164,64,150,6,8009,58449,0,0,0,15,19,3232270754,17,443,443,164,164,164,164.0,164.0,0.0,-3.0,0.0,164.0,164.0,0.0,130,130,130,130.0,130.0,0.0,-3.0,0.0,130.0,130.0,0.0,1634049987.452326,0.1160030364990234,1.2059669494628906
4,1,0,0,0,3,2,20,3232270754,54,128,40,6,58449,8009,0,0,0,15,19,3232270754,17,443,443,218,54,164,109.0,109.0,0.0,-2.0,3025.0,136.5,81.5,55.0,150,20,130,75.0,75.0,0.0,-2.0,3025.0,102.5,47.5,55.0,1634049987.503517,0.0511908531188964,1.257157802581787
5,0,0,0,0,0,0,64,3232270593,98,64,84,1,0,0,0,0,0,15,19,3232270754,17,443,443,316,54,164,98.0,105.33333333333331,0.2390631469295451,-1.4999999999999998,2043.5555555555557,131.0,76.0,55.0,214,20,130,64.0,71.33333333333333,0.2390631469295451,-1.4999999999999998,2043.5555555555557,97.0,42.0,55.0,1634049988.326382,0.8228650093078613,2.0800228118896484
6,0,0,0,0,0,0,64,3232270593,98,64,84,1,0,0,0,0,0,15,19,3232270754,17,443,443,414,54,164,98.0,103.5,0.4118470835376499,-0.961937716262976,1542.75,114.5,87.0,27.5,278,20,130,64.0,69.5,0.4118470835376499,-0.961937716262976,1542.75,80.5,53.0,27.5,1634049989.36632,1.039937973022461,3.1199607849121094
7,0,0,0,0,0,0,64,3232270593,98,64,84,1,0,0,0,0,0,15,19,3232270754,17,443,443,512,54,164,98.0,102.4,0.5507812499999999,-0.4091796874999995,1239.0399999999995,98.0,98.0,0.0,342,20,130,64.0,68.4,0.5507812499999999,-0.4091796874999995,1239.0399999999995,64.0,64.0,0.0,1634049990.406238,1.0399181842803955,4.159878969192505
8,0,0,0,0,0,0,64,3232270593,98,64,84,1,0,0,0,0,0,15,19,3232270754,17,443,443,610,54,164,98.0,101.66666666666669,0.6689633838929393,0.1507842806544097,1035.2222222222222,98.0,98.0,0.0,406,20,130,64.0,67.66666666666667,0.6689633838929393,0.1507842806544097,1035.2222222222222,64.0,64.0,0.0,1634049991.454747,1.048508882522583,5.208387851715088
9,0,0,0,0,0,0,64,134744072,98,64,84,1,0,0,0,0,0,15,19,3232270754,17,443,443,708,54,164,98.0,101.14285714285714,0.7730012058189382,0.714814814814817,888.9795918367344,98.0,98.0,0.0,470,20,130,64.0,67.14285714285714,0.7730012058189382,0.714814814814817,888.9795918367344,64.0,64.0,0.0,1634049992.102395,0.6476480960845947,5.856035947799683
10,0,0,0,0,0,0,64,3232270754,98,118,84,1,0,0,0,0,0,15,19,3232270754,17,443,443,806,54,164,98.0,100.75,0.8667071126377182,1.2813648788764258,778.9375,98.0,98.0,0.0,534,20,130,64.0,66.75,0.8667071126377182,1.2813648788764258,778.9375,64.0,64.0,0.0,1634049992.127823,0.0254280567169189,5.881464004516602
11,1,0,0,0,3,2,130,3232270754,164,128,150,6,58449,8009,0,0,0,15,19,3232270754,17,443,443,970,54,164,98.0,107.77777777777776,0.601959609903906,-0.3316628426518524,1087.506172839506,98.0,98.0,0.0,664,20,130,64.0,73.77777777777777,0.601959609903906,-0.3316628426518524,1087.506172839506,64.0,64.0,0.0,1634049992.456711,0.328887939453125,6.210351943969727
12,1,0,0,0,2,3,130,3232270593,164,64,150,6,8009,58449,0,0,0,15,19,3232270754,17,443,443,1134,54,164,98.0,113.4,0.3500463846096145,-0.9663099484740388,1263.2399999999998,147.5,98.0,49.5,794,20,130,64.0,79.4,0.3500463846096145,-0.9663099484740388,1263.2399999999998,113.5,64.0,49.5,1634049992.588551,0.1318399906158447,6.342191934585571
13,1,0,0,0,3,2,20,3232270754,54,128,40,6,58449,8009,0,0,0,15,19,3232270754,17,443,443,1188,54,164,98.0,108.0,0.3425800798515744,-0.9583333333333336,1440.0,131.0,98.0,33.0,814,20,130,64.0,74.0,0.3425800798515744,-0.9583333333333336,1440.0,97.0,64.0,33.0,1634049992.643973,0.0554220676422119,6.397614002227783
14,0,0,0,0,0,0,64,134744072,98,64,84,1,0,0,0,0,0,15,19,3232270754,17,443,443,1286,54,164,98.0,107.16666666666669,0.421630821256237,-0.7623778240666566,1327.638888888889,114.5,98.0,16.5,878,20,130,64.0,73.16666666666667,0.421630821256237,-0.7623778240666566,1327.638888888889,80.5,64.0,16.5,1634049993.103403,0.4594299793243408,6.857043981552124
15,0,0,0,0,0,0,64,3232270754,98,118,84,1,0,0,0,0,0,15,19,3232270754,17,443,443,1384,54,164,98.0,106.46153846153848,0.4945792664584918,-0.5616549486208764,1231.4792899408285,98.0,98.0,0.0,942,20,130,64.0,72.46153846153847,0.4945792664584918,-0.5616549486208764,1231.4792899408285,64.0,64.0,0.0,1634049993.128857,0.0254538059234619,6.882497787475586
16,0,1,0,0,2,1,40,134744072,74,64,60,17,45745,53,1,0,0,15,19,3232270754,17,443,443,1458,54,164,98.0,104.14285714285714,0.6117302839084542,-0.4777394408243691,1213.4081632653065,98.0,98.0,0.0,982,20,130,64.0,70.14285714285714,0.6117302839084542,-0.4777394408243691,1213.4081632653065,64.0,64.0,0.0,1634049993.132361,0.0035040378570556,6.886001825332642
