Unnamed: 0,L4_tcp,L4_udp,L7_http,L7_https,port_class_src,port_class_dst,pck_size,ip_dst_new,ethernet_frame_size ,ttl,total_length,protocol ,source_port,dest_port,DNS_count,NTP_count,ARP_count,cnt,L3_ip_dst_count,most_freq_d_ip,most_freq_prot,most_freq_sport,most_freq_dport,sum_et,min_et,max_et,med_et,average_et,skew_et,kurt_et,var,q3,q1,iqr,sum_e,min_e,max_e,med,average,skew_e,kurt_e,var_e,q3_e,q1_e,iqr_e,epoch_timestamp,inter_arrival_time,time_since_previously_displayed_frame
0,0,1,0,0,2,3,428,3232270808,462,54,448,17,4500,49789,0,0,0,0,1,3232270808,17,4500,49789,462,462,462,462.0,462.0,0.0,-3.0,0.0,462.0,462.0,0.0,428,428,428,428.0,428.0,0.0,-3.0,0.0,428.0,428.0,0.0,1633541688.704681,0.0,0.0
1,0,1,0,0,3,2,108,2385310024,142,64,128,17,49789,4500,0,0,0,0,2,3232270808,17,4500,4500,604,142,462,302.0,302.0,0.0,-2.0,25600.0,382.0,222.0,160.0,536,108,428,268.0,268.0,0.0,-2.0,25600.0,348.0,188.0,160.0,1633541688.748521,0.0438401699066162,0.0438401699066162
2,0,1,0,0,3,2,348,2385310024,382,64,368,17,49789,4500,0,0,0,0,2,2385310024,17,49789,4500,986,142,462,382.0,328.6666666666667,-0.5280049792181882,-1.4999999999999998,18488.88888888889,422.0,262.0,160.0,884,108,428,348.0,294.6666666666667,-0.5280049792181882,-1.4999999999999998,18488.88888888889,388.0,228.0,160.0,1633541688.827653,0.0791318416595459,0.1229720115661621
3,0,1,0,0,3,2,764,2385310024,798,64,784,17,49789,4500,0,0,0,0,2,2385310024,17,49789,4500,1784,142,798,422.0,446.0,0.2944502636263549,-1.0360032514898176,55168.0,546.0,322.0,224.0,1648,108,764,388.0,412.0,0.2944502636263549,-1.0360032514898176,55168.0,512.0,288.0,224.0,1633541688.830709,0.0030560493469238,0.12602806091308588
4,0,1,0,0,3,2,108,2385310024,142,64,128,17,49789,4500,0,0,0,0,2,2385310024,17,49789,4500,1926,142,798,382.0,385.2,0.5876962242280841,-0.9221115799934978,58920.96,462.0,142.0,320.0,1756,108,764,348.0,351.2,0.5876962242280841,-0.9221115799934978,58920.96,428.0,108.0,320.0,1633541688.830709,0.0,0.12602806091308588
5,0,1,0,0,2,3,108,3232270808,142,54,128,17,4500,49789,0,0,0,0,2,2385310024,17,49789,4500,2068,142,798,262.0,344.6666666666667,0.8485272781743961,-0.590745586759355,57315.55555555556,442.0,142.0,300.0,1864,108,764,228.0,310.6666666666667,0.8485272781743961,-0.590745586759355,57315.55555555556,408.0,108.0,300.0,1633541688.844263,0.0135540962219238,0.13958215713500968
6,0,1,0,0,2,3,108,3232270808,142,54,128,17,4500,49789,0,0,0,0,2,2385310024,17,49789,4500,2210,142,798,142.0,315.7142857142857,1.0726556167548524,-0.1641639140768354,54157.0612244898,422.0,142.0,280.0,1972,108,764,108.0,281.7142857142857,1.0726556167548524,-0.1641639140768354,54157.0612244898,388.0,108.0,280.0,1633541688.847328,0.0030648708343505,0.14264702796936019
7,0,1,0,0,2,3,108,3232270808,142,54,128,17,4500,49789,0,0,0,0,2,3232270808,17,4500,4500,2352,142,798,142.0,294.0,1.269378760069294,0.3107447581879401,50688.0,402.0,142.0,260.0,2080,108,764,108.0,260.0,1.269378760069294,0.3107447581879401,50688.0,368.0,108.0,260.0,1633541688.847383,5.507469177246094e-05,0.14270210266113265
8,0,1,0,0,2,3,444,3232270808,478,54,464,17,4500,49789,0,0,0,0,2,3232270808,17,4500,49789,2830,142,798,142.0,314.44444444444446,0.9947054964960498,-0.1395486010840692,48399.8024691358,462.0,142.0,320.0,2524,108,764,108.0,280.44444444444446,0.9947054964960498,-0.1395486010840692,48399.8024691358,428.0,108.0,320.0,1633541689.306725,0.4593420028686523,0.6020441055297849
9,0,1,0,0,3,2,108,2385310024,142,64,128,17,49789,4500,0,0,0,0,2,3232270808,17,4500,4500,2972,142,798,142.0,297.2,1.1483315216599874,0.1920902133450939,46236.16,442.0,142.0,300.0,2632,108,764,108.0,263.2,1.1483315216599874,0.1920902133450939,46236.16,408.0,108.0,300.0,1633541689.31567,0.0089449882507324,0.6109890937805174
10,0,1,0,0,3,2,348,2385310024,382,64,368,17,49789,4500,0,0,0,0,2,2385310024,17,49789,4500,3354,142,798,142.0,304.90909090909093,1.0735119215314808,0.2479595306820052,42627.17355371901,422.0,142.0,280.0,2980,108,764,108.0,270.90909090909093,1.0735119215314808,0.2479595306820052,42627.17355371901,388.0,108.0,280.0,1633541689.433217,0.1175470352172851,0.7285361289978025
11,0,1,0,0,3,2,508,2385310024,542,64,528,17,49789,4500,0,0,0,0,2,2385310024,17,49789,4500,3896,142,798,262.0,324.6666666666667,0.7964111640975714,-0.3399929786800819,43368.88888888888,466.0,142.0,324.0,3488,108,764,228.0,290.6666666666667,0.7964111640975714,-0.3399929786800819,43368.88888888888,432.0,108.0,324.0,1633541689.444439,0.0112218856811523,0.7397580146789549
12,0,1,0,0,3,2,108,2385310024,142,64,128,17,49789,4500,0,0,0,0,2,2385310024,17,49789,4500,4038,142,798,142.0,310.61538461538464,0.9117670575055244,-0.1628211600244093,42402.08284023669,462.0,142.0,320.0,3596,108,764,108.0,276.61538461538464,0.9117670575055244,-0.1628211600244093,42402.08284023669,428.0,108.0,320.0,1633541689.444953,0.0005140304565429,0.7402720451354977
13,0,1,0,0,2,3,108,3232270808,142,54,128,17,4500,49789,0,0,0,0,2,2385310024,17,49789,4500,4180,142,798,142.0,298.57142857142856,1.0192957147566697,0.0370729115950143,41259.10204081633,442.0,142.0,300.0,3704,108,764,108.0,264.57142857142856,1.0192957147566697,0.0370729115950143,41259.10204081633,408.0,108.0,300.0,1633541689.44979,0.0048370361328125,0.7451090812683102
14,0,1,0,0,2,3,108,3232270808,142,54,128,17,4500,49789,0,0,0,0,2,2385310024,17,49789,4500,4322,142,798,142.0,288.1333333333333,1.1200515544227478,0.2531514159493522,40033.84888888888,422.0,142.0,280.0,3812,108,764,108.0,254.13333333333333,1.1200515544227478,0.2531514159493522,40033.84888888888,388.0,108.0,280.0,1633541689.461027,0.0112369060516357,0.756345987319946
15,0,1,0,0,2,3,108,3232270808,142,54,128,17,4500,49789,0,0,0,0,2,3232270808,17,4500,4500,4464,142,798,142.0,279.0,1.2149516982782853,0.4811570021142093,38783.0,402.0,142.0,260.0,3920,108,764,108.0,245.0,1.2149516982782853,0.4811570021142093,38783.0,368.0,108.0,260.0,1633541689.461082,5.507469177246094e-05,0.7564010620117184
16,0,1,0,0,2,3,444,3232270808,478,54,464,17,4500,49789,0,0,0,0,2,3232270808,17,4500,49789,4942,142,798,142.0,290.7058823529412,1.0295936558471652,0.0867300607066932,38694.08996539792,462.0,142.0,320.0,4364,108,764,108.0,256.7058823529412,1.0295936558471652,0.0867300607066932,38694.08996539792,428.0,108.0,320.0,1633541689.496521,0.0354390144348144,0.7918400764465328
17,0,1,0,0,3,2,108,2385310024,142,64,128,17,49789,4500,0,0,0,0,2,3232270808,17,4500,4500,5084,142,798,142.0,282.44444444444446,1.1136805087447514,0.2680242880901362,37704.6913580247,442.0,142.0,300.0,4472,108,764,108.0,248.44444444444449,1.1136805087447514,0.2680242880901362,37704.6913580247,408.0,108.0,300.0,1633541689.499412,0.0028910636901855,0.7947311401367183
18,0,1,0,0,3,2,348,2385310024,382,64,368,17,49789,4500,0,0,0,0,2,2385310024,17,49789,4500,5466,142,798,142.0,287.6842105263158,1.0457693805848662,0.2402911777335017,36214.42659279778,422.0,142.0,280.0,4820,108,764,108.0,253.68421052631575,1.0457693805848662,0.2402911777335017,36214.42659279778,388.0,108.0,280.0,1633541689.571279,0.0718669891357421,0.8665981292724604
19,0,1,0,0,3,2,508,2385310024,542,64,528,17,49789,4500,0,0,0,0,2,2385310024,17,49789,4500,6008,142,798,142.0,300.4,0.8597672249751221,-0.228340889886021,37475.84,466.0,142.0,324.0,5328,108,764,108.0,266.4,0.8597672249751221,-0.228340889886021,37475.84,432.0,108.0,324.0,1633541689.573888,0.0026090145111083,0.8692071437835687
20,0,1,0,0,3,2,108,2385310024,142,64,128,17,49789,4500,0,0,0,0,2,2385310024,17,49789,4500,142,142,142,142.0,142.0,0.0,-3.0,0.0,142.0,142.0,0.0,108,108,108,108.0,108.0,0.0,-3.0,0.0,108.0,108.0,0.0,1633541689.573888,0.0,0.8692071437835687
21,0,1,0,0,2,3,108,3232270808,142,54,128,17,4500,49789,0,0,0,0,2,2385310024,17,49789,4500,284,142,142,142.0,142.0,0.0,-3.0,0.0,142.0,142.0,0.0,216,108,108,108.0,108.0,0.0,-3.0,0.0,108.0,108.0,0.0,1633541689.590515,0.0166268348693847,0.8858339786529533
22,0,1,0,0,2,3,444,3232270808,478,54,464,17,4500,49789,0,0,0,0,2,2385310024,17,49789,4500,762,142,478,142.0,254.0,0.7071067811865476,-1.5,25088.0,310.0,142.0,168.0,660,108,444,108.0,220.0,0.7071067811865476,-1.5,25088.0,276.0,108.0,168.0,1633541691.500224,1.9097092151641848,2.7955431938171382
23,0,1,0,0,3,2,108,2385310024,142,64,128,17,49789,4500,0,0,0,0,2,2385310024,17,49789,4500,904,142,478,142.0,226.0,1.1547005383792517,-0.6666666666666665,21168.0,226.0,142.0,84.0,768,108,444,108.0,192.0,1.1547005383792517,-0.6666666666666665,21168.0,192.0,108.0,84.0,1633541691.504123,0.0038988590240478,2.799442052841186
24,0,1,0,0,3,2,348,2385310024,382,64,368,17,49789,4500,0,0,0,0,2,2385310024,17,49789,4500,1286,142,478,142.0,257.2,0.5403933775294204,-1.5487900383741873,20828.16,382.0,142.0,240.0,1116,108,444,108.0,223.2,0.5403933775294204,-1.5487900383741873,20828.16,348.0,108.0,240.0,1633541691.576575,0.0724520683288574,2.8718941211700435
25,0,1,0,0,3,2,508,2385310024,542,64,528,17,49789,4500,0,0,0,0,2,2385310024,17,49789,4500,1828,142,542,262.0,304.6666666666667,0.2108415615995682,-1.7362867173334362,28622.222222222223,454.0,142.0,312.0,1624,108,508,228.0,270.6666666666667,0.2108415615995682,-1.7362867173334362,28622.222222222223,420.0,108.0,312.0,1633541691.578932,0.002357006072998,2.8742511272430415
26,0,1,0,0,3,2,108,2385310024,142,64,128,17,49789,4500,0,0,0,0,2,2385310024,17,49789,4500,1970,142,542,142.0,281.42857142857144,0.477251516099104,-1.5707727597762708,27773.38775510204,430.0,142.0,288.0,1732,108,508,108.0,247.42857142857144,0.4772515160991045,-1.5707727597762704,27773.38775510204,396.0,108.0,288.0,1633541691.583287,0.0043549537658691,2.8786060810089107
27,0,1,0,0,2,3,108,3232270808,142,54,128,17,4500,49789,0,0,0,0,2,2385310024,17,49789,4500,2112,142,542,142.0,264.0,0.693881553084347,-1.3227538734424729,26428.0,406.0,142.0,264.0,1840,108,508,108.0,230.0,0.693881553084347,-1.3227538734424729,26428.0,372.0,108.0,264.0,1633541691.595596,0.0123090744018554,2.890915155410766
28,0,1,0,0,2,3,108,3232270808,142,54,128,17,4500,49789,0,0,0,0,2,2385310024,17,49789,4500,2254,142,542,142.0,250.44444444444449,0.8787937861085645,-1.0319187711182871,24961.58024691358,382.0,142.0,240.0,1948,108,508,108.0,216.44444444444449,0.8787937861085645,-1.0319187711182871,24961.58024691358,348.0,108.0,240.0,1633541691.641317,0.0457208156585693,2.9366359710693355
29,0,1,0,0,2,3,444,3232270808,478,54,464,17,4500,49789,0,0,0,0,2,2385310024,17,49789,4500,2732,142,542,142.0,273.2,0.5447928725195507,-1.5516665405480048,27125.76,454.0,142.0,312.0,2392,108,508,108.0,239.2,0.5447928725195507,-1.5516665405480048,27125.76,420.0,108.0,312.0,1633541693.506462,1.865145206451416,4.801781177520752
30,0,1,0,0,3,2,108,2385310024,142,64,128,17,49789,4500,0,0,0,0,2,2385310024,17,49789,4500,2874,142,542,142.0,261.27272727272725,0.6985011171351583,-1.36269853192913,26082.380165289254,430.0,142.0,288.0,2500,108,508,108.0,227.27272727272728,0.6985011171351578,-1.3626985319291305,26082.380165289254,396.0,108.0,288.0,1633541693.511465,0.0050029754638671,4.806784152984619
31,0,1,0,0,3,2,348,2385310024,382,64,368,17,49789,4500,0,0,0,0,2,2385310024,17,49789,4500,3256,142,542,142.0,271.3333333333333,0.5274005727311872,-1.499451769731425,25022.222222222223,406.0,142.0,264.0,2848,108,508,108.0,237.33333333333331,0.5274005727311867,-1.4994517697314251,25022.222222222223,372.0,108.0,264.0,1633541693.611939,0.1004738807678222,4.907258033752441
32,0,1,0,0,3,2,508,2385310024,542,64,528,17,49789,4500,0,0,0,0,2,2385310024,17,49789,4500,3798,142,542,142.0,292.15384615384613,0.3519716770949879,-1.6679813280450964,28299.360946745568,478.0,142.0,336.0,3356,108,508,108.0,258.15384615384613,0.3519716770949879,-1.6679813280450964,28299.360946745568,444.0,108.0,336.0,1633541693.614146,0.0022070407867431,4.909465074539185
33,0,1,0,0,3,2,108,2385310024,142,64,128,17,49789,4500,0,0,0,0,2,2385310024,17,49789,4500,3940,142,542,142.0,281.42857142857144,0.4772515160991041,-1.5707727597762704,27773.38775510204,454.0,142.0,312.0,3464,108,508,108.0,247.42857142857144,0.4772515160991045,-1.5707727597762708,27773.38775510204,420.0,108.0,312.0,1633541693.61517,0.0010240077972412,4.910489082336426
34,0,1,0,0,2,3,108,3232270808,142,54,128,17,4500,49789,0,0,0,0,2,2385310024,17,49789,4500,4082,142,542,142.0,272.1333333333333,0.590377011342161,-1.4538108282373745,27131.448888888885,430.0,142.0,288.0,3572,108,508,108.0,238.13333333333333,0.590377011342161,-1.4538108282373745,27131.448888888885,396.0,108.0,288.0,1633541693.628526,0.0133559703826904,4.923845052719116
35,0,1,0,0,2,3,108,3232270808,142,54,128,17,4500,49789,0,0,0,0,2,2385310024,17,49789,4500,4224,142,542,142.0,264.0,0.693881553084347,-1.3227538734424729,26428.0,406.0,142.0,264.0,3680,108,508,108.0,230.0,0.693881553084347,-1.3227538734424729,26428.0,372.0,108.0,264.0,1633541693.630671,0.0021450519561767,4.925990104675293
36,0,1,0,0,2,3,108,3232270808,142,54,128,17,4500,49789,0,0,0,0,2,2385310024,17,49789,4500,4366,142,542,142.0,256.8235294117647,0.7895748755158906,-1.1812883764718292,25697.43944636678,382.0,142.0,240.0,3788,108,508,108.0,222.8235294117647,0.7895748755158906,-1.1812883764718292,25697.43944636678,348.0,108.0,240.0,1633541693.631567,0.0008959770202636,4.926886081695557
37,0,1,0,0,2,3,444,3232270808,478,54,464,17,4500,49789,0,0,0,0,2,2385310024,17,49789,4500,4844,142,542,142.0,269.1111111111111,0.6100218156293148,-1.4572628984006428,26836.54320987655,454.0,142.0,312.0,4232,108,508,108.0,235.11111111111111,0.6100218156293145,-1.4572628984006428,26836.543209876545,420.0,108.0,312.0,1633541695.516209,1.8846418857574463,6.811527967453003
38,0,1,0,0,3,2,108,2385310024,142,64,128,17,49789,4500,0,0,0,0,2,2385310024,17,49789,4500,4986,142,542,142.0,262.42105263157896,0.6966350498892968,-1.3452158611933205,26229.717451523546,430.0,142.0,288.0,4340,108,508,108.0,228.42105263157896,0.6966350498892968,-1.3452158611933205,26229.717451523546,396.0,108.0,288.0,1633541695.524267,0.0080580711364746,6.8195860385894775
39,0,1,0,0,3,2,348,2385310024,382,64,368,17,49789,4500,0,0,0,0,2,2385310024,17,49789,4500,5368,142,542,142.0,268.4,0.5951872758593897,-1.4310822621416066,25597.44000000001,406.0,142.0,264.0,4688,108,508,108.0,234.4,0.5951872758593894,-1.4310822621416062,25597.44,372.0,108.0,264.0,1633541695.627384,0.1031169891357421,6.92270302772522
40,0,1,0,0,3,2,508,2385310024,542,64,528,17,49789,4500,0,0,0,0,2,2385310024,17,49789,4500,542,542,542,542.0,542.0,0.0,-3.0,0.0,542.0,542.0,0.0,508,508,508,508.0,508.0,0.0,-3.0,0.0,508.0,508.0,0.0,1633541695.628514,0.0011301040649414,6.923833131790161
41,0,1,0,0,3,2,108,2385310024,142,64,128,17,49789,4500,0,0,0,0,2,2385310024,17,49789,4500,684,142,542,342.0,342.0,0.0,-2.0,40000.0,442.0,242.0,200.0,616,108,508,308.0,308.0,0.0,-2.0,40000.0,408.0,208.0,200.0,1633541695.628514,0.0,6.923833131790161
42,0,1,0,0,2,3,108,3232270808,142,54,128,17,4500,49789,0,0,0,0,2,2385310024,17,49789,4500,826,142,542,142.0,275.3333333333333,0.7071067811865476,-1.5,35555.55555555556,342.0,142.0,200.0,724,108,508,108.0,241.33333333333331,0.7071067811865471,-1.5000000000000009,35555.555555555555,308.0,108.0,200.0,1633541695.643985,0.0154709815979003,6.9393041133880615
43,0,1,0,0,2,3,108,3232270808,142,54,128,17,4500,49789,0,0,0,0,2,2385310024,17,49789,4500,968,142,542,142.0,242.0,1.1547005383792517,-0.6666666666666665,30000.0,242.0,142.0,100.0,832,108,508,108.0,208.0,1.1547005383792517,-0.6666666666666665,30000.0,208.0,108.0,100.0,1633541695.645053,0.0010678768157958,6.940371990203857
44,0,1,0,0,2,3,108,3232270808,142,54,128,17,4500,49789,0,0,0,0,2,2385310024,17,49789,4500,1110,142,542,142.0,222.0,1.5,0.25,25600.0,142.0,142.0,0.0,940,108,508,108.0,188.0,1.5,0.25,25600.0,108.0,108.0,0.0,1633541695.645108,5.507469177246094e-05,6.94042706489563
45,0,1,0,0,3,2,9,2385310024,43,3,29,17,49789,4500,0,0,0,0,2,2385310024,17,49789,4500,1153,43,542,142.0,192.16666666666663,1.5695911642870868,0.8854814223743803,25783.472222222223,142.0,142.0,0.0,949,9,508,108.0,158.16666666666666,1.5695911642870868,0.8854814223743803,25783.472222222223,108.0,108.0,0.0,1633541696.740977,1.095869064331055,8.036296129226685
46,0,0,0,0,0,0,37,3232270808,71,253,96,1,0,0,0,0,0,0,2,2385310024,17,49789,4500,1224,43,542,142.0,174.85714285714286,1.77622557707011,1.6507903678965388,23897.83673469388,142.0,106.5,35.5,986,9,508,108.0,140.85714285714286,1.77622557707011,1.6507903678965388,23897.83673469388,108.0,72.5,35.5,1633541696.742898,0.0019209384918212,8.038217067718506
47,0,1,0,0,2,3,444,3232270808,478,54,464,17,4500,49789,0,0,0,0,2,2385310024,17,49789,4500,1702,43,542,142.0,212.75,1.037049590896307,-0.6481687792919089,30961.6875,226.0,124.25,101.75,1430,9,508,108.0,178.75,1.037049590896307,-0.6481687792919089,30961.6875,192.0,90.25,101.75,1633541697.528829,0.7859311103820801,8.824148178100586
48,0,1,0,0,3,2,108,2385310024,142,64,128,17,49789,4500,0,0,0,0,2,2385310024,17,49789,4500,1844,43,542,142.0,204.88888888888889,1.203580466525012,-0.2303276180557536,28015.876543209877,142.0,142.0,0.0,1538,9,508,108.0,170.88888888888889,1.203580466525012,-0.2303276180557536,28015.876543209877,108.0,108.0,0.0,1633541697.537428,0.0085988044738769,8.832746982574463
49,0,1,0,0,3,2,348,2385310024,382,64,368,17,49789,4500,0,0,0,0,2,2385310024,17,49789,4500,2226,43,542,142.0,222.6,0.8818088359006195,-0.8262969425449849,28037.439999999995,322.0,142.0,180.0,1886,9,508,108.0,188.6,0.8818088359006195,-0.8262969425449849,28037.439999999995,288.0,108.0,180.0,1633541697.674829,0.1374011039733886,8.970148086547852
50,0,1,0,0,3,2,508,2385310024,542,64,528,17,49789,4500,0,0,0,0,2,2385310024,17,49789,4500,2768,43,542,142.0,251.63636363636363,0.5997140703996134,-1.355483200350937,33919.68595041322,430.0,142.0,288.0,2394,9,508,108.0,217.63636363636363,0.5997140703996134,-1.355483200350937,33919.68595041322,396.0,108.0,288.0,1633541697.677122,0.0022931098937988,8.97244119644165
51,0,1,0,0,3,2,108,2385310024,142,64,128,17,49789,4500,0,0,0,0,2,2385310024,17,49789,4500,2910,43,542,142.0,242.5,0.7337776307948436,-1.1614458731453536,32011.25,406.0,142.0,264.0,2502,9,508,108.0,208.5,0.7337776307948436,-1.1614458731453536,32011.25,372.0,108.0,264.0,1633541697.677122,0.0,8.97244119644165
52,0,1,0,0,2,3,108,3232270808,142,54,128,17,4500,49789,0,0,0,0,2,2385310024,17,49789,4500,3052,43,542,142.0,234.7692307692308,0.8553247854546185,-0.9527604683110796,30266.023668639053,382.0,142.0,240.0,2610,9,508,108.0,200.7692307692308,0.8553247854546185,-0.9527604683110796,30266.023668639053,348.0,108.0,240.0,1633541697.691388,0.0142657756805419,8.986706972122192
53,0,1,0,0,2,3,108,3232270808,142,54,128,17,4500,49789,0,0,0,0,2,2385310024,17,49789,4500,3194,43,542,142.0,228.14285714285717,0.9669505917613822,-0.7335865073190808,28674.97959183673,322.0,142.0,180.0,2718,9,508,108.0,194.14285714285717,0.9669505917613822,-0.7335865073190808,28674.97959183673,288.0,108.0,180.0,1633541697.693707,0.0023190975189208,8.989026069641113
54,0,1,0,0,2,3,108,3232270808,142,54,128,17,4500,49789,0,0,0,0,2,2385310024,17,49789,4500,3336,43,542,142.0,222.4,1.070506205856843,-0.5066478588705348,27225.04,262.0,142.0,120.0,2826,9,508,108.0,188.4,1.070506205856843,-0.5066478588705348,27225.04,228.0,108.0,120.0,1633541697.693762,5.507469177246094e-05,8.989081144332886
