Unnamed: 0,L4_tcp,L4_udp,L7_http,L7_https,port_class_src,port_class_dst,pck_size,ip_dst_new,ethernet_frame_size ,ttl,total_length,protocol ,source_port,dest_port,DNS_count,NTP_count,ARP_count,cnt,L3_ip_dst_count,most_freq_d_ip,most_freq_prot,most_freq_sport,most_freq_dport,sum_et,min_et,max_et,med_et,average_et,skew_et,kurt_et,var,q3,q1,iqr,sum_e,min_e,max_e,med,average,skew_e,kurt_e,var_e,q3_e,q1_e,iqr_e,epoch_timestamp,inter_arrival_time,time_since_previously_displayed_frame
0,0,1,0,0,2,3,108,3232270808,142,54,128,17,4500,49789,0,0,0,0,7,2385310024,17,49789,4500,616,43,142,90.0,88.0,0.4279421002043016,0.2270783730944572,749.4285714285714,90.0,80.5,9.5,322,9,108,56.0,53.66666666666666,0.430510553166027,-0.2103504674666227,873.5555555555555,56.0,41.75,14.25,1633542034.739084,0.0,0.0
1,0,1,0,0,3,2,108,2385310024,142,64,128,17,49789,4500,0,0,0,0,7,2385310024,17,49789,4500,758,43,142,90.0,94.75,0.2405634661209986,-0.7025522131058479,974.6875,103.0,85.25,17.75,430,9,108,56.0,61.42857142857143,0.1654575337629879,-0.992397172498674,1110.2448979591836,82.0,46.5,35.5,1633542034.743725,0.004641056060791,0.004641056060791
2,0,1,0,0,2,3,108,3232270808,142,54,128,17,4500,49789,0,0,0,0,7,2385310024,17,49789,4500,900,43,142,90.0,100.0,0.0269215182523215,-1.0588343993517906,1086.888888888889,142.0,90.0,52.0,538,9,108,56.0,67.25,-0.0791091492219629,-1.2313719502519649,1208.6875,108.0,51.25,56.75,1633542034.760223,0.0164978504180908,0.0211389064788818
3,0,1,0,0,2,3,428,3232270808,462,54,448,17,4500,49789,0,0,0,0,7,2385310024,17,49789,4500,1362,43,462,90.0,136.2,2.293260089971474,3.975283686310626,12772.16,142.0,90.0,52.0,966,9,428,56.0,107.33333333333331,2.1137038471257537,3.135827090735492,13927.777777777776,108.0,56.0,52.0,1633542034.760279,5.602836608886719e-05,0.02119493484497067
4,0,1,0,0,3,2,108,2385310024,142,64,128,17,49789,4500,0,0,0,0,7,2385310024,17,49789,4500,1504,43,462,90.0,136.72727272727272,2.389663870885023,4.622228615473141,11613.8347107438,142.0,90.0,52.0,1074,9,428,82.0,107.4,2.2262424891587616,3.812237547185316,12535.040000000005,108.0,56.0,52.0,1633542034.765558,0.0052790641784667,0.026473999023437368
5,0,1,0,0,3,2,348,2385310024,382,64,368,17,49789,4500,0,0,0,0,7,2385310024,17,49789,4500,1886,43,462,116.0,157.16666666666666,1.6092932974260388,1.124181005409584,15241.472222222224,142.0,90.0,52.0,1422,9,428,108.0,129.27272727272728,1.4743930564170409,0.688464686396856,16179.652892561984,108.0,56.0,52.0,1633542034.845151,0.0795929431915283,0.10606694221496568
6,0,1,0,0,3,2,748,2385310024,782,64,768,17,49789,4500,0,0,0,0,7,2385310024,17,49789,4500,2668,43,782,142.0,205.23076923076923,1.805314840717992,2.187313248128482,41790.94674556213,142.0,90.0,52.0,2170,9,748,108.0,180.83333333333331,1.6821950820117204,1.7243972629947777,44074.80555555556,168.0,56.0,112.0,1633542034.845729,0.0005781650543212,0.10664510726928689
7,0,1,0,0,2,3,108,3232270808,142,54,128,17,4500,49789,0,0,0,0,7,2385310024,17,49789,4500,2810,43,782,142.0,200.7142857142857,1.920644517399052,2.6839204336092752,39071.0612244898,142.0,90.0,52.0,2278,9,748,108.0,175.23076923076923,1.8062421931614856,2.2210844809616823,41061.10059171597,108.0,56.0,52.0,1633542034.861818,0.0160889625549316,0.12273406982421849
8,0,1,0,0,2,3,108,3232270808,142,54,128,17,4500,49789,0,0,0,0,7,2385310024,17,49789,4500,2952,43,782,142.0,196.8,2.0300437540481004,3.182938092050602,36680.82666666668,142.0,90.0,52.0,2386,9,748,108.0,170.42857142857142,1.9231589217520788,2.7211530753451374,38427.959183673454,108.0,56.0,52.0,1633542034.862374,0.0005559921264648,0.12329006195068329
9,0,1,0,0,2,3,428,3232270808,462,54,448,17,4500,49789,0,0,0,0,7,2385310024,17,49789,4500,3414,43,782,142.0,213.375,1.6695108931057645,1.8606998450756649,38509.234375,202.0,90.0,112.0,2814,9,748,108.0,187.6,1.574762183623439,1.5280262524406814,39994.106666666674,228.0,56.0,172.0,1633542034.927918,0.0655438899993896,0.1888339519500729
