Unnamed: 0,L4_tcp,L4_udp,L7_http,L7_https,port_class_src,port_class_dst,pck_size,ip_dst_new,ethernet_frame_size ,ttl,total_length,protocol ,source_port,dest_port,DNS_count,NTP_count,ARP_count,cnt,L3_ip_dst_count,most_freq_d_ip,most_freq_prot,most_freq_sport,most_freq_dport,sum_et,min_et,max_et,med_et,average_et,skew_et,kurt_et,var,q3,q1,iqr,sum_e,min_e,max_e,med,average,skew_e,kurt_e,var_e,q3_e,q1_e,iqr_e,epoch_timestamp,inter_arrival_time,time_since_previously_displayed_frame
0,0,1,0,0,2,3,108,3232270808,142,54,128,17,4500,49789,0,0,0,0,7,2385310024,17,49789,4500,830,43,226,142.0,138.33333333333334,-0.1104062666431491,-1.3631896642274433,4318.88888888889,190.0,88.75,101.25,317,37,172,108.0,105.66666666666669,-0.0634010687674238,-1.5000000000000009,3040.2222222222226,140.0,72.5,67.5,1633541918.644981,0.0,0.0
1,0,1,0,0,2,3,108,3232270808,142,54,128,17,4500,49789,0,0,0,0,7,2385310024,17,49789,4500,972,43,226,142.0,138.85714285714286,-0.1449640240522282,-1.0875369072894543,3703.551020408163,174.0,106.5,67.5,425,37,172,108.0,106.25,-0.1097729609254895,-0.9973204018705316,2281.1875,124.0,90.25,33.75,1633541918.645705,0.0007240772247314,0.0007240772247314
2,0,1,0,0,2,3,428,3232270808,462,54,448,17,4500,49789,0,0,0,0,7,2385310024,17,49789,4500,1434,43,462,142.0,179.25,1.321848056947894,1.0033332658157663,14661.6875,211.0,124.25,86.75,853,37,428,108.0,170.6,1.137215724002292,-0.1970409925046463,18388.64,172.0,108.0,64.0,1633541918.715368,0.0696630477905273,0.0703871250152587
3,0,1,0,0,3,2,108,2385310024,142,64,128,17,49789,4500,0,0,0,0,7,2385310024,17,49789,4500,1576,43,462,142.0,175.11111111111111,1.4846489826324647,1.6181136720218785,13169.654320987656,206.0,142.0,64.0,961,37,428,108.0,160.16666666666666,1.4108047368264405,0.5731265819878892,15868.138888888892,156.0,108.0,48.0,1633541918.719496,0.0041279792785644,0.0745151042938231
4,0,1,0,0,3,2,348,2385310024,382,64,368,17,49789,4500,0,0,0,0,7,2385310024,17,49789,4500,1958,43,462,142.0,195.8,0.9762342314327468,-0.1434409237595599,15704.96,221.0,142.0,79.0,1309,37,428,108.0,187.0,0.792736885687113,-0.9235112819040774,17921.428571428572,260.0,108.0,152.0,1633541918.807895,0.0883989334106445,0.1629140377044676
5,0,1,0,0,3,2,300,2385310024,334,64,320,17,49789,4500,0,0,0,0,7,2385310024,17,49789,4500,2292,43,462,142.0,208.3636363636364,0.6947279472515717,-0.657454622938126,15855.685950413224,280.0,142.0,138.0,1609,37,428,140.0,201.125,0.5009618316420472,-1.2160842366393425,17077.859375,312.0,108.0,204.0,1633541918.813017,0.0051219463348388,0.16803598403930642
6,0,1,0,0,2,3,108,3232270808,142,54,128,17,4500,49789,0,0,0,0,7,2385310024,17,49789,4500,2434,43,462,142.0,202.83333333333331,0.8238492718199794,-0.4144031394145568,14870.805555555557,253.0,142.0,111.0,1717,37,428,108.0,190.77777777777777,0.6908391192273398,-0.983566487998988,16036.83950617284,300.0,108.0,192.0,1633541918.824226,0.0112090110778808,0.17924499511718722
7,0,1,0,0,2,3,108,3232270808,142,54,128,17,4500,49789,0,0,0,0,7,2385310024,17,49789,4500,2576,43,462,142.0,198.15384615384616,0.9417303128446052,-0.1581532699414785,13989.66863905325,226.0,142.0,84.0,1825,37,428,108.0,182.5,0.8559235231619148,-0.7149644911362603,15049.85,268.0,108.0,160.0,1633541918.829539,0.0053131580352783,0.18455815315246552
8,0,1,0,0,2,3,428,3232270808,462,54,448,17,4500,49789,0,0,0,0,7,2385310024,17,49789,4500,3038,43,462,142.0,217.0,0.7518760229102054,-0.7662499320421485,17607.714285714286,307.0,142.0,165.0,2253,37,428,108.0,204.8181818181818,0.5966056816530813,-1.251719421745518,18662.69421487603,324.0,108.0,216.0,1633541918.886089,0.0565500259399414,0.24110817909240692
9,0,1,0,0,3,2,108,2385310024,142,64,128,17,49789,4500,0,0,0,0,7,2385310024,17,49789,4500,3180,43,462,142.0,212.0,0.8569547654972548,-0.5746292149392533,16783.866666666665,280.0,142.0,138.0,2361,37,428,108.0,196.75,0.7357012455723182,-1.0639822756122426,17823.520833333332,312.0,108.0,204.0,1633541918.890939,0.0048499107360839,0.24595808982849082
