Unnamed: 0,L4_tcp,L4_udp,L7_http,L7_https,port_class_src,port_class_dst,pck_size,ip_dst_new,ethernet_frame_size ,ttl,total_length,protocol ,source_port,dest_port,DNS_count,NTP_count,ARP_count,cnt,L3_ip_dst_count,most_freq_d_ip,most_freq_prot,most_freq_sport,most_freq_dport,sum_et,min_et,max_et,med_et,average_et,skew_et,kurt_et,var,q3,q1,iqr,sum_e,min_e,max_e,med,average,skew_e,kurt_e,var_e,q3_e,q1_e,iqr_e,epoch_timestamp,inter_arrival_time,time_since_previously_displayed_frame
0,1,0,0,1,1,2,191,3232270806,225,60,211,6,443,39492,0,0,0,0,1,3232270806,6,443,39492,225,225,225,225.0,225.0,0.0,-3.0,0.0,225.0,225.0,0.0,191,191,191,191.0,191.0,0.0,-3.0,0.0,191.0,191.0,0.0,1633457134.798574,0.0,0.0
1,1,0,0,1,2,1,20,578096573,54,64,40,6,39492,443,0,0,0,0,2,578096573,6,443,443,279,54,225,139.5,139.5,0.0,-2.0,7310.25,182.25,96.75,85.5,211,20,191,105.5,105.5,0.0,-2.0,7310.25,148.25,62.75,85.5,1633457134.799407,0.0008330345153808,0.0008330345153808
2,1,0,0,1,2,1,318,578096573,352,64,338,6,39492,443,0,0,0,0,2,578096573,6,39492,443,631,54,352,225.0,210.33333333333331,-0.1784480877826755,-1.4999999999999998,14908.22222222222,288.5,139.5,149.0,529,20,318,191.0,176.33333333333334,-0.1784480877826755,-1.4999999999999998,14908.22222222222,254.5,105.5,149.0,1633457134.879989,0.0805819034576416,0.0814149379730224
3,1,0,0,1,2,1,888,578096573,922,64,908,6,39492,443,0,0,0,0,2,578096573,6,39492,443,1553,54,922,288.5,388.25,0.797519177885302,-0.9062916975036326,106144.1875,494.5,182.25,312.25,1417,20,888,254.5,354.25,0.797519177885302,-0.9062916975036326,106144.1875,460.5,148.25,312.25,1633457134.894515,0.0145261287689208,0.0959410667419432
4,1,0,0,1,1,2,20,3232270806,54,60,40,6,443,39492,0,0,0,0,2,578096573,6,39492,443,1607,54,922,225.0,321.4,1.0774513847303715,-0.3418184511948525,102791.04,352.0,54.0,298.0,1437,20,888,191.0,287.4,1.0774513847303715,-0.3418184511948525,102791.04,318.0,20.0,298.0,1633457134.905239,0.0107240676879882,0.1066651344299314
5,1,0,0,1,1,2,20,3232270806,54,60,40,6,443,39492,0,0,0,0,2,578096573,6,443,443,1661,54,922,139.5,276.8333333333333,1.328831026921492,0.2957987987628261,95590.13888888892,320.25,54.0,266.25,1457,20,888,105.5,242.83333333333331,1.328831026921492,0.2957987987628265,95590.13888888888,286.25,20.0,266.25,1633457134.919815,0.0145759582519531,0.1212410926818845
6,1,0,0,1,1,2,173,3232270806,207,60,193,6,443,39492,0,0,0,0,2,3232270806,6,443,39492,1868,54,922,207.0,266.85714285714283,1.5219203076770698,0.994321238169332,82531.55102040815,288.5,54.0,234.5,1630,20,888,173.0,232.8571428571429,1.5219203076770689,0.9943212381693308,82531.55102040817,254.5,20.0,234.5,1633457135.449157,0.5293419361114502,0.6505830287933347
7,1,0,0,1,2,1,20,578096573,54,64,40,6,39492,443,0,0,0,0,2,578096573,6,443,443,1922,54,922,130.5,240.25,1.7048091102391194,1.6385843387779593,77170.6875,256.75,54.0,202.75,1650,20,888,96.5,206.25,1.7048091102391194,1.6385843387779593,77170.6875,222.75,20.0,202.75,1633457135.449992,0.0008349418640136,0.6514179706573483
8,1,0,0,1,2,1,1023,578096573,1057,64,1043,6,39492,443,0,0,0,0,2,578096573,6,39492,443,2979,54,1057,207.0,331.0,1.1287206823837106,-0.3967537034662003,134480.66666666666,352.0,54.0,298.0,2673,20,1023,173.0,297.0,1.1287206823837106,-0.3967537034662003,134480.66666666666,318.0,20.0,298.0,1633457135.468327,0.0183351039886474,0.6697530746459956
9,1,0,0,1,1,2,20,3232270806,54,60,40,6,443,39492,0,0,0,0,2,578096573,6,443,443,3033,54,1057,130.5,303.3,1.2811057055786574,-0.0145320541119882,127938.21000000004,320.25,54.0,266.25,2693,20,1023,96.5,269.3,1.2811057055786574,-0.0145320541119882,127938.21000000004,286.25,20.0,266.25,1633457135.493687,0.0253598690032959,0.6951129436492915
