Unnamed: 0,L4_tcp,L4_udp,L7_http,L7_https,port_class_src,port_class_dst,pck_size,ip_dst_new,ethernet_frame_size ,ttl,total_length,protocol ,source_port,dest_port,DNS_count,NTP_count,ARP_count,cnt,L3_ip_dst_count,most_freq_d_ip,most_freq_prot,most_freq_sport,most_freq_dport,sum_et,min_et,max_et,med_et,average_et,skew_et,kurt_et,var,q3,q1,iqr,sum_e,min_e,max_e,med,average,skew_e,kurt_e,var_e,q3_e,q1_e,iqr_e,epoch_timestamp,inter_arrival_time,time_since_previously_displayed_frame
0,1,0,0,1,1,2,189,3232270806,223,60,209,6,443,39492,0,0,0,0,8,3232270806,6,443,443,2567,54,358,349.0,256.7,-0.7021195966148845,-1.2960792425546894,15827.41,352.0,144.25,207.75,2227,20,324,315.0,222.7,-0.7021195966148845,-1.2960792425546894,15827.41,318.0,110.25,207.75,1633457386.98866,0.0,0.0
1,1,0,0,1,2,1,20,578096573,54,64,40,6,39492,443,0,0,0,0,8,3232270806,6,443,443,2621,54,358,349.0,238.27272727272728,-0.4379602557732791,-1.644861845250211,17784.198347107438,352.0,86.0,266.0,2247,20,324,315.0,204.27272727272728,-0.4379602557732791,-1.644861845250211,17784.198347107438,318.0,52.0,266.0,1633457386.98949,0.0008299350738525,0.0008299350738525
2,1,0,0,1,2,1,317,578096573,351,64,337,6,39492,443,0,0,0,0,8,3232270806,6,443,443,2972,54,358,349.0,247.66666666666663,-0.5816320279043615,-1.5024420292594418,17272.888888888887,352.0,102.0,250.0,2564,20,324,315.0,213.66666666666663,-0.5816320279043615,-1.5024420292594418,17272.888888888887,318.0,68.0,250.0,1633457387.073838,0.0843479633331298,0.0851778984069823
3,1,0,0,1,2,1,887,578096573,921,64,907,6,39492,443,0,0,0,0,8,3232270806,6,443,443,3893,54,921,349.0,299.46153846153845,1.3866928471445166,2.354818071301131,48136.71005917159,352.0,118.0,234.0,3451,20,887,315.0,265.46153846153845,1.3866928471445166,2.354818071301131,48136.71005917159,318.0,84.0,234.0,1633457387.087725,0.0138869285583496,0.09906482696533189
4,1,0,0,1,1,2,20,3232270806,54,60,40,6,443,39492,0,0,0,0,8,3232270806,6,443,443,3947,54,921,349.0,281.92857142857144,1.4061291770536657,2.3773693495571866,48694.637755102034,352.0,70.0,282.0,3471,20,887,315.0,247.92857142857144,1.406129177053666,2.3773693495571866,48694.637755102034,318.0,36.0,282.0,1633457387.099402,0.0116770267486572,0.11074185371398909
5,1,0,0,1,1,2,20,3232270806,54,60,40,6,443,39492,0,0,0,0,8,3232270806,6,443,443,4001,54,921,349.0,266.7333333333333,1.4463835056196774,2.4676117745366826,48680.86222222222,352.0,54.0,298.0,3491,20,887,315.0,232.7333333333333,1.4463835056196772,2.46761177453668,48680.86222222223,318.0,20.0,298.0,1633457387.113099,0.0136971473693847,0.12443900108337379
6,1,0,0,1,1,2,173,3232270806,207,60,193,6,443,39492,0,0,0,0,8,3232270806,6,443,443,4208,54,921,286.0,263.0,1.534567755629348,2.884630419080745,45847.375,352.0,54.0,298.0,3664,20,887,252.0,229.0,1.534567755629348,2.884630419080745,45847.375,318.0,20.0,298.0,1633457387.725382,0.6122829914093018,0.7367219924926756
7,1,0,0,1,2,1,20,578096573,54,64,40,6,39492,443,0,0,0,0,8,3232270806,6,443,443,4262,54,921,223.0,250.7058823529412,1.5753248963096689,3.0034443914406346,45568.79584775087,352.0,54.0,298.0,3684,20,887,189.0,216.7058823529412,1.5753248963096689,3.0034443914406346,45568.79584775087,318.0,20.0,298.0,1633457387.726212,0.0008299350738525,0.7375519275665281
8,1,0,0,1,2,1,1020,578096573,1054,64,1040,6,39492,443,0,0,0,0,8,3232270806,6,443,443,5316,54,1054,286.0,295.3333333333333,1.542305397409642,1.7546235703626376,76894.55555555556,352.0,54.0,298.0,4704,20,1020,252.0,261.3333333333333,1.542305397409642,1.7546235703626376,76894.55555555556,318.0,20.0,298.0,1633457387.739115,0.0129029750823974,0.7504549026489254
9,1,0,0,1,1,2,20,3232270806,54,60,40,6,443,39492,0,0,0,0,8,3232270806,6,443,443,5370,54,1054,223.0,282.63157894736844,1.5973925699149591,1.9545497812675272,75751.49584487535,352.0,54.0,298.0,4724,20,1020,189.0,248.6315789473684,1.5973925699149591,1.9545497812675272,75751.49584487535,318.0,20.0,298.0,1633457387.764397,0.0252819061279296,0.775736808776855
10,1,0,0,1,2,1,968,578096573,1002,64,988,6,39492,443,0,0,0,0,8,3232270806,6,443,443,6372,54,1054,286.0,318.6,1.326355322918939,0.6395040697702581,96544.74,353.5,54.0,299.5,5692,20,1020,252.0,284.6,1.326355322918939,0.6395040697702581,96544.74,319.5,20.0,299.5,1633457388.05343,0.2890331745147705,1.0647699832916255
11,1,0,0,1,1,2,20,3232270806,54,60,40,6,443,39492,0,0,0,0,8,3232270806,6,443,443,54,54,54,54.0,54.0,0.0,-3.0,0.0,54.0,54.0,0.0,20,20,20,20.0,20.0,0.0,-3.0,0.0,20.0,20.0,0.0,1633457388.078843,0.0254130363464355,1.090183019638061
12,1,0,0,1,2,1,331,578096573,365,64,351,6,39492,443,0,0,0,0,8,3232270806,6,443,443,419,54,365,209.5,209.5,0.0,-2.0,24180.25,287.25,131.75,155.5,351,20,331,175.5,175.5,0.0,-2.0,24180.25,253.25,97.75,155.5,1633457389.985492,1.906648874282837,2.996831893920898
13,1,0,0,1,1,2,20,3232270806,54,60,40,6,443,39492,0,0,0,0,8,3232270806,6,443,443,473,54,365,54.0,157.66666666666666,0.707106781186548,-1.4999999999999998,21493.555555555555,209.5,54.0,155.5,371,20,331,20.0,123.66666666666669,0.7071067811865471,-1.5000000000000004,21493.555555555555,175.5,20.0,155.5,1633457390.010666,0.0251739025115966,3.0220057964324947
14,1,0,0,1,1,2,20,3232270806,54,223,40,6,443,41226,0,0,0,0,8,3232270806,6,443,443,527,54,365,54.0,131.75,1.1547005383792517,-0.6666666666666665,18135.1875,131.75,54.0,77.75,391,20,331,20.0,97.75,1.1547005383792517,-0.6666666666666665,18135.1875,97.75,20.0,77.75,1633457391.999579,1.9889130592346191,5.010918855667114
15,1,0,0,1,2,1,20,910746187,54,64,40,6,41226,443,0,0,0,0,8,3232270806,6,443,443,581,54,365,54.0,116.2,1.5000000000000009,0.2500000000000013,15475.359999999995,54.0,54.0,0.0,411,20,331,20.0,82.2,1.5000000000000009,0.2500000000000013,15475.359999999995,20.0,20.0,0.0,1633457392.000369,0.0007901191711425,5.011708974838257
16,1,0,0,1,2,1,20,910746187,54,64,40,6,41226,443,0,0,0,0,8,3232270806,6,443,443,635,54,365,54.0,105.83333333333331,1.7888543819998322,1.200000000000002,13433.47222222222,54.0,54.0,0.0,431,20,331,20.0,71.83333333333333,1.7888543819998322,1.200000000000002,13433.47222222222,20.0,20.0,0.0,1633457395.464137,3.4637680053710938,8.47547698020935
17,1,0,0,1,1,2,20,3232270806,54,223,40,6,443,41226,0,0,0,0,8,3232270806,6,443,443,689,54,365,54.0,98.42857142857144,2.041241452319317,2.1666666666666705,11843.387755102036,54.0,54.0,0.0,451,20,331,20.0,64.42857142857143,2.041241452319317,2.1666666666666705,11843.387755102036,20.0,20.0,0.0,1633457395.563249,0.0991120338439941,8.574589014053345
18,0,1,0,0,2,1,56,3639550720,90,64,76,17,45393,123,0,1,0,0,9,3232270806,6,443,443,779,54,365,54.0,97.375,2.210694214910531,2.9867653768238736,10370.734375,63.0,54.0,9.0,507,20,331,20.0,63.375,2.210694214910531,2.9867653768238736,10370.734375,29.0,20.0,9.0,1633457396.953244,1.3899948596954346,9.96458387374878
19,0,1,0,0,1,2,56,3232270806,90,108,76,17,123,45393,0,2,0,0,9,3232270806,6,443,443,869,54,365,54.0,96.55555555555556,2.368294315991523,3.807663071768925,9223.802469135806,90.0,54.0,36.0,563,20,331,20.0,62.55555555555556,2.368294315991523,3.807663071768925,9223.802469135806,56.0,20.0,36.0,1633457397.006468,0.0532240867614746,10.017807960510254
