Unnamed: 0,L4_tcp,L4_udp,L7_http,L7_https,port_class_src,port_class_dst,pck_size,ip_dst_new,ethernet_frame_size ,ttl,total_length,protocol ,source_port,dest_port,DNS_count,NTP_count,ARP_count,cnt,L3_ip_dst_count,most_freq_d_ip,most_freq_prot,most_freq_sport,most_freq_dport,sum_et,min_et,max_et,med_et,average_et,skew_et,kurt_et,var,q3,q1,iqr,sum_e,min_e,max_e,med,average,skew_e,kurt_e,var_e,q3_e,q1_e,iqr_e,epoch_timestamp,inter_arrival_time,time_since_previously_displayed_frame
0,1,0,0,1,1,2,189,3232270806,223,60,209,6,443,39018,0,0,0,0,14,3232270806,6,443,443,421,54,223,72.0,105.25,1.010349668158374,-0.7984685278711616,4837.6875,123.25,54.0,69.25,189,189,189,189.0,189.0,0.0,-3.0,0.0,189.0,189.0,0.0,1633537731.737759,0.0,0.0
1,1,0,0,1,2,1,20,578096573,54,64,40,6,39018,443,0,0,0,0,14,3232270806,6,443,443,475,54,223,54.0,95.0,1.34525861836668,0.0086962401373855,4290.4,90.0,54.0,36.0,209,20,189,104.5,104.5,0.0,-2.0,7140.25,146.75,62.25,84.5,1633537731.738611,0.0008518695831298,0.0008518695831298
2,1,0,0,1,2,1,317,578096573,351,64,337,6,39018,443,0,0,0,0,14,3232270806,6,443,443,826,54,351,72.0,137.66666666666666,0.9883862959635362,-0.6393242890132207,12677.555555555557,189.75,54.0,135.75,526,20,317,189.0,175.33333333333334,-0.1671195961285583,-1.5000000000000002,14794.88888888889,253.0,104.5,148.5,1633537731.815748,0.0771369934082031,0.0779888629913329
3,1,0,0,1,2,1,887,578096573,921,64,907,6,39018,443,0,0,0,0,14,3232270806,6,443,443,1747,54,921,90.0,249.57142857142856,1.5701702331462362,1.0246961856034495,86002.5306122449,287.0,54.0,233.0,1413,20,887,253.0,353.25,0.8003145720233221,-0.9058490202381232,106059.1875,459.5,146.75,312.75,1633537731.819322,0.0035741329193115,0.08156299591064439
4,1,0,0,1,1,2,20,3232270806,54,60,40,6,443,39018,0,0,0,0,14,3232270806,6,443,443,1801,54,921,72.0,225.125,1.7668442777214064,1.7247288129122786,79435.609375,255.0,54.0,201.0,1433,20,887,189.0,286.6,1.080761684436276,-0.3382758495312257,102616.24,317.0,20.0,297.0,1633537731.840643,0.0213208198547363,0.10288381576538069
5,1,0,0,1,1,2,20,3232270806,54,60,40,6,443,39018,0,0,0,0,14,3232270806,6,443,443,1855,54,921,54.0,206.11111111111111,1.9473074295534027,2.4396265095673497,73501.65432098765,223.0,54.0,169.0,1453,20,887,104.5,242.16666666666663,1.3323498000281564,0.3018161760845372,95385.13888888888,285.0,20.0,265.0,1633537731.84433,0.0036871433258056,0.10657095909118629
6,1,0,0,1,2,1,967,578096573,1001,64,987,6,39018,443,0,0,0,0,14,3232270806,6,443,443,2856,54,1001,72.0,285.6,1.2819134678613682,-0.0871051838890086,123017.84,319.0,54.0,265.0,2420,20,967,189.0,345.7142857142857,0.7441507032072897,-1.1980767958432064,146091.34693877547,602.0,20.0,582.0,1633537732.798705,0.9543750286102296,1.0609459877014158
7,1,0,0,1,1,2,20,3232270806,54,60,40,6,443,39018,0,0,0,0,14,3232270806,6,443,443,2910,54,1001,54.0,264.54545454545456,1.4253185664120205,0.3130046493895806,116267.33884297522,287.0,54.0,233.0,2440,20,967,104.5,305.0,0.9437598784137536,-0.8566507618265806,139433.5,459.5,20.0,439.5,1633537732.82382,0.0251150131225585,1.0860610008239744
8,1,0,0,1,2,1,331,578096573,365,64,351,6,39018,443,0,0,0,0,14,3232270806,6,443,443,3275,54,1001,72.0,272.9166666666667,1.3984259908085537,0.4163687443892083,107349.24305555556,354.5,54.0,300.5,2771,20,967,189.0,307.8888888888889,0.9756334609081913,-0.6237433336922389,124007.65432098768,331.0,20.0,311.0,1633537734.56933,1.7455098628997805,2.831570863723755
9,1,0,0,1,1,2,20,3232270806,54,60,40,6,443,39018,0,0,0,0,14,3232270806,6,443,443,3329,54,1001,54.0,256.0769230769231,1.5169960013396575,0.7787726628204039,102494.53254437872,351.0,54.0,297.0,2791,20,967,104.5,279.1,1.1260971137354945,-0.2977189473053769,119066.09,327.5,20.0,307.5,1633537734.594201,0.0248711109161376,2.8564419746398926
