Unnamed: 0,L4_tcp,L4_udp,L7_http,L7_https,port_class_src,port_class_dst,pck_size,ip_dst_new,ethernet_frame_size ,ttl,total_length,protocol ,source_port,dest_port,DNS_count,NTP_count,ARP_count,cnt,L3_ip_dst_count,most_freq_d_ip,most_freq_prot,most_freq_sport,most_freq_dport,sum_et,min_et,max_et,med_et,average_et,skew_et,kurt_et,var,q3,q1,iqr,sum_e,min_e,max_e,med,average,skew_e,kurt_e,var_e,q3_e,q1_e,iqr_e,epoch_timestamp,inter_arrival_time,time_since_previously_displayed_frame
0,1,0,0,1,3,1,318,578096573,352,64,338,6,60594,443,0,0,0,0,14,3232270806,6,443,443,5081,54,1002,350.5,317.5625,1.2167814402314072,0.8357429616687435,78701.99609375,358.0,54.0,304.0,3611,20,968,318.0,277.7692307692308,1.4288435975103182,2.5513120002783376,58225.71597633136,324.0,20.0,304.0,1633455630.689335,0.0,0.0
1,1,0,0,1,1,3,20,3232270806,54,60,40,6,443,60594,0,0,0,0,14,3232270806,6,443,443,5135,54,1002,349.0,302.05882352941177,1.279806373935476,0.995659543234824,77918.29065743946,358.0,54.0,304.0,3631,20,968,316.5,259.35714285714283,1.4606937481756892,2.613432349258616,58473.80102040815,322.5,20.0,302.5,1633455630.714835,0.0254998207092285,0.0254998207092285
2,1,0,0,1,3,1,970,578096573,1004,64,990,6,60594,443,0,0,0,0,14,3232270806,6,443,443,6139,54,1004,350.5,341.05555555555554,1.0782010060380849,0.0554674609523013,99442.16358024692,358.0,54.0,304.0,4601,20,970,318.0,306.7333333333333,1.224183825108746,0.7727760165232036,85998.59555555554,324.0,20.0,304.0,1633455631.701181,0.9863460063934326,1.0118458271026611
3,1,0,0,1,1,3,20,3232270806,54,60,40,6,443,60594,0,0,0,0,14,3232270806,6,443,443,6193,54,1004,349.0,325.94736842105266,1.143317354196959,0.2046779087817909,98316.9972299169,358.0,54.0,304.0,4621,20,970,316.5,288.8125,1.2840876131552983,0.9335000442764714,85441.02734375,324.0,20.0,304.0,1633455631.743452,0.0422711372375488,1.05411696434021
4,1,0,0,1,3,1,331,578096573,365,64,351,6,60594,443,0,0,0,0,14,3232270806,6,443,443,6558,54,1004,350.5,327.9,1.1525993472867,0.3384418553404389,93473.59,359.75,54.0,305.75,4952,20,970,318.0,291.29411764705884,1.2951333789673327,1.1233822857479012,80513.61937716264,324.0,20.0,304.0,1633455633.833273,2.0898208618164062,3.143937826156616
5,1,0,0,1,1,3,20,3232270806,54,60,40,6,443,60594,0,0,0,0,14,3232270806,6,443,443,54,54,54,54.0,54.0,0.0,-3.0,0.0,54.0,54.0,0.0,4972,20,970,316.5,276.22222222222223,1.3482400532101286,1.27173638910282,79902.39506172841,324.0,20.0,304.0,1633455633.858502,0.0252289772033691,3.1691668033599854
6,0,1,0,0,3,1,56,3639550732,90,64,76,17,57603,123,0,1,0,0,14,3232270806,6,443,443,144,54,90,72.0,72.0,0.0,-2.0,324.0,81.0,63.0,18.0,5028,20,970,315.0,264.63157894736844,1.420100577717064,1.4797415461166885,78115.18005540165,324.0,20.0,304.0,1633455634.09896,0.2404580116271972,3.4096248149871826
7,0,1,0,0,1,3,56,3232270806,90,108,76,17,123,57603,0,2,0,0,14,3232270806,6,443,443,234,54,90,90.0,78.0,-0.7071067811865475,-1.5,288.0,90.0,72.0,18.0,5084,20,970,315.0,254.2,1.489968488181589,1.6961752286193574,76276.95999999999,324.0,20.0,304.0,1633455634.148085,0.0491251945495605,3.458750009536743
8,0,1,0,0,3,1,56,3639550724,90,64,76,17,54223,123,0,3,0,0,14,3232270806,6,443,443,324,54,90,90.0,81.0,-1.1547005383792517,-0.6666666666666665,243.0,90.0,81.0,9.0,56,56,56,56.0,56.0,0.0,-3.0,0.0,56.0,56.0,0.0,1633455635.14993,1.001844882965088,4.460594892501831
9,0,1,0,0,1,3,56,3232270806,90,107,76,17,123,54223,0,4,0,0,14,3232270806,6,443,443,414,54,90,90.0,82.8,-1.4999999999999998,0.2499999999999995,207.36,90.0,90.0,0.0,112,56,56,56.0,56.0,0.0,-3.0,0.0,56.0,56.0,0.0,1633455635.208216,0.0582859516143798,4.518880844116211
