Unnamed: 0,L4_tcp,L4_udp,L7_http,L7_https,port_class_src,port_class_dst,pck_size,ip_dst_new,ethernet_frame_size ,ttl,total_length,protocol ,source_port,dest_port,DNS_count,NTP_count,ARP_count,cnt,L3_ip_dst_count,most_freq_d_ip,most_freq_prot,most_freq_sport,most_freq_dport,sum_et,min_et,max_et,med_et,average_et,skew_et,kurt_et,var,q3,q1,iqr,sum_e,min_e,max_e,med,average,skew_e,kurt_e,var_e,q3_e,q1_e,iqr_e,epoch_timestamp,inter_arrival_time,time_since_previously_displayed_frame
0,1,0,0,1,2,1,317,578096573,351,64,337,6,39492,443,0,0,0,0,14,3232270806,6,443,443,405,54,351,202.5,202.5,0.0,-2.0,22052.25,276.75,128.25,148.5,4972,20,967,305.0,261.6842105263158,1.2702745275619045,1.5550768921532496,61459.584487534616,317.0,20.0,297.0,1633456537.000185,0.0,0.0
1,1,0,0,1,1,2,20,3232270806,54,60,40,6,443,39492,0,0,0,0,14,3232270806,6,443,443,459,54,351,54.0,153.0,0.7071067811865476,-1.5,19602.0,202.5,54.0,148.5,4992,20,967,303.5,249.6,1.3156441020013432,1.658076819634835,61161.13999999998,317.0,20.0,297.0,1633456537.025238,0.0250530242919921,0.0250530242919921
2,1,0,0,1,2,1,967,578096573,1001,64,987,6,39492,443,0,0,0,0,14,3232270806,6,443,443,1460,54,1001,202.5,365.0,0.8521393531258526,-0.9614850860218218,149533.5,513.5,54.0,459.5,967,967,967,967.0,967.0,0.0,-3.0,0.0,967.0,967.0,0.0,1633456538.016889,0.9916510581970216,1.0167040824890137
3,1,0,0,1,1,2,20,3232270806,54,60,40,6,443,39492,0,0,0,0,14,3232270806,6,443,443,1514,54,1001,54.0,302.8,1.1851733366913335,-0.2700792390759727,135102.16,351.0,54.0,297.0,987,20,967,493.5,493.5,0.0,-2.0,224202.25,730.25,256.75,473.5,1633456538.042339,0.0254499912261962,1.04215407371521
4,1,0,0,1,2,1,20,2915222222,54,64,40,6,44858,443,0,0,0,0,14,3232270806,6,443,443,1568,54,1001,54.0,261.3333333333333,1.4608081021160668,0.4817570372633799,121182.55555555558,276.75,54.0,222.75,1007,20,967,20.0,335.6666666666667,0.7071067811865474,-1.5000000000000004,199290.88888888888,493.5,20.0,473.5,1633456538.505054,0.4627149105072021,1.504868984222412
5,1,0,0,1,1,2,20,3232270806,54,46,40,6,443,44858,0,0,0,0,14,3232270806,6,443,443,1622,54,1001,54.0,231.7142857142857,1.6994670947756794,1.2630141287698908,109134.48979591836,202.5,54.0,148.5,1027,20,967,20.0,256.75,1.1547005383792517,-0.6666666666666665,168151.6875,256.75,20.0,236.75,1633456538.553474,0.0484199523925781,1.5532889366149902
6,0,1,0,0,2,2,315,4026531834,349,255,335,17,1900,1900,0,0,0,0,14,3232270806,6,443,443,1971,54,1001,54.0,246.375,1.6400508421847215,1.4024481985493074,96997.234375,349.5,54.0,295.5,1342,20,967,20.0,268.4,1.1888838314663672,-0.2633865394523149,135064.24,315.0,20.0,295.0,1633456539.389596,0.8361220359802246,2.389410972595215
7,0,1,0,0,2,2,315,4026531834,349,255,335,17,1900,1900,0,0,0,0,14,3232270806,6,443,443,2320,54,1001,54.0,257.77777777777777,1.597322403050197,1.5814192594375491,87259.95061728395,349.0,54.0,295.0,1657,20,967,167.5,276.1666666666667,1.2282143613824643,0.1496797323398553,112855.13888888888,315.0,20.0,295.0,1633456539.439978,0.0503818988800048,2.4397928714752197
8,0,1,0,0,2,2,324,4026531834,358,255,344,17,1900,1900,0,0,0,0,14,3232270806,6,443,443,2678,54,1001,201.5,267.8,1.5528405360191688,1.748406518616641,79437.96000000002,350.5,54.0,296.5,1981,20,967,315.0,283.0,1.2555702938398583,0.5404402665111707,97013.14285714286,319.5,20.0,299.5,1633456539.489917,0.0499391555786132,2.489732027053833
9,1,0,0,1,2,1,331,578096573,365,64,351,6,39492,443,0,0,0,0,14,3232270806,6,443,443,3043,54,1001,349.0,276.6363636363636,1.5086534505036364,1.9098427844992771,72997.14049586777,354.5,54.0,300.5,2312,20,967,315.0,289.0,1.275164638759398,0.9149692853642248,85138.5,325.75,20.0,305.75,1633456539.513877,0.0239598751068115,2.5136919021606445
10,1,0,0,1,1,2,20,3232270806,54,60,40,6,443,39492,0,0,0,0,14,3232270806,6,443,443,3097,54,1001,201.5,258.0833333333333,1.6116123822055126,2.2593817299898484,70700.40972222223,352.75,54.0,298.75,2332,20,967,315.0,259.1111111111111,1.403243534816577,1.2799702800301782,82825.43209876544,324.0,20.0,304.0,1633456539.539011,0.0251340866088867,2.5388259887695312
11,0,1,0,0,2,2,324,4026531834,358,255,344,17,1900,1900,0,0,0,0,14,3232270806,6,443,443,3455,54,1001,349.0,265.7692307692308,1.5651853122784252,2.3849172564730496,65970.79289940829,358.0,54.0,304.0,2656,20,967,315.0,265.6,1.398140250088814,1.5719016881410486,74921.83999999998,324.0,20.0,304.0,1633456539.540276,0.0012650489807128,2.540091037750244
12,0,1,0,0,2,2,318,4026531834,352,255,338,17,1900,1900,0,0,0,0,14,3232270806,6,443,443,3807,54,1001,349.0,271.92857142857144,1.533460701768886,2.552195309906069,61751.7806122449,356.5,54.0,302.5,2974,20,967,315.0,270.3636363636364,1.4051425773521802,1.8914814033934029,68337.68595041322,324.0,20.0,304.0,1633456539.589995,0.0497188568115234,2.5898098945617676
13,0,1,0,0,2,2,318,4026531834,352,255,338,17,1900,1900,0,0,0,0,14,3232270806,6,443,443,4159,54,1001,349.0,277.26666666666665,1.5069048664578018,2.731579072245152,58033.92888888888,355.0,54.0,301.0,3292,20,967,316.5,274.3333333333333,1.4146047057940985,2.215732632740556,62816.22222222223,324.0,20.0,304.0,1633456539.640647,0.0506520271301269,2.6404619216918945
14,1,0,0,1,2,1,862,910746187,896,64,882,6,40138,443,0,0,0,0,14,3232270806,6,443,443,5055,54,1001,350.0,315.9375,1.2011130424571073,0.8292140559476189,76838.30859375,358.0,54.0,304.0,4154,20,967,318.0,319.53846153846155,1.0501781606603229,0.3281868753877091,82506.24852071007,324.0,20.0,304.0,1633456545.095066,5.454419136047363,8.094881057739258
