Unnamed: 0,L4_tcp,L4_udp,L7_http,L7_https,port_class_src,port_class_dst,pck_size,ip_dst_new,ethernet_frame_size ,ttl,total_length,protocol ,source_port,dest_port,DNS_count,NTP_count,ARP_count,cnt,L3_ip_dst_count,most_freq_d_ip,most_freq_prot,most_freq_sport,most_freq_dport,sum_et,min_et,max_et,med_et,average_et,skew_et,kurt_et,var,q3,q1,iqr,sum_e,min_e,max_e,med,average,skew_e,kurt_e,var_e,q3_e,q1_e,iqr_e,epoch_timestamp,inter_arrival_time,time_since_previously_displayed_frame
0,0,1,0,0,2,1,45,3232270593,79,64,65,17,31110,53,1,0,0,0,16,3232270806,6,443,443,2477,54,358,349.0,225.1818181818182,-0.2216040107562822,-1.9037263371990352,19897.785123966944,352.0,66.5,285.5,1979,20,324,316.5,247.375,-1.1610862176899075,-0.6348293266769116,15439.984375,319.5,247.5,72.0,1633457767.975889,0.0,0.0
1,0,1,0,0,1,2,187,3232270806,221,128,207,17,53,31110,2,0,0,0,16,3232270806,6,443,443,2698,54,358,285.0,224.83333333333331,-0.2236941550157583,-1.806588861446064,18240.972222222223,352.0,72.75,279.25,2166,20,324,315.0,240.66666666666663,-1.0294744261615822,-0.7179764760701977,14084.444444444443,318.0,187.0,131.0,1633457768.004565,0.0286760330200195,0.0286760330200195
2,1,0,1,0,3,1,32,910734068,66,64,52,6,51998,80,2,0,0,0,16,3232270806,6,443,443,2764,54,358,221.0,212.6153846153846,-0.0520255434886821,-1.8695222553302333,18629.159763313608,352.0,66.0,286.0,2198,20,324,315.0,219.8,-0.6592711030935111,-1.4173829225574757,16594.76,318.0,80.5,237.5,1633457768.006915,0.0023500919342041,0.031026124954223598
3,1,0,1,0,1,3,32,3232270806,66,222,52,6,80,51998,2,0,0,0,16,3232270806,6,443,443,2830,54,358,169.5,202.14285714285717,0.0942431695528715,-1.8730932078394007,18724.26530612245,351.25,66.0,285.25,2230,20,324,315.0,202.72727272727272,-0.3960087302577941,-1.7272606326926183,18000.92561983471,318.0,38.5,279.5,1633457768.10463,0.0977149009704589,0.1287410259246825
4,1,0,1,0,3,1,20,910734068,54,64,40,6,51998,80,2,0,0,0,16,3232270806,6,443,443,2884,54,358,118.0,192.26666666666668,0.2195568787095861,-1.8387225295274436,18841.52888888889,350.5,60.0,290.5,2250,20,324,251.0,187.5,-0.1944428092588621,-1.8614496388467532,19051.416666666668,318.0,32.0,286.0,1633457768.105485,0.0008549690246582,0.1295959949493407
5,1,0,1,0,3,1,539,910734068,573,64,559,6,51998,80,2,0,0,0,16,3232270806,6,443,443,3457,54,573,169.5,216.0625,0.4966128728229665,-0.9383379568634208,26157.55859375,352.0,63.0,289.0,2789,20,539,315.0,214.53846153846155,0.1660974887357938,-1.0387366903237616,26358.86390532544,318.0,32.0,286.0,1633457768.105485,0.0,0.1295959949493407
6,1,0,1,0,1,3,20,3232270806,54,223,40,6,80,51998,2,0,0,0,16,3232270806,6,443,443,3511,54,573,118.0,206.52941176470588,0.5875276570453898,-0.8694869404040295,26072.95501730104,352.0,54.0,298.0,2809,20,539,251.0,200.64285714285717,0.2846295504000384,-1.068717246104819,26986.229591836734,318.0,32.0,286.0,1633457768.202772,0.0972869396209716,0.2268829345703123
7,1,0,1,0,3,1,1268,910734068,1302,64,1288,6,51998,80,2,0,0,0,16,3232270806,6,443,443,4813,54,1302,169.5,267.3888888888889,2.2818908677951235,5.474229305194726,87590.34876543209,352.0,57.0,295.0,4077,20,1268,315.0,271.8,2.0609998643433665,4.304908005608247,96073.89333333333,321.0,32.0,289.0,1633457768.203726,0.0009541511535644,0.2278370857238767
8,1,0,1,0,1,3,20,3232270806,54,223,40,6,80,51998,2,0,0,0,16,3232270806,6,443,443,4867,54,1302,118.0,256.1578947368421,2.346297412805183,5.842049179338543,85250.76454293629,352.0,54.0,298.0,4097,20,1268,251.0,256.0625,2.1229352097737406,4.635910805585409,93784.30859375,319.5,29.0,290.5,1633457768.3013,0.0975739955902099,0.3254110813140866
9,1,0,1,0,1,3,811,3232270806,845,223,831,6,80,51998,2,0,0,0,16,3232270806,6,443,443,5712,54,1302,169.5,285.6,1.8753548171777907,3.299405980292117,97458.13999999998,353.5,54.0,299.5,4908,20,1268,315.0,288.7058823529412,1.6703630794806146,2.4690255322003205,105317.0311418685,324.0,32.0,292.0,1633457768.308618,0.0073180198669433,0.3327291011810299
10,1,0,1,0,1,3,20,3232270806,54,222,40,6,80,51998,2,0,0,0,16,3232270806,6,443,443,54,54,54,54.0,54.0,0.0,-3.0,0.0,54.0,54.0,0.0,4928,20,1268,251.0,273.77777777777777,1.7320535646854436,2.709677442622944,103254.5061728395,322.5,23.0,299.5,1633457768.308677,5.888938903808594e-05,0.33278799057006797
11,1,0,1,0,3,1,20,910734068,54,64,40,6,51998,80,2,0,0,0,16,3232270806,6,443,443,108,54,54,54.0,54.0,0.0,-3.0,0.0,54.0,54.0,0.0,4948,20,1268,187.0,260.42105263157896,1.7947037807891384,2.9623004633426,101031.29639889197,321.0,20.0,301.0,1633457768.309462,0.0007851123809814,0.33357310295104936
12,1,0,1,0,3,1,20,910734068,54,64,40,6,51998,80,2,0,0,0,16,3232270806,6,443,443,162,54,54,54.0,54.0,0.0,-3.0,0.0,54.0,54.0,0.0,4968,20,1268,116.0,248.4,1.857482970487772,3.224489111594055,98725.34,319.5,20.0,299.5,1633457768.310191,0.0007288455963134,0.3343019485473628
13,1,0,1,0,1,3,20,3232270806,54,222,40,6,80,51998,2,0,0,0,16,3232270806,6,443,443,216,54,54,54.0,54.0,0.0,-3.0,0.0,54.0,54.0,0.0,20,20,20,20.0,20.0,0.0,-3.0,0.0,20.0,20.0,0.0,1633457768.407541,0.0973501205444336,0.4316520690917964
14,1,0,0,1,2,1,20,2915222222,54,64,40,6,44858,443,2,0,0,0,16,3232270806,6,443,443,270,54,54,54.0,54.0,0.0,-3.0,0.0,54.0,54.0,0.0,40,20,20,20.0,20.0,0.0,-3.0,0.0,20.0,20.0,0.0,1633457768.659663,0.2521219253540039,0.6837739944458003
