Unnamed: 0,L4_tcp,L4_udp,L7_http,L7_https,port_class_src,port_class_dst,pck_size,ip_dst_new,ethernet_frame_size ,ttl,total_length,protocol ,source_port,dest_port,DNS_count,NTP_count,ARP_count,cnt,L3_ip_dst_count,most_freq_d_ip,most_freq_prot,most_freq_sport,most_freq_dport,sum_et,min_et,max_et,med_et,average_et,skew_et,kurt_et,var,q3,q1,iqr,sum_e,min_e,max_e,med,average,skew_e,kurt_e,var_e,q3_e,q1_e,iqr_e,epoch_timestamp,inter_arrival_time,time_since_previously_displayed_frame
0,1,0,0,1,1,3,221,3232270806,255,60,241,6,443,60594,0,0,0,0,16,3232270806,6,443,443,2425,54,687,254.0,269.44444444444446,0.9468042663891622,-0.6464873080834819,56195.58024691358,255.0,90.0,165.0,1225,20,652,138.0,204.16666666666663,1.2816478096570658,0.2653549607095602,46485.47222222223,220.75,56.0,164.75,1633454944.294177,0.0,0.0
1,1,0,0,1,3,1,653,578096573,687,64,673,6,60594,443,0,0,0,0,16,3232270806,6,443,443,3112,54,687,254.5,311.2,0.6013143725160593,-1.3332581589969985,66267.76000000001,578.25,90.0,488.25,1878,20,653,220.0,268.2857142857143,0.6868304848399056,-1.2337236630533337,64512.204081632655,436.5,56.0,380.5,1633454944.314003,0.0198259353637695,0.0198259353637695
2,1,0,0,1,1,3,20,3232270806,54,60,40,6,443,60594,0,0,0,0,16,3232270806,6,443,443,3166,54,687,254.0,287.8181818181818,0.7361918217868969,-1.1482231184857814,65710.51239669422,470.5,72.0,398.5,1898,20,653,138.0,237.25,0.8717528172300602,-0.9314024365543414,63190.6875,328.75,47.0,281.75,1633454944.339044,0.0250411033630371,0.0448670387268066
3,1,0,0,1,1,3,281,3232270806,315,60,301,6,443,60594,0,0,0,0,16,3232270806,6,443,443,3481,54,687,254.5,290.0833333333333,0.7402848018203751,-1.0114750582296492,60291.07638888888,407.75,81.0,326.75,2179,20,653,220.0,242.11111111111111,0.8592425056244589,-0.7611784499889436,56358.54320987655,281.0,56.0,225.0,1633454944.585292,0.2462480068206787,0.2911150455474853
4,1,0,0,1,3,1,20,578096573,54,64,40,6,60594,443,0,0,0,0,16,3232270806,6,443,443,3535,54,687,254.0,271.9230769230769,0.8490781231887675,-0.8356669409803112,59610.8402366864,315.0,54.0,261.0,2199,20,653,138.0,219.9,0.9985776218068352,-0.4927722235169454,55162.69,266.0,29.0,237.0,1633454944.625329,0.040036916732788,0.3311519622802733
5,1,0,0,1,3,1,316,578096573,350,64,336,6,60594,443,0,0,0,0,16,3232270806,6,443,443,3885,54,687,254.5,277.5,0.8032779323144154,-0.7812421714237194,55757.25,341.25,63.0,278.25,2515,20,653,220.0,228.63636363636363,0.9146625534226752,-0.4717870397604304,50911.14049586777,298.5,38.0,260.5,1633454944.632478,0.0071489810943603,0.3383009433746336
6,1,0,0,1,1,3,20,3232270806,54,60,40,6,443,60594,0,0,0,0,16,3232270806,6,443,443,3939,54,687,254.0,262.6,0.895309465230234,-0.6254203239347853,55148.23999999999,332.5,54.0,278.5,2535,20,653,138.0,211.25,1.027669227945596,-0.2501287486815995,49993.6875,289.75,20.0,269.75,1633454944.657339,0.0248610973358154,0.363162040710449
7,1,0,0,1,3,1,590,578096573,624,64,610,6,60594,443,0,0,0,0,16,3232270806,6,443,443,4563,54,687,254.5,285.1875,0.6768108960712103,-1.0781731524197702,59354.40234375,418.5,54.0,364.5,3125,20,653,220.0,240.3846153846154,0.7355421523936866,-0.9538586867352604,56333.928994082846,316.0,20.0,296.0,1633454944.6971,0.0397608280181884,0.4029228687286374
8,1,0,0,1,1,3,20,3232270806,54,60,40,6,443,60594,0,0,0,0,16,3232270806,6,443,443,4617,54,687,254.0,271.5882352941176,0.7631094350130819,-0.9574838425201628,58822.00692041522,350.0,54.0,296.0,3145,20,653,138.0,224.64285714285717,0.8401358497451658,-0.7923717837106348,55531.51530612245,307.25,20.0,287.25,1633454944.722124,0.0250241756439209,0.4279470443725583
9,1,0,0,1,1,3,221,3232270806,255,60,241,6,443,60594,0,0,0,0,16,3232270806,6,443,443,4872,54,687,254.5,270.6666666666667,0.7966361018421318,-0.8260922771487862,55568.55555555556,341.25,54.0,287.25,3366,20,653,220.0,224.4,0.872802394761255,-0.6310420221116506,51830.240000000005,298.5,20.0,278.5,1633454945.570623,0.8484988212585449,1.2764458656311033
