Unnamed: 0,L4_tcp,L4_udp,L7_http,L7_https,port_class_src,port_class_dst,pck_size,ip_dst_new,ethernet_frame_size ,ttl,total_length,protocol ,source_port,dest_port,DNS_count,NTP_count,ARP_count,cnt,L3_ip_dst_count,most_freq_d_ip,most_freq_prot,most_freq_sport,most_freq_dport,sum_et,min_et,max_et,med_et,average_et,skew_et,kurt_et,var,q3,q1,iqr,sum_e,min_e,max_e,med,average,skew_e,kurt_e,var_e,q3_e,q1_e,iqr_e,epoch_timestamp,inter_arrival_time,time_since_previously_displayed_frame
0,0,1,0,0,3,1,1358,2398824708,1392,64,1378,17,54742,443,0,0,0,0,3,3232270705,6,443,443,3165,42,1392,66.0,158.25,3.945163456208348,14.063136126008557,82416.7875,133.0,66.0,67.0,2417,32,1358,60.0,151.0625,3.477183768391225,10.431579707954734,99406.18359375,99.0,32.0,67.0,1634141892.95764,0.0,0.0
1,0,1,0,0,2,1,1358,2398824708,1392,64,1378,17,46227,443,0,0,0,0,3,3232270705,6,443,443,1392,1392,1392,1392.0,1392.0,0.0,-3.0,0.0,1392.0,1392.0,0.0,3775,32,1358,60.0,222.05882352941177,2.3177988298898318,3.477763643778664,174206.40830449827,99.0,32.0,67.0,1634141892.966884,0.0092439651489257,0.0092439651489257
2,0,1,0,0,1,3,1358,3232270705,1392,59,1378,17,443,54742,0,0,0,0,3,3232270705,6,443,443,2784,1392,1392,1392.0,1392.0,0.0,-3.0,0.0,1392.0,1392.0,0.0,5133,32,1358,60.0,285.1666666666667,1.7547300937069852,1.135388499685269,232232.47222222225,159.0,32.0,127.0,1634141893.004414,0.0375301837921142,0.0467741489410399
3,0,1,0,0,1,2,1358,3232270705,1392,59,1378,17,443,46227,0,0,0,0,3,3232270705,6,443,443,4176,1392,1392,1392.0,1392.0,0.0,-3.0,0.0,1392.0,1392.0,0.0,6491,32,1358,60.0,341.63157894736844,1.3953422589335518,-0.0155622980995819,277398.864265928,179.0,32.0,147.0,1634141893.013883,0.0094690322875976,0.0562431812286375
4,0,1,0,0,3,1,41,2398824708,75,64,61,17,54742,443,0,0,0,0,3,3232270705,6,443,443,4251,75,1392,1392.0,1062.75,-1.1547005383792517,-0.6666666666666665,325216.6875,1392.0,1062.75,329.25,6532,32,1358,60.0,326.6,1.4746677611972885,0.2135698116361322,267821.94000000006,179.0,32.0,147.0,1634141893.156364,0.1424808502197265,0.198724031448364
5,0,1,0,0,2,1,41,2398824708,75,64,61,17,46227,443,0,0,0,0,3,3232270705,6,443,443,4326,75,1392,1392.0,865.2,-0.4082482904638632,-1.8333333333333333,416277.36,1392.0,75.0,1317.0,41,41,41,41.0,41.0,0.0,-3.0,0.0,41.0,41.0,0.0,1634141893.158887,0.0025229454040527,0.20124697685241671
6,0,1,0,0,1,3,1358,3232270705,1392,60,1378,17,443,54742,0,0,0,0,3,3232270705,6,443,443,5718,75,1392,1392.0,953.0,-0.7071067811865476,-1.5,385442.0,1392.0,404.25,987.75,1399,41,1358,699.5,699.5,0.0,-2.0,433622.25,1028.75,370.25,658.5,1634141893.188682,0.0297951698303222,0.23104214668273892
7,0,1,0,0,3,1,41,2398824708,75,64,61,17,54742,443,0,0,0,0,3,3232270705,6,443,443,5793,75,1392,1392.0,827.5714285714286,-0.2886751345948128,-1.9166666666666663,424772.8163265306,1392.0,75.0,1317.0,1440,41,1358,41.0,480.0,0.7071067811865476,-1.5,385442.0,699.5,41.0,658.5,1634141893.226105,0.0374228954315185,0.2684650421142574
8,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,1,0,3,3232270705,6,443,443,5853,60,1392,733.5,731.625,-0.000145647592083,-1.9998043345576384,436116.234375,1392.0,75.0,1317.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1634141897.997476,4.771371126174927,5.039836168289185
9,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,2,0,3,3232270705,6,443,443,5895,42,1392,75.0,655.0,0.2229444385782472,-1.9493967613955692,434630.0,1392.0,75.0,1317.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1634141897.997494,1.7881393432617188e-05,5.039854049682617
