Unnamed: 0,L4_tcp,L4_udp,L7_http,L7_https,port_class_src,port_class_dst,pck_size,ip_dst_new,ethernet_frame_size ,ttl,total_length,protocol ,source_port,dest_port,DNS_count,NTP_count,ARP_count,cnt,L3_ip_dst_count,most_freq_d_ip,most_freq_prot,most_freq_sport,most_freq_dport,sum_et,min_et,max_et,med_et,average_et,skew_et,kurt_et,var,q3,q1,iqr,sum_e,min_e,max_e,med,average,skew_e,kurt_e,var_e,q3_e,q1_e,iqr_e,epoch_timestamp,inter_arrival_time,time_since_previously_displayed_frame
0,0,1,0,0,3,1,40,3232270593,74,64,60,17,52874,53,1,0,0,0,6,3232270705,6,443,443,5057,66,1484,66.0,280.94444444444446,1.9197056069496885,3.068490863331559,142665.05246913584,422.5,66.0,356.5,2108,32,608,36.0,175.66666666666666,1.1673359860358674,-0.4983327360633605,51054.72222222223,219.5,32.0,187.5,1634142005.447836,0.0,0.0
1,0,1,0,0,1,3,56,3232270705,90,128,76,17,53,52874,2,0,0,0,6,3232270705,6,443,443,5147,66,1484,66.0,270.89473684210526,2.0074296827086,3.454068512072534,136974.30470914126,338.0,66.0,272.0,2164,32,608,40.0,166.46153846153845,1.2901671406261876,-0.1903833693413577,48144.24852071007,135.0,32.0,103.0,1634142005.480941,0.0331051349639892,0.0331051349639892
2,0,1,0,0,2,1,1358,2398765540,1392,64,1378,17,38474,443,2,0,0,0,7,3232270705,6,443,443,6539,66,1484,70.0,326.95,1.6326821488222203,1.4445741803540653,189827.2475,538.75,66.0,472.75,3522,32,1358,48.0,251.57142857142856,1.8823637234166324,2.743870102954848,138873.38775510204,388.5,32.0,356.5,1634142005.69746,0.2165188789367675,0.2496240139007567
3,0,1,0,0,2,1,1358,2398765540,1392,64,1378,17,45319,443,2,0,0,0,7,3232270705,6,443,443,1392,1392,1392,1392.0,1392.0,0.0,-3.0,0.0,1392.0,1392.0,0.0,4880,32,1358,56.0,325.3333333333333,1.449144315838623,0.698788785814394,205786.62222222224,536.5,32.0,504.5,1634142005.70121,0.0037500858306884,0.2533740997314451
4,0,1,0,0,1,2,1358,3232270705,1392,59,1378,17,443,38474,2,0,0,0,7,3232270705,6,443,443,2784,1392,1392,1392.0,1392.0,0.0,-3.0,0.0,1392.0,1392.0,0.0,6238,32,1358,58.0,389.875,1.130555641322914,-0.3350200514451802,255409.359375,602.0,32.0,570.0,1634142005.744659,0.0434489250183105,0.2968230247497556
5,0,1,0,0,1,2,1358,3232270705,1392,59,1378,17,443,45319,2,0,0,0,7,3232270705,6,443,443,4176,1392,1392,1392.0,1392.0,0.0,-3.0,0.0,1392.0,1392.0,0.0,7596,32,1358,60.0,446.8235294117647,0.8898341212210057,-0.921346892898812,292275.4394463668,608.0,32.0,576.0,1634142005.749537,0.0048780441284179,0.3017010688781735
6,0,1,0,0,1,2,1358,3232270705,1392,60,1378,17,443,38474,2,0,0,0,7,3232270705,6,443,443,5568,1392,1392,1392.0,1392.0,0.0,-3.0,0.0,1392.0,1392.0,0.0,8954,32,1358,97.5,497.44444444444446,0.6982243442571192,-1.281510226639735,319600.024691358,1170.5,32.0,1138.5,1634142005.817888,0.0683510303497314,0.3700520992279049
7,0,1,0,0,1,2,1358,3232270705,1392,60,1378,17,443,45319,2,0,0,0,7,3232270705,6,443,443,6960,1392,1392,1392.0,1392.0,0.0,-3.0,0.0,1392.0,1392.0,0.0,10312,32,1358,135.0,542.7368421052631,0.5394416608188004,-1.5127762931590978,339704.19390581705,1358.0,32.0,1326.0,1634142005.822607,0.0047190189361572,0.3747711181640621
8,0,1,0,0,2,1,1358,2398765540,1392,64,1378,17,38474,443,2,0,0,0,7,3232270705,6,443,443,8352,1392,1392,1392.0,1392.0,0.0,-3.0,0.0,1392.0,1392.0,0.0,11670,32,1358,304.0,583.5,0.4038546517012307,-1.6638962528229118,354290.05,1358.0,32.0,1326.0,1634142005.872383,0.0497760772705078,0.4245471954345699
9,0,1,0,0,2,1,1358,2398765540,1392,64,1378,17,45319,443,2,0,0,0,7,3232270705,6,443,443,9744,1392,1392,1392.0,1392.0,0.0,-3.0,0.0,1392.0,1392.0,0.0,1358,1358,1358,1358.0,1358.0,0.0,-3.0,0.0,1358.0,1358.0,0.0,1634142005.876903,0.0045199394226074,0.42906713485717735
