Unnamed: 0,L4_tcp,L4_udp,L7_http,L7_https,port_class_src,port_class_dst,pck_size,ip_dst_new,ethernet_frame_size ,ttl,total_length,protocol ,source_port,dest_port,DNS_count,NTP_count,ARP_count,cnt,L3_ip_dst_count,most_freq_d_ip,most_freq_prot,most_freq_sport,most_freq_dport,sum_et,min_et,max_et,med_et,average_et,skew_et,kurt_et,var,q3,q1,iqr,sum_e,min_e,max_e,med,average,skew_e,kurt_e,var_e,q3_e,q1_e,iqr_e,epoch_timestamp,inter_arrival_time,time_since_previously_displayed_frame
0,1,0,0,1,1,2,1480,3232270605,1514,38,1500,6,443,33016,0,0,0,0,4,3232270605,6,443,443,4840,66,1514,1494.0,968.0,-0.4379265182231812,-1.7678472967463394,429897.6,1494.0,272.0,1222.0,4670,32,1480,1460.0,934.0,-0.4379265182231812,-1.7678472967463394,429897.6,1460.0,238.0,1222.0,1634128763.411121,0.0,0.0
1,1,0,0,1,1,2,485,3232270605,519,38,505,6,443,33016,0,0,0,0,4,3232270605,6,443,443,5359,66,1514,1006.5,893.1666666666666,-0.1283891884387326,-1.8316531472045816,386248.1388888889,1494.0,333.75,1160.25,5155,32,1480,972.5,859.1666666666666,-0.1283891884387326,-1.8316531472045816,386248.1388888889,1460.0,299.75,1160.25,1634128763.411182,6.103515625e-05,6.103515625e-05
2,1,0,0,1,2,1,32,586123849,66,64,52,6,33016,443,0,0,0,0,4,3232270605,6,443,443,5425,66,1514,519.0,775.0,0.1551169859468295,-1.832550739075016,414850.0,1494.0,169.0,1325.0,5187,32,1480,485.0,741.0,0.1551169859468295,-1.832550739075016,414850.0,1460.0,135.0,1325.0,1634128763.415218,0.0040361881256103,0.0040972232818603
3,1,0,0,1,2,1,32,586123849,66,64,52,6,33016,443,0,0,0,0,4,3232270605,6,443,443,5491,66,1514,395.5,686.375,0.3831678492822961,-1.715898719388117,417974.484375,1494.0,66.0,1428.0,5219,32,1480,361.5,652.375,0.3831678492822961,-1.715898719388117,417974.484375,1460.0,32.0,1428.0,1634128763.415218,0.0,0.0040972232818603
4,1,0,0,1,2,1,71,586123849,105,64,91,6,33016,443,0,0,0,0,4,3232270605,6,443,443,5596,66,1514,272.0,621.7777777777778,0.5780566961543214,-1.5335553369200516,404915.2839506173,1494.0,66.0,1428.0,5290,32,1480,238.0,587.7777777777778,0.5780566961543214,-1.5335553369200516,404915.2839506173,1460.0,32.0,1428.0,1634128763.432303,0.0170848369598388,0.0211820602416991
5,1,0,0,1,2,1,40,232897919,74,64,60,6,48024,443,0,0,0,0,4,3232270605,6,443,443,5670,66,1514,188.5,567.0,0.7435850886082893,-1.3145627295181546,391429.2,1250.25,68.0,1182.25,5330,32,1480,154.5,533.0,0.7435850886082893,-1.3145627295181546,391429.2,1216.25,34.0,1182.25,1634128763.432303,0.0,0.0211820602416991
6,1,0,0,1,2,1,342,586123849,376,64,362,6,33016,443,0,0,0,0,4,3232270605,6,443,443,6046,66,1514,272.0,549.6363636363636,0.8541048366931098,-1.0821166231666577,358859.68595041323,1006.5,70.0,936.5,5672,32,1480,238.0,515.6363636363636,0.8541048366931098,-1.0821166231666577,358859.68595041323,972.5,36.0,936.5,1634128763.432783,0.0004799365997314,0.0216619968414305
7,1,0,0,1,2,1,71,586123849,105,64,91,6,33016,443,0,0,0,0,4,3232270605,6,443,443,6151,66,1514,188.5,512.5833333333334,0.9874590615134796,-0.834340644102288,344056.9097222222,762.75,72.0,690.75,5743,32,1480,154.5,478.5833333333333,0.9874590615134796,-0.8343406441022885,344056.9097222223,728.75,38.0,690.75,1634128763.434925,0.0021421909332275,0.023804187774658002
8,1,0,0,1,2,1,1480,586123849,1514,64,1500,6,33016,443,0,0,0,0,4,3232270605,6,443,443,7665,66,1514,272.0,589.6153846153846,0.7049237671357972,-1.3629387812259437,388798.2366863905,1494.0,74.0,1420.0,7223,32,1480,238.0,555.6153846153846,0.7049237671357972,-1.3629387812259437,388798.2366863905,1460.0,40.0,1420.0,1634128763.436295,0.0013699531555175,0.025174140930175504
9,1,0,0,1,2,1,772,586123849,806,64,792,6,33016,443,0,0,0,0,4,3232270605,6,443,443,8471,66,1514,324.0,605.0714285714286,0.6486317269312756,-1.3361651911874637,364132.4948979592,1322.0,81.75,1240.25,7995,32,1480,290.0,571.0714285714286,0.6486317269312756,-1.3361651911874637,364132.4948979592,1288.0,47.75,1240.25,1634128763.4368,0.0005049705505371,0.025679111480712603
10,1,0,0,1,1,2,40,3232270605,74,246,60,6,443,48024,0,0,0,0,4,3232270605,6,443,443,8545,66,1514,272.0,569.6666666666666,0.753699965363513,-1.1890842349309287,357405.95555555547,1150.0,74.0,1076.0,8035,32,1480,238.0,535.6666666666666,0.753699965363513,-1.1890842349309287,357405.95555555547,1116.0,40.0,1076.0,1634128763.448418,0.01161789894104,0.037297010421752604
11,1,0,0,1,2,1,32,232897919,66,64,52,6,48024,443,0,0,0,0,4,3232270605,6,443,443,8611,66,1514,188.5,538.1875,0.8505683543308094,-1.0320739026549746,349932.15234375,978.0,72.0,906.0,8067,32,1480,154.5,504.1875,0.8505683543308094,-1.0320739026549746,349932.15234375,944.0,38.0,906.0,1634128763.450018,0.0016000270843505,0.038897037506103106
12,1,0,0,1,2,1,335,232897919,369,64,355,6,48024,443,0,0,0,0,4,3232270605,6,443,443,8980,66,1514,272.0,528.2352941176471,0.9208648006439007,-0.866687646274098,330932.6505190312,806.0,74.0,732.0,8402,32,1480,238.0,494.2352941176471,0.9208648006439007,-0.866687646274098,330932.6505190312,772.0,40.0,732.0,1634128763.450018,0.0,0.038897037506103106
13,1,0,0,1,1,2,32,3232270605,66,38,52,6,443,33016,0,0,0,0,4,3232270605,6,443,443,9046,66,1514,188.5,502.55555555555554,1.0044767595726554,-0.701614647661208,323758.1358024692,734.25,68.0,666.25,8434,32,1480,154.5,468.55555555555554,1.0044767595726554,-0.701614647661208,323758.1358024692,700.25,34.0,666.25,1634128763.461652,0.0116341114044189,0.050531148910522
14,1,0,0,1,1,2,1480,3232270605,1514,38,1500,6,443,33016,0,0,0,0,4,3232270605,6,443,443,10560,66,1514,272.0,555.7894736842105,0.8061487293414761,-1.1206383969188838,357727.5346260388,1150.0,70.0,1080.0,9914,32,1480,238.0,521.7894736842105,0.8061487293414761,-1.1206383969188838,357727.5346260388,1116.0,36.0,1080.0,1634128763.462442,0.0007898807525634,0.0513210296630854
15,1,0,0,1,1,2,303,3232270605,337,38,323,6,443,33016,0,0,0,0,4,3232270605,6,443,443,10897,66,1514,304.5,544.85,0.872357827928493,-0.983790670788764,342114.92749999993,978.0,72.0,906.0,10217,32,1480,270.5,510.85,0.872357827928493,-0.983790670788764,342114.92749999993,944.0,38.0,906.0,1634128763.462503,6.103515625e-05,0.0513820648193354
16,1,0,0,1,2,1,32,586123849,66,64,52,6,33016,443,0,0,0,0,4,3232270605,6,443,443,66,66,66,66.0,66.0,0.0,-3.0,0.0,66.0,66.0,0.0,32,32,32,32.0,32.0,0.0,-3.0,0.0,32.0,32.0,0.0,1634128763.463864,0.0013611316680908,0.0527431964874262
17,1,0,0,1,1,2,32,3232270605,66,38,52,6,443,33016,0,0,0,0,4,3232270605,6,443,443,132,66,66,66.0,66.0,0.0,-3.0,0.0,66.0,66.0,0.0,64,32,32,32.0,32.0,0.0,-3.0,0.0,32.0,32.0,0.0,1634128763.465532,0.0016679763793945,0.054411172866820706
18,1,0,0,1,1,2,32,3232270605,66,247,52,6,443,48024,0,0,0,0,4,3232270605,6,443,443,198,66,66,66.0,66.0,0.0,-3.0,0.0,66.0,66.0,0.0,96,32,32,32.0,32.0,0.0,-3.0,0.0,32.0,32.0,0.0,1634128763.465589,5.698204040527344e-05,0.05446815490722598
19,1,0,0,1,1,2,175,3232270605,209,247,195,6,443,48024,0,0,0,0,4,3232270605,6,443,443,407,66,209,66.0,101.75,1.1547005383792517,-0.6666666666666665,3834.1875,101.75,66.0,35.75,271,32,175,32.0,67.75,1.1547005383792517,-0.6666666666666665,3834.1875,67.75,32.0,35.75,1634128763.466087,0.0004980564117431,0.05496621131896908
20,1,0,0,1,2,1,32,232897919,66,64,52,6,48024,443,0,0,0,0,4,3232270605,6,443,443,473,66,209,66.0,94.6,1.5000000000000009,0.2500000000000004,3271.84,66.0,66.0,0.0,303,32,175,32.0,60.6,1.5,0.2499999999999995,3271.84,32.0,32.0,0.0,1634128763.467665,0.0015778541564941,0.05654406547546318
21,1,0,0,1,2,1,38,232897919,72,64,58,6,48024,443,0,0,0,0,4,3232270605,6,443,443,545,66,209,66.0,90.83333333333331,1.7820690188964483,1.1874575682464783,2797.4722222222226,70.5,66.0,4.5,341,32,175,32.0,56.833333333333336,1.7820690188964483,1.1874575682464783,2797.472222222222,36.5,32.0,4.5,1634128763.467665,0.0,0.05654406547546318
22,1,0,0,1,2,1,913,232897919,947,64,933,6,48024,443,0,0,0,0,4,3232270605,6,443,443,1492,66,947,66.0,213.14285714285717,1.9387230151553645,1.916927348195272,92155.55102040817,140.5,66.0,74.5,1254,32,913,32.0,179.14285714285714,1.9387230151553645,1.916927348195272,92155.55102040817,106.5,32.0,74.5,1634128763.46853,0.0008649826049804,0.05740904808044358
23,1,0,0,1,1,2,32,3232270605,66,247,52,6,443,48024,0,0,0,0,4,3232270605,6,443,443,1558,66,947,66.0,194.75,2.159653226005558,2.83881476743102,83004.1875,106.25,66.0,40.25,1286,32,913,32.0,160.75,2.159653226005558,2.83881476743102,83004.1875,72.25,32.0,40.25,1634128763.483327,0.0147969722747802,0.07220602035522378
24,1,0,0,1,1,2,32,3232270605,66,247,52,6,443,48024,0,0,0,0,4,3232270605,6,443,443,1624,66,947,66.0,180.44444444444449,2.361441826148687,3.767698029234257,75418.69135802468,72.0,66.0,6.0,1318,32,913,32.0,146.44444444444446,2.361441826148687,3.767698029234257,75418.69135802468,38.0,32.0,6.0,1634128763.484275,0.0009481906890869,0.07315421104431068
25,1,0,0,1,1,2,32,3232270605,66,38,52,6,443,33016,0,0,0,0,4,3232270605,6,443,443,1690,66,947,66.0,169.0,2.548190304479125,4.701250294015326,69055.6,70.5,66.0,4.5,1350,32,913,32.0,135.0,2.548190304479125,4.701250294015326,69055.6,36.5,32.0,4.5,1634128763.505329,0.0210537910461425,0.09420800209045317
26,1,0,0,1,1,2,1460,3232270605,1494,247,1480,6,443,48024,0,0,0,0,4,3232270605,6,443,443,3184,66,1494,66.0,289.45454545454544,1.8638604555440863,1.86388577863968,207870.7933884297,140.5,66.0,74.5,2810,32,1460,32.0,255.45454545454547,1.8638604555440863,1.86388577863968,207870.7933884297,106.5,32.0,74.5,1634128763.543544,0.038215160369873,0.13242316246032618
27,1,0,0,1,1,2,744,3232270605,778,247,764,6,443,48024,0,0,0,0,4,3232270605,6,443,443,3962,66,1494,66.0,330.1666666666667,1.5312353446657088,0.9352717563982867,208780.47222222225,351.25,66.0,285.25,3554,32,1460,32.0,296.1666666666667,1.5312353446657088,0.9352717563982867,208780.47222222225,317.25,32.0,285.25,1634128763.543606,6.198883056640625e-05,0.13248515129089258
28,1,0,0,1,1,2,63,3232270605,97,247,83,6,443,48024,0,0,0,0,4,3232270605,6,443,443,4059,66,1494,66.0,312.2307692307692,1.6572832123157772,1.361648985963514,196580.79289940823,209.0,66.0,143.0,3617,32,1460,32.0,278.2307692307692,1.6572832123157772,1.361648985963514,196580.79289940823,175.0,32.0,143.0,1634128763.543643,3.695487976074219e-05,0.13252210617065333
29,1,0,0,1,1,2,32,3232270605,66,246,52,6,443,48024,0,0,0,0,4,3232270605,6,443,443,4125,66,1494,66.0,294.6428571428572,1.773530668639717,1.783309525171096,186560.65816326533,181.0,66.0,115.0,3649,32,1460,32.0,260.6428571428572,1.773530668639717,1.783309525171096,186560.65816326533,147.0,32.0,115.0,1634128763.543675,3.1948089599609375e-05,0.13255405426025293
30,1,0,0,1,2,1,32,232897919,66,64,52,6,48024,443,0,0,0,0,4,3232270605,6,443,443,4191,66,1494,66.0,279.4,1.8834705709420505,2.2093285572741275,177376.10666666663,153.0,66.0,87.0,3681,32,1460,32.0,245.4,1.8834705709420505,2.2093285572741275,177376.10666666663,119.0,32.0,87.0,1634128763.546618,0.0029430389404296,0.13549709320068254
31,1,0,0,1,2,1,32,232897919,66,64,52,6,48024,443,0,0,0,0,4,3232270605,6,443,443,4257,66,1494,66.0,266.0625,1.987972877802472,2.638736616968244,168958.43359375,125.0,66.0,59.0,3713,32,1460,32.0,232.0625,1.987972877802472,2.638736616968244,168958.43359375,91.0,32.0,59.0,1634128763.552296,0.0056779384613037,0.14117503166198625
32,1,0,0,1,2,1,40,232897919,74,64,60,6,48026,443,0,0,0,0,4,3232270605,6,443,443,4331,66,1494,66.0,254.76470588235293,2.0883333421558,3.0736733649566084,161061.9446366782,97.0,66.0,31.0,3753,32,1460,32.0,220.76470588235293,2.0883333421558,3.0736733649566084,161061.9446366782,63.0,32.0,31.0,1634128763.55284,0.0005440711975097,0.14171910285949596
33,1,0,0,1,1,2,40,3232270605,74,246,60,6,443,48026,0,0,0,0,4,3232270605,6,443,443,4405,66,1494,66.0,244.72222222222223,2.1844450262767614,3.510699012189833,153828.53395061733,91.25,66.0,25.25,3793,32,1460,32.0,210.72222222222223,2.1844450262767614,3.510699012189833,153828.53395061733,57.25,32.0,25.25,1634128763.568848,0.0160079002380371,0.15772700309753307
34,1,0,0,1,2,1,32,232897919,66,64,52,6,48026,443,0,0,0,0,4,3232270605,6,443,443,4471,66,1494,66.0,235.31578947368425,2.2762311658485506,3.946622153109618,147324.95290858726,85.5,66.0,19.5,3825,32,1460,32.0,201.31578947368425,2.2762311658485506,3.946622153109618,147324.95290858726,51.5,32.0,19.5,1634128763.570619,0.0017712116241455,0.15949821472167858
35,1,0,0,1,2,1,335,232897919,369,64,355,6,48026,443,0,0,0,0,4,3232270605,6,443,443,4840,66,1494,66.0,242.0,2.2630929469486225,4.061983890918363,140807.6,125.0,66.0,59.0,4160,32,1460,32.0,208.0,2.2630929469486225,4.061983890918363,140807.6,91.0,32.0,59.0,1634128763.572946,0.0023269653320312,0.16182518005370977
36,1,0,0,1,1,2,32,3232270605,66,247,52,6,443,48026,0,0,0,0,4,3232270605,6,443,443,66,66,66,66.0,66.0,0.0,-3.0,0.0,66.0,66.0,0.0,32,32,32,32.0,32.0,0.0,-3.0,0.0,32.0,32.0,0.0,1634128763.588588,0.0156419277191162,0.17746710777282598
37,1,0,0,1,1,2,175,3232270605,209,247,195,6,443,48026,0,0,0,0,4,3232270605,6,443,443,275,66,209,137.5,137.5,0.0,-2.0,5112.25,173.25,101.75,71.5,207,32,175,103.5,103.5,0.0,-2.0,5112.25,139.25,67.75,71.5,1634128763.589893,0.0013051033020019,0.17877221107482788
38,1,0,0,1,2,1,32,232897919,66,64,52,6,48026,443,0,0,0,0,4,3232270605,6,443,443,341,66,209,66.0,113.66666666666669,0.7071067811865472,-1.5,4544.222222222222,137.5,66.0,71.5,239,32,175,32.0,79.66666666666667,0.7071067811865472,-1.5,4544.222222222222,103.5,32.0,71.5,1634128763.591756,0.0018630027770996,0.1806352138519275
39,1,0,0,1,2,1,38,232897919,72,64,58,6,48026,443,0,0,0,0,4,3232270605,6,443,443,413,66,209,69.0,103.25,1.1491897147825505,-0.6710673224337649,3733.6875,106.25,66.0,40.25,277,32,175,35.0,69.25,1.1491897147825505,-0.6710673224337649,3733.6875,72.25,32.0,40.25,1634128763.591756,0.0,0.1806352138519275
40,1,0,0,1,2,1,859,232897919,893,64,879,6,48026,443,0,0,0,0,4,3232270605,6,443,443,1306,66,893,72.0,261.2,1.3984997218703006,0.0960839557795871,102779.75999999998,209.0,66.0,143.0,1136,32,859,38.0,227.2,1.3984997218703006,0.0960839557795871,102779.75999999998,175.0,32.0,143.0,1634128763.592674,0.000917911529541,0.18155312538146848
41,1,0,0,1,1,2,32,3232270605,66,247,52,6,443,48026,0,0,0,0,4,3232270605,6,443,443,1372,66,893,69.0,228.66666666666663,1.6799203573825576,0.9797009631960124,90941.88888888888,174.75,66.0,108.75,1168,32,859,35.0,194.66666666666663,1.6799203573825576,0.9797009631960124,90941.88888888888,140.75,32.0,108.75,1634128763.607344,0.0146698951721191,0.1962230205535876
42,1,0,0,1,1,2,32,3232270605,66,247,52,6,443,48026,0,0,0,0,4,3232270605,6,443,443,1438,66,893,66.0,205.42857142857144,1.9256214552478377,1.883199849295054,81190.24489795917,140.5,66.0,74.5,1200,32,859,32.0,171.42857142857142,1.9256214552478377,1.883199849295054,81190.24489795917,106.5,32.0,74.5,1634128763.608403,0.0010590553283691,0.1972820758819567
43,1,0,0,1,1,2,1460,3232270605,1494,247,1480,6,443,48026,0,0,0,0,4,3232270605,6,443,443,2932,66,1494,69.0,366.5,1.4186859635866034,0.3950326999015323,252649.5,380.0,66.0,314.0,2660,32,1460,35.0,332.5,1.4186859635866034,0.3950326999015323,252649.5,346.0,32.0,314.0,1634128763.728218,0.1198151111602783,0.317097187042235
