Unnamed: 0,L4_tcp,L4_udp,L7_http,L7_https,port_class_src,port_class_dst,pck_size,ip_dst_new,ethernet_frame_size ,ttl,total_length,protocol ,source_port,dest_port,DNS_count,NTP_count,ARP_count,cnt,L3_ip_dst_count,most_freq_d_ip,most_freq_prot,most_freq_sport,most_freq_dport,sum_et,min_et,max_et,med_et,average_et,skew_et,kurt_et,var,q3,q1,iqr,sum_e,min_e,max_e,med,average,skew_e,kurt_e,var_e,q3_e,q1_e,iqr_e,epoch_timestamp,inter_arrival_time,time_since_previously_displayed_frame
0,1,0,0,1,1,2,393,3232270605,427,38,413,6,443,33016,0,0,0,0,6,3232270605,6,443,443,4225,54,1354,69.0,264.0625,1.876772825646663,2.487416427642784,132558.05859375,241.75,66.0,175.75,3681,20,1320,35.0,230.0625,1.876772825646663,2.487416427642784,132558.05859375,207.75,32.0,175.75,1634128802.459507,0.0,0.0
1,1,0,0,1,2,1,71,586123849,105,64,91,6,33016,443,0,0,0,0,6,3232270605,6,443,443,4330,54,1354,72.0,254.7058823529412,1.976167459900244,2.9080617902567667,126161.26643598617,180.0,66.0,114.0,3752,20,1320,38.0,220.7058823529412,1.976167459900244,2.9080617902567667,126161.26643598617,146.0,32.0,114.0,1634128802.462982,0.0034749507904052,0.0034749507904052
2,1,0,0,1,2,1,300,586123849,334,64,320,6,33016,443,0,0,0,0,6,3232270605,6,443,443,4664,54,1354,84.5,259.1111111111111,1.987479073647088,3.11896083844891,119482.2098765432,295.5,66.0,229.5,4052,20,1320,50.5,225.11111111111111,1.987479073647087,3.118960838448908,119482.20987654322,261.5,32.0,229.5,1634128802.463558,0.0005760192871093,0.0040509700775145
3,1,0,0,1,1,2,32,3232270605,66,38,52,6,443,33016,0,0,0,0,6,3232270605,6,443,443,4730,54,1354,72.0,248.94736842105263,2.0728475775779347,3.500406441519289,115053.10249307477,257.0,66.0,191.0,4084,20,1320,38.0,214.94736842105263,2.0728475775779347,3.500406441519289,115053.10249307477,223.0,32.0,191.0,1634128802.491689,0.0281310081481933,0.0321819782257078
4,1,0,0,1,1,2,32,3232270605,66,38,52,6,443,33016,0,0,0,0,6,3232270605,6,443,443,4796,54,1354,69.0,239.8,2.1552639429375797,3.8845817424131415,110890.26000000004,218.5,66.0,152.5,4116,20,1320,35.0,205.8,2.1552639429375797,3.8845817424131415,110890.26000000004,184.5,32.0,152.5,1634128802.492373,0.0006840229034423,0.0328660011291501
5,1,0,0,1,1,2,373,3232270605,407,38,393,6,443,33016,0,0,0,0,6,3232270605,6,443,443,407,407,407,407.0,407.0,0.0,-3.0,0.0,407.0,407.0,0.0,373,373,373,373.0,373.0,0.0,-3.0,0.0,373.0,373.0,0.0,1634128805.130711,2.638338088989258,2.6712040901184078
6,1,0,0,1,2,1,71,586123849,105,64,91,6,33016,443,0,0,0,0,6,3232270605,6,443,443,512,105,407,256.0,256.0,0.0,-2.0,22801.0,331.5,180.5,151.0,444,71,373,222.0,222.0,0.0,-2.0,22801.0,297.5,146.5,151.0,1634128805.135425,0.004714012145996,2.675918102264404
7,1,0,0,1,2,1,302,586123849,336,64,322,6,33016,443,0,0,0,0,6,3232270605,6,443,443,848,105,407,336.0,282.6666666666667,-0.5497085683252355,-1.5,16622.88888888889,371.5,220.5,151.0,746,71,373,302.0,248.66666666666663,-0.5497085683252348,-1.4999999999999998,16622.888888888887,337.5,186.5,151.0,1634128805.136286,0.0008609294891357,2.6767790317535396
8,1,0,0,1,1,2,32,3232270605,66,38,52,6,443,33016,0,0,0,0,6,3232270605,6,443,443,914,66,407,220.5,228.5,0.0608529595376623,-1.8512608406187925,21269.25,353.75,95.25,258.5,778,32,373,186.5,194.5,0.0608529595376623,-1.8512608406187925,21269.25,319.75,61.25,258.5,1634128805.164214,0.0279278755187988,2.7047069072723384
9,1,0,0,1,1,2,32,3232270605,66,38,52,6,443,33016,0,0,0,0,6,3232270605,6,443,443,980,66,407,105.0,196.0,0.451632827069855,-1.66738610035741,21240.4,336.0,66.0,270.0,810,32,373,71.0,162.0,0.451632827069855,-1.66738610035741,21240.4,302.0,32.0,270.0,1634128805.165085,0.0008711814880371,2.7055780887603755
