Unnamed: 0,L4_tcp,L4_udp,L7_http,L7_https,port_class_src,port_class_dst,pck_size,ip_dst_new,ethernet_frame_size ,ttl,total_length,protocol ,source_port,dest_port,DNS_count,NTP_count,ARP_count,cnt,L3_ip_dst_count,most_freq_d_ip,most_freq_prot,most_freq_sport,most_freq_dport,sum_et,min_et,max_et,med_et,average_et,skew_et,kurt_et,var,q3,q1,iqr,sum_e,min_e,max_e,med,average,skew_e,kurt_e,var_e,q3_e,q1_e,iqr_e,epoch_timestamp,inter_arrival_time,time_since_previously_displayed_frame
0,1,0,1,0,3,1,40,1441754123,74,64,60,6,57784,80,0,0,0,2,8,3232270605,6,443,443,3459,66,1514,66.0,345.9,1.5065571842520005,0.2808093804522422,311697.68999999994,72.0,66.0,6.0,3119,32,1480,32.0,311.9,1.5065571842520005,0.2808093804522422,311697.68999999994,38.0,32.0,6.0,1634127836.012969,0.0,0.0
1,1,0,1,0,1,3,40,3232270605,74,50,60,6,80,57784,0,0,0,2,8,3232270605,6,443,443,3533,66,1514,66.0,321.1818181818182,1.656519568702604,0.7558310713402858,289471.42148760334,74.0,66.0,8.0,3159,32,1480,32.0,287.1818181818182,1.656519568702604,0.7558310713402858,289471.42148760334,40.0,32.0,8.0,1634127836.120174,0.1072049140930175,0.1072049140930175
2,1,0,1,0,3,1,32,1441754123,66,64,52,6,57784,80,0,0,0,2,8,3232270605,6,443,443,3599,66,1514,66.0,299.9166666666667,1.7955595687739585,1.2364198789786354,270323.0763888889,74.0,66.0,8.0,3191,32,1480,32.0,265.9166666666667,1.7955595687739585,1.2364198789786354,270323.0763888889,40.0,32.0,8.0,1634127836.122582,0.0024080276489257,0.10961294174194319
3,1,0,1,0,3,1,549,1441754123,583,64,569,6,57784,80,0,0,0,3,8,3232270605,6,443,443,4182,66,1514,66.0,321.6923076923077,1.6908700215455907,1.0919931481696672,255219.1360946746,74.0,66.0,8.0,3740,32,1480,32.0,287.6923076923077,1.6908700215455907,1.0919931481696672,255219.1360946746,40.0,32.0,8.0,1634127836.123111,0.0005290508270263,0.11014199256896949
4,1,0,1,0,1,3,32,3232270605,66,51,52,6,80,57784,0,0,0,3,8,3232270605,6,443,443,4248,66,1514,66.0,303.42857142857144,1.8091308642949449,1.5158041113996523,241325.53061224488,74.0,66.0,8.0,3772,32,1480,32.0,269.42857142857144,1.8091308642949449,1.5158041113996523,241325.53061224488,40.0,32.0,8.0,1634127836.229507,0.1063959598541259,0.21653795242309537
5,1,0,1,0,1,3,652,3232270605,686,51,672,6,80,57784,0,0,0,3,8,3232270605,6,443,443,4934,66,1514,66.0,328.93333333333334,1.6392382127661425,1.133502232696066,234344.06222222224,328.5,66.0,262.5,4424,32,1480,32.0,294.93333333333334,1.6392382127661425,1.133502232696066,234344.06222222224,294.5,32.0,262.5,1634127836.380133,0.1506259441375732,0.36716389656066856
6,1,0,1,0,3,1,32,1441754123,66,64,52,6,57784,80,0,0,0,3,8,3232270605,6,443,443,5000,66,1514,66.0,312.5,1.740762117843297,1.4914964143403957,223748.375,201.25,66.0,135.25,4456,32,1480,32.0,278.5,1.740762117843297,1.4914964143403957,223748.375,167.25,32.0,135.25,1634127836.381822,0.0016891956329345,0.36885309219360307
7,1,0,1,0,1,3,1480,3232270605,1514,51,1500,6,80,57784,0,0,0,3,8,3232270605,6,443,443,6514,66,1514,66.0,383.1764705882353,1.3633782360605098,0.1415833562301598,290509.3217993079,583.0,66.0,517.0,5936,32,1480,32.0,349.1764705882353,1.3633782360605098,0.1415833562301598,290509.3217993079,549.0,32.0,517.0,1634127836.775116,0.3932938575744629,0.762146949768066
8,1,0,1,0,1,3,1480,3232270605,1514,51,1500,6,80,57784,0,0,0,3,8,3232270605,6,443,443,8028,66,1514,66.0,446.0,1.0892892060935002,-0.6111947077874884,341465.44444444444,660.25,66.0,594.25,7416,32,1480,32.0,412.0,1.0892892060935002,-0.6111947077874884,341465.44444444444,626.25,32.0,594.25,1634127836.77518,6.413459777832031e-05,0.7622110843658443
9,1,0,1,0,1,3,1480,3232270605,1514,51,1500,6,80,57784,0,0,0,3,8,3232270605,6,443,443,9542,66,1514,66.0,502.2105263157895,0.8768939279300662,-1.0724615349061872,380366.7977839335,1047.5,66.0,981.5,8896,32,1480,32.0,468.2105263157895,0.8768939279300662,-1.0724615349061872,380366.7977839335,1013.5,32.0,981.5,1634127836.775219,3.886222839355469e-05,0.7622499465942378
10,1,0,1,0,1,3,1480,3232270605,1514,51,1500,6,80,57784,0,0,0,3,8,3232270605,6,443,443,11056,66,1514,70.0,552.8,0.7042217030789438,-1.3720790393865092,409975.06000000006,1435.25,66.0,1369.25,10376,32,1480,36.0,518.8,0.7042217030789438,-1.3720790393865092,409975.06000000006,1401.25,32.0,1369.25,1634127836.775436,0.0002169609069824,0.7624669075012203
11,1,0,1,0,1,3,1480,3232270605,1514,51,1500,6,80,57784,0,0,0,3,8,3232270605,6,443,443,1514,1514,1514,1514.0,1514.0,0.0,-3.0,0.0,1514.0,1514.0,0.0,1480,1480,1480,1480.0,1480.0,0.0,-3.0,0.0,1480.0,1480.0,0.0,1634127836.775498,6.198883056640625e-05,0.7625288963317867
12,1,0,1,0,1,3,1480,3232270605,1514,51,1500,6,80,57784,0,0,0,3,8,3232270605,6,443,443,3028,1514,1514,1514.0,1514.0,0.0,-3.0,0.0,1514.0,1514.0,0.0,2960,1480,1480,1480.0,1480.0,0.0,-3.0,0.0,1480.0,1480.0,0.0,1634127836.775537,3.910064697265625e-05,0.7625679969787593
13,1,0,1,0,1,3,1480,3232270605,1514,51,1500,6,80,57784,0,0,0,3,8,3232270605,6,443,443,4542,1514,1514,1514.0,1514.0,0.0,-3.0,0.0,1514.0,1514.0,0.0,4440,1480,1480,1480.0,1480.0,0.0,-3.0,0.0,1480.0,1480.0,0.0,1634127836.775765,0.000227928161621,0.7627959251403803
