Unnamed: 0,L4_tcp,L4_udp,L7_http,L7_https,port_class_src,port_class_dst,pck_size,ip_dst_new,ethernet_frame_size ,ttl,total_length,protocol ,source_port,dest_port,DNS_count,NTP_count,ARP_count,cnt,L3_ip_dst_count,most_freq_d_ip,most_freq_prot,most_freq_sport,most_freq_dport,sum_et,min_et,max_et,med_et,average_et,skew_et,kurt_et,var,q3,q1,iqr,sum_e,min_e,max_e,med,average,skew_e,kurt_e,var_e,q3_e,q1_e,iqr_e,epoch_timestamp,inter_arrival_time,time_since_previously_displayed_frame
0,1,0,1,0,1,3,1480,3232270605,1514,51,1500,6,80,57742,0,0,0,3,8,3232270605,6,443,443,1514,1514,1514,1514.0,1514.0,0.0,-3.0,0.0,1514.0,1514.0,0.0,1480,1480,1480,1480.0,1480.0,0.0,-3.0,0.0,1480.0,1480.0,0.0,1634127675.736369,0.0,0.0
1,1,0,1,0,1,3,1480,3232270605,1514,51,1500,6,80,57742,0,0,0,3,8,3232270605,6,443,443,3028,1514,1514,1514.0,1514.0,0.0,-3.0,0.0,1514.0,1514.0,0.0,2960,1480,1480,1480.0,1480.0,0.0,-3.0,0.0,1480.0,1480.0,0.0,1634127675.736463,9.41753387451172e-05,9.41753387451172e-05
2,1,0,1,0,1,3,1480,3232270605,1514,51,1500,6,80,57742,0,0,0,3,8,3232270605,6,443,443,4542,1514,1514,1514.0,1514.0,0.0,-3.0,0.0,1514.0,1514.0,0.0,4440,1480,1480,1480.0,1480.0,0.0,-3.0,0.0,1480.0,1480.0,0.0,1634127675.7366,0.0001368522644042,0.0002310276031493172
3,1,0,1,0,1,3,1480,3232270605,1514,51,1500,6,80,57742,0,0,0,3,8,3232270605,6,443,443,6056,1514,1514,1514.0,1514.0,0.0,-3.0,0.0,1514.0,1514.0,0.0,5920,1480,1480,1480.0,1480.0,0.0,-3.0,0.0,1480.0,1480.0,0.0,1634127675.736644,4.410743713378906e-05,0.00027513504028310625
4,1,0,1,0,3,1,32,1441754123,66,64,52,6,57742,80,0,0,0,3,8,3232270605,6,443,443,6122,66,1514,1514.0,1224.4,-1.5000000000000004,0.2500000000000009,335472.64,1514.0,1514.0,0.0,5952,32,1480,1480.0,1190.4,-1.5000000000000004,0.2500000000000009,335472.64,1480.0,1480.0,0.0,1634127675.740385,0.0037410259246826,0.004016160964965706
5,1,0,1,0,3,1,32,1441754123,66,64,52,6,57742,80,0,0,0,3,8,3232270605,6,443,443,6188,66,1514,1514.0,1031.3333333333333,-0.7071067811865472,-1.5,465934.2222222222,1514.0,428.0,1086.0,5984,32,1480,1480.0,997.3333333333334,-0.7071067811865477,-1.4999999999999998,465934.2222222222,1480.0,394.0,1086.0,1634127675.764991,0.0246059894561767,0.028622150421142405
6,1,0,1,0,1,3,1480,3232270605,1514,50,1500,6,80,57742,0,0,0,3,8,3232270605,6,443,443,7702,66,1514,1514.0,1100.2857142857142,-0.9486832980505135,-1.1,427898.7755102041,1514.0,790.0,724.0,7464,32,1480,1480.0,1066.2857142857142,-0.9486832980505135,-1.1,427898.7755102041,1480.0,756.0,724.0,1634127675.847228,0.0822370052337646,0.110859155654907
7,1,0,1,0,1,3,1480,3232270605,1514,50,1500,6,80,57742,0,0,0,3,8,3232270605,6,443,443,9216,66,1514,1514.0,1152.0,-1.1547005383792517,-0.6666666666666665,393132.0,1514.0,1152.0,362.0,8944,32,1480,1480.0,1118.0,-1.1547005383792517,-0.6666666666666665,393132.0,1480.0,1118.0,362.0,1634127675.847544,0.0003159046173095,0.1111750602722165
8,1,0,1,0,3,1,20,1441754123,54,64,40,6,57742,80,0,0,0,3,8,3232270605,6,443,443,9270,54,1514,1514.0,1030.0,-0.7071793561352753,-1.4997943511406284,468522.6666666667,1514.0,66.0,1448.0,8964,20,1480,1480.0,996.0,-0.7071793561352753,-1.4997943511406284,468522.6666666667,1480.0,32.0,1448.0,1634127675.849053,0.0015089511871337,0.11268401145935021
9,1,0,1,0,3,1,20,1441754123,54,64,40,6,57742,80,0,0,0,3,8,3232270605,6,443,443,9324,54,1514,1514.0,932.4,-0.4083351843001125,-1.8331441386218008,507402.23999999993,1514.0,66.0,1448.0,8984,20,1480,1480.0,898.4,-0.4083351843001125,-1.8331441386218008,507402.23999999993,1480.0,32.0,1448.0,1634127675.849053,0.0,0.11268401145935021
