Unnamed: 0,L4_tcp,L4_udp,L7_http,L7_https,port_class_src,port_class_dst,pck_size,ip_dst_new,ethernet_frame_size ,ttl,total_length,protocol ,source_port,dest_port,DNS_count,NTP_count,ARP_count,cnt,L3_ip_dst_count,most_freq_d_ip,most_freq_prot,most_freq_sport,most_freq_dport,sum_et,min_et,max_et,med_et,average_et,skew_et,kurt_et,var,q3,q1,iqr,sum_e,min_e,max_e,med,average,skew_e,kurt_e,var_e,q3_e,q1_e,iqr_e,epoch_timestamp,inter_arrival_time,time_since_previously_displayed_frame
0,1,0,0,0,2,3,313,3232270639,347,219,333,6,8886,49217,0,0,0,0,3,4294967295,6,49153,6667,1455,54,347,214.0,181.875,0.0566203598395189,-0.8355514006541127,8669.359375,219.25,105.75,113.5,1183,20,313,180.0,147.875,0.0566203598395189,-0.8355514006541127,8669.359375,185.25,71.75,113.5,1633529870.082839,0.0,0.0
1,1,0,0,0,3,2,201,597794358,235,255,221,6,49217,8886,0,0,0,0,3,4294967295,6,49153,6667,1690,54,347,214.0,187.77777777777777,-0.1181751283290629,-0.7131290520346663,7984.839506172841,235.0,123.0,112.0,1384,20,313,180.0,153.77777777777777,-0.1181751283290629,-0.7131290520346663,7984.839506172841,201.0,89.0,112.0,1633529870.277663,0.1948239803314209,0.1948239803314209
2,1,0,0,0,2,3,89,3232270639,123,219,109,6,8886,49217,0,0,0,0,3,4294967295,6,49153,6667,1813,54,347,214.0,181.3,0.0671836064788542,-0.6889531196246321,7564.01,229.75,123.0,106.75,1473,20,313,180.0,147.3,0.0671836064788542,-0.6889531196246321,7564.01,195.75,89.0,106.75,1633529870.365877,0.0882139205932617,0.2830379009246826
3,1,0,0,0,3,2,20,597794358,54,255,40,6,49217,8886,0,0,0,0,3,4294967295,6,49153,6667,1867,54,347,214.0,169.72727272727272,0.1872268855769942,-0.8678691485998189,8215.652892561982,224.5,88.5,136.0,1493,20,313,180.0,135.72727272727272,0.1872268855769942,-0.8678691485998189,8215.652892561982,190.5,54.5,136.0,1633529870.784172,0.41829514503479,0.7013330459594727
4,0,1,0,0,3,2,180,4294967295,214,255,200,17,49153,6667,0,0,0,0,3,4294967295,6,49153,6667,2081,54,347,214.0,173.41666666666666,0.0742386100993198,-0.7815496185060256,7680.743055555557,219.25,105.75,113.5,1673,20,313,180.0,139.41666666666666,0.0742386100993198,-0.7815496185060256,7680.743055555557,185.25,71.75,113.5,1633529871.417317,0.6331448554992676,1.3344779014587402
5,0,1,0,0,3,2,180,4294967295,214,255,200,17,49153,6667,0,0,0,0,3,4294967295,6,49153,6667,2295,54,347,214.0,176.53846153846155,-0.0265685495140523,-0.6742341648576282,7206.863905325443,214.0,123.0,91.0,1853,20,313,180.0,142.53846153846155,-0.0265685495140523,-0.6742341648576282,7206.863905325443,180.0,89.0,91.0,1633529876.769907,5.352590084075928,6.687067985534668
6,1,0,0,0,3,2,89,597794358,123,255,109,6,49217,8886,0,0,0,0,3,4294967295,6,49153,6667,2418,54,347,214.0,172.71428571428572,0.0927534698679821,-0.6150586687480399,6882.204081632651,214.0,123.0,91.0,1942,20,313,180.0,138.71428571428572,0.0927534698679821,-0.6150586687480399,6882.204081632651,180.0,89.0,91.0,1633529880.835293,4.065386056900024,10.752454042434692
7,1,0,0,0,2,3,89,3232270639,123,219,109,6,8886,49217,0,0,0,0,3,4294967295,6,49153,6667,2541,54,347,214.0,169.4,0.1999735172315329,-0.530721651510139,6577.173333333336,214.0,123.0,91.0,2031,20,313,180.0,135.4,0.1999735172315329,-0.530721651510139,6577.173333333336,180.0,89.0,91.0,1633529880.921936,0.0866429805755615,10.839097023010254
8,1,0,0,0,3,2,20,597794358,54,255,40,6,49217,8886,0,0,0,0,3,4294967295,6,49153,6667,2595,54,347,168.5,162.1875,0.2670852255591005,-0.6474336302635662,6946.40234375,214.0,105.75,108.25,2051,20,313,134.5,128.1875,0.2670852255591005,-0.6474336302635662,6946.40234375,180.0,71.75,108.25,1633529881.346575,0.4246389865875244,11.263736009597778
9,0,1,0,0,3,2,180,4294967295,214,255,200,17,49153,6667,0,0,0,0,3,4294967295,6,49153,6667,2809,54,347,214.0,165.23529411764707,0.1692723707118988,-0.6343770583566068,6686.415224913495,214.0,123.0,91.0,2231,20,313,180.0,131.23529411764707,0.1692723707118988,-0.6343770583566068,6686.415224913495,180.0,89.0,91.0,1633529881.963549,0.616973876953125,11.880709886550903
