Unnamed: 0,L4_tcp,L4_udp,L7_http,L7_https,port_class_src,port_class_dst,pck_size,ip_dst_new,ethernet_frame_size ,ttl,total_length,protocol ,source_port,dest_port,DNS_count,NTP_count,ARP_count,cnt,L3_ip_dst_count,most_freq_d_ip,most_freq_prot,most_freq_sport,most_freq_dport,sum_et,min_et,max_et,med_et,average_et,skew_et,kurt_et,var,q3,q1,iqr,sum_e,min_e,max_e,med,average,skew_e,kurt_e,var_e,q3_e,q1_e,iqr_e,epoch_timestamp,inter_arrival_time,time_since_previously_displayed_frame
0,1,0,0,0,2,3,313,3232270746,347,224,333,6,8886,49204,0,0,0,0,6,4294967295,6,49153,6667,2989,54,347,214.0,199.26666666666668,-0.0214992791859301,-0.949982708374742,9603.662222222223,235.0,123.0,112.0,2479,20,313,180.0,165.26666666666668,-0.0214992791859301,-0.949982708374742,9603.662222222223,201.0,89.0,112.0,1633530403.77264,0.0,0.0
1,1,0,0,0,3,2,201,918315780,235,255,221,6,49204,8886,0,0,0,0,6,4294967295,6,49153,6667,3224,54,347,214.0,201.5,-0.088965648314433,-0.8429277419896346,9078.25,235.0,123.0,112.0,2680,20,313,180.0,167.5,-0.088965648314433,-0.8429277419896346,9078.25,201.0,89.0,112.0,1633530403.952805,0.1801650524139404,0.1801650524139404
2,1,0,0,0,2,3,89,3232270746,123,224,109,6,8886,49204,0,0,0,0,6,3232270746,6,49153,6667,3347,54,347,214.0,196.8823529411765,0.0266320476871521,-0.8616230099532776,8885.397923875433,235.0,123.0,112.0,2769,20,313,180.0,162.88235294117646,0.0266320476871521,-0.8616230099532776,8885.397923875433,201.0,89.0,112.0,1633530404.039564,0.0867588520050048,0.2669239044189452
3,0,1,0,0,3,2,180,4294967295,214,255,200,17,49153,6667,0,0,0,0,6,4294967295,6,49153,6667,3561,54,347,214.0,197.83333333333331,-0.0034255401913847,-0.7445453735389176,8407.13888888889,235.0,123.0,112.0,2949,20,313,180.0,163.83333333333334,-0.0034255401913847,-0.7445453735389176,8407.13888888889,201.0,89.0,112.0,1633530404.441949,0.4023849964141845,0.6693089008331297
4,1,0,0,0,3,2,20,918315780,54,255,40,6,49204,8886,0,0,0,0,6,4294967295,6,49153,6667,3615,54,347,214.0,190.26315789473685,0.0534746687654874,-0.8767685766818265,8996.193905817174,235.0,123.0,112.0,2969,20,313,180.0,156.26315789473685,0.0534746687654874,-0.8767685766818265,8996.193905817174,201.0,89.0,112.0,1633530404.493633,0.0516841411590576,0.7209930419921873
5,1,0,0,0,3,2,89,918315780,123,255,109,6,49204,8886,0,0,0,0,6,4294967295,6,49153,6667,3738,54,347,214.0,186.9,0.1421410086132374,-0.8473039742830042,8761.289999999999,235.0,123.0,112.0,3058,20,313,180.0,152.9,0.1421410086132374,-0.8473039742830042,8761.289999999999,201.0,89.0,112.0,1633530405.475538,0.9819049835205078,1.702898025512695
6,1,0,0,0,2,3,89,3232270746,123,224,109,6,8886,49204,0,0,0,0,6,3232270746,6,49153,6667,123,123,123,123.0,123.0,0.0,-3.0,0.0,123.0,123.0,0.0,89,89,89,89.0,89.0,0.0,-3.0,0.0,89.0,89.0,0.0,1633530405.560713,0.0851750373840332,1.7880730628967283
7,1,0,0,0,3,2,20,918315780,54,255,40,6,49204,8886,0,0,0,0,6,3232270746,6,49153,8886,177,54,123,88.5,88.5,0.0,-2.0,1190.25,105.75,71.25,34.5,109,20,89,54.5,54.5,0.0,-2.0,1190.25,71.75,37.25,34.5,1633530405.785856,0.2251429557800293,2.013216018676758
8,0,1,0,0,3,2,180,4294967295,214,255,200,17,49153,6667,0,0,0,0,6,4294967295,6,49153,6667,391,54,214,123.0,130.33333333333334,0.1664724957017492,-1.5000000000000004,4293.555555555556,168.5,88.5,80.0,289,20,180,89.0,96.33333333333331,0.1664724957017497,-1.5,4293.555555555556,134.5,54.5,80.0,1633530409.923408,4.13755202293396,6.150768041610718
9,0,1,0,0,3,2,180,4294967295,214,255,200,17,49153,6667,0,0,0,0,6,4294967295,6,49153,6667,605,54,214,168.5,151.25,-0.3671212403472702,-1.5265310244943446,4532.6875,214.0,105.75,108.25,469,20,180,134.5,117.25,-0.3671212403472702,-1.5265310244943446,4532.6875,180.0,71.75,108.25,1633530415.347497,5.424088954925537,11.574856996536255
