Unnamed: 0,L4_tcp,L4_udp,L7_http,L7_https,port_class_src,port_class_dst,pck_size,ip_dst_new,ethernet_frame_size ,ttl,total_length,protocol ,source_port,dest_port,DNS_count,NTP_count,ARP_count,cnt,L3_ip_dst_count,most_freq_d_ip,most_freq_prot,most_freq_sport,most_freq_dport,sum_et,min_et,max_et,med_et,average_et,skew_et,kurt_et,var,q3,q1,iqr,sum_e,min_e,max_e,med,average,skew_e,kurt_e,var_e,q3_e,q1_e,iqr_e,epoch_timestamp,inter_arrival_time,time_since_previously_displayed_frame
0,1,0,0,0,2,3,201,3232270746,235,223,221,6,8886,49153,0,0,0,0,7,4294967295,6,49153,6667,1289,54,235,214.0,184.14285714285717,-1.147851300103712,-0.2758408718842871,4074.6938775510207,224.5,168.5,56.0,1051,20,201,180.0,150.14285714285714,-1.147851300103712,-0.2758408718842871,4074.6938775510207,190.5,134.5,56.0,1633351083.350163,0.0,0.0
1,1,0,0,0,3,2,201,915708401,235,255,221,6,49153,8886,0,0,0,0,7,4294967295,6,49153,6667,1524,54,235,214.0,190.5,-1.333945706145586,0.2125611391723296,3848.25,235.0,191.25,43.75,1252,20,201,180.0,156.5,-1.333945706145586,0.2125611391723296,3848.25,201.0,157.25,43.75,1633351083.542375,0.1922121047973632,0.1922121047973632
2,1,0,0,0,2,3,89,3232270746,123,223,109,6,8886,49153,0,0,0,0,7,4294967295,6,49153,6667,1647,54,235,214.0,183.0,-0.9539435362694122,-0.5708111176282058,3870.6666666666665,235.0,123.0,112.0,1341,20,201,180.0,149.0,-0.9539435362694122,-0.5708111176282058,3870.6666666666665,201.0,89.0,112.0,1633351083.628867,0.0864918231964111,0.2787039279937743
3,1,0,0,0,3,2,20,915708401,54,255,40,6,49153,8886,0,0,0,0,7,4294967295,6,49153,6667,1701,54,235,214.0,170.1,-0.6442387087787929,-1.2364809565591592,4981.289999999999,229.75,123.0,106.75,1361,20,201,180.0,136.1,-0.6442387087787929,-1.2364809565591592,4981.289999999999,195.75,89.0,106.75,1633351083.639557,0.0106899738311767,0.289393901824951
4,0,1,0,0,3,2,180,4294967295,214,255,200,17,49153,6667,0,0,0,0,7,4294967295,6,49153,6667,1915,54,235,214.0,174.0909090909091,-0.7926440245393427,-1.0099313874185707,4687.719008264463,224.5,123.0,101.5,1541,20,201,180.0,140.0909090909091,-0.7926440245393427,-1.0099313874185707,4687.719008264463,190.5,89.0,101.5,1633351085.94365,2.3040931224823,2.593487024307251
5,1,0,0,0,3,2,89,915708401,123,255,109,6,49153,8886,0,0,0,0,7,4294967295,6,49153,6667,2038,54,235,214.0,169.83333333333334,-0.6195591520780481,-1.170763788260562,4496.472222222222,219.25,123.0,96.25,1630,20,201,180.0,135.83333333333334,-0.6195591520780481,-1.170763788260562,4496.472222222222,185.25,89.0,96.25,1633351090.384836,4.44118595123291,7.034672975540161
6,1,0,0,0,2,3,89,3232270746,123,223,109,6,8886,49153,0,0,0,0,7,4294967295,6,49153,6667,2161,54,235,214.0,166.23076923076923,-0.4732947206466991,-1.2611413197092145,4306.331360946745,214.0,123.0,91.0,1719,20,201,180.0,132.23076923076923,-0.4732947206466991,-1.2611413197092145,4306.331360946745,180.0,89.0,91.0,1633351090.470205,0.0853691101074218,7.120042085647583
7,1,0,0,0,3,2,20,915708401,54,255,40,6,49153,8886,0,0,0,0,7,4294967295,6,49153,6667,2215,54,235,168.5,158.21428571428572,-0.322499091397227,-1.462446225834274,4834.168367346938,214.0,123.0,91.0,1739,20,201,134.5,124.21428571428572,-0.3224990913972264,-1.4624462258342743,4834.168367346938,180.0,89.0,91.0,1633351090.707876,0.2376708984375,7.357712984085083
8,0,1,0,0,3,2,180,4294967295,214,255,200,17,49153,6667,0,0,0,0,7,4294967295,6,49153,6667,2429,54,235,214.0,161.93333333333334,-0.440377287304222,-1.3783978162844426,4705.52888888889,214.0,123.0,91.0,1919,20,201,180.0,127.93333333333334,-0.440377287304222,-1.3783978162844426,4705.52888888889,180.0,89.0,91.0,1633351091.598453,0.8905770778656006,8.248290061950684
9,0,1,0,0,3,2,180,4294967295,214,255,200,17,49153,6667,0,0,0,0,7,4294967295,6,49153,6667,2643,54,235,214.0,165.1875,-0.5472819057701588,-1.2749784708227936,4570.27734375,214.0,123.0,91.0,2099,20,201,180.0,131.1875,-0.5472819057701588,-1.2749784708227936,4570.27734375,180.0,89.0,91.0,1633351097.179797,5.58134388923645,13.829633951187134
