Unnamed: 0,L4_tcp,L4_udp,L7_http,L7_https,port_class_src,port_class_dst,pck_size,ip_dst_new,ethernet_frame_size ,ttl,total_length,protocol ,source_port,dest_port,DNS_count,NTP_count,ARP_count,cnt,L3_ip_dst_count,most_freq_d_ip,most_freq_prot,most_freq_sport,most_freq_dport,sum_et,min_et,max_et,med_et,average_et,skew_et,kurt_et,var,q3,q1,iqr,sum_e,min_e,max_e,med,average,skew_e,kurt_e,var_e,q3_e,q1_e,iqr_e,epoch_timestamp,inter_arrival_time,time_since_previously_displayed_frame
0,1,0,0,0,2,3,313,3232270704,347,223,333,6,8886,49158,0,0,0,0,3,4294967295,6,49153,6667,2856,54,347,214.0,190.4,-0.0264531893338817,-0.6618542929312303,8084.506666666668,224.5,123.0,101.5,2346,20,313,180.0,156.4,-0.0264531893338817,-0.6618542929312303,8084.506666666668,190.5,89.0,101.5,1633443234.349034,0.0,0.0
1,1,0,0,0,3,2,20,1679138039,54,255,40,6,49158,8886,0,0,0,0,3,4294967295,6,49153,6667,2910,54,347,214.0,181.875,0.0566203598395189,-0.8355514006541127,8669.359375,219.25,105.75,113.5,2366,20,313,180.0,147.875,0.0566203598395189,-0.8355514006541127,8669.359375,185.25,71.75,113.5,1633443234.410743,0.061708927154541,0.061708927154541
2,1,0,0,0,3,2,201,1679138039,235,255,221,6,49158,8886,0,0,0,0,3,1679138039,6,49158,8886,3145,54,347,214.0,185.0,-0.0344909985795838,-0.7814285723627319,8315.64705882353,235.0,123.0,112.0,2567,20,313,180.0,151.0,-0.0344909985795838,-0.7814285723627319,8315.64705882353,201.0,89.0,112.0,1633443234.49689,0.0861470699310302,0.1478559970855712
3,1,0,0,0,2,3,89,3232270704,123,223,109,6,8886,49158,0,0,0,0,3,1679138039,6,49158,8886,3268,54,347,214.0,181.55555555555557,0.0627089973525177,-0.7536465006867208,8055.358024691358,229.75,123.0,106.75,2656,20,313,180.0,147.55555555555554,0.0627089973525177,-0.7536465006867208,8055.358024691358,195.75,89.0,106.75,1633443234.584235,0.0873448848724365,0.2352008819580077
4,1,0,0,0,2,3,89,3232270704,123,223,109,6,8886,49158,0,0,0,0,3,1679138039,6,49158,8886,3391,54,347,214.0,178.47368421052633,0.1517016112607338,-0.707592281125093,7802.354570637117,224.5,123.0,101.5,2745,20,313,180.0,144.47368421052633,0.1517016112607338,-0.707592281125093,7802.354570637117,190.5,89.0,101.5,1633443235.222778,0.6385431289672852,0.8737440109252929
5,1,0,0,0,3,2,20,1679138039,54,255,40,6,49158,8886,0,0,0,0,3,1679138039,6,49158,8886,3445,54,347,214.0,172.25,0.2111065014018114,-0.7926937869906125,8148.1875,219.25,105.75,113.5,2765,20,313,180.0,138.25,0.2111065014018114,-0.7926937869906125,8148.1875,185.25,71.75,113.5,1633443235.369197,0.146418809890747,1.0201628208160398
6,1,0,0,0,3,2,20,1679138039,54,255,40,6,49158,8886,0,0,0,0,3,1679138039,6,49158,8886,54,54,54,54.0,54.0,0.0,-3.0,0.0,54.0,54.0,0.0,20,20,20,20.0,20.0,0.0,-3.0,0.0,20.0,20.0,0.0,1633443235.836862,0.4676651954650879,1.4878280162811277
7,0,1,0,0,3,2,180,4294967295,214,255,200,17,49153,6667,0,0,0,0,3,1679138039,6,49158,8886,268,54,214,134.0,134.0,0.0,-2.0,6400.0,174.0,94.0,80.0,200,20,180,100.0,100.0,0.0,-2.0,6400.0,140.0,60.0,80.0,1633443237.304644,1.4677820205688477,2.9556100368499756
8,0,1,0,0,3,2,180,4294967295,214,255,200,17,49153,6667,0,0,0,0,3,1679138039,6,49158,8886,482,54,214,214.0,160.66666666666666,-0.7071067811865472,-1.4999999999999998,5688.888888888888,214.0,134.0,80.0,380,20,180,180.0,126.66666666666669,-0.7071067811865478,-1.5000000000000002,5688.88888888889,180.0,100.0,80.0,1633443242.825138,5.520493984222412,8.476104021072388
9,1,0,0,0,3,2,89,1679138039,123,255,109,6,49158,8886,0,0,0,0,3,1679138039,6,49158,8886,605,54,214,168.5,151.25,-0.3671212403472702,-1.5265310244943446,4532.6875,214.0,105.75,108.25,469,20,180,134.5,117.25,-0.3671212403472702,-1.5265310244943446,4532.6875,180.0,71.75,108.25,1633443245.828657,3.00351881980896,11.479622840881348
10,1,0,0,0,2,3,89,3232270704,123,223,109,6,8886,49158,0,0,0,0,3,1679138039,6,49158,8886,728,54,214,123.0,145.6,-0.1318605198515742,-1.372031310253497,3753.8399999999992,214.0,123.0,91.0,558,20,180,89.0,111.6,-0.1318605198515742,-1.372031310253497,3753.8399999999992,180.0,89.0,91.0,1633443245.91471,0.0860531330108642,11.565675973892212
11,1,0,0,0,3,2,20,1679138039,54,255,40,6,49158,8886,0,0,0,0,3,1679138039,6,49158,8886,782,54,214,123.0,130.33333333333334,0.1664724957017493,-1.5000000000000004,4293.555555555556,191.25,71.25,120.0,578,20,180,89.0,96.33333333333331,0.1664724957017498,-1.5,4293.555555555556,157.25,37.25,120.0,1633443246.131797,0.2170870304107666,11.782763004302979
12,0,1,0,0,3,2,180,4294967295,214,255,200,17,49153,6667,0,0,0,0,3,1679138039,6,49158,8886,996,54,214,123.0,142.28571428571428,-0.1328112258858869,-1.6043522187515604,4537.34693877551,214.0,88.5,125.5,758,20,180,89.0,108.28571428571428,-0.1328112258858876,-1.6043522187515598,4537.346938775509,180.0,54.5,125.5,1633443247.93941,1.807612895965576,13.590375900268555
