Unnamed: 0,L4_tcp,L4_udp,L7_http,L7_https,port_class_src,port_class_dst,pck_size,ip_dst_new,ethernet_frame_size ,ttl,total_length,protocol ,source_port,dest_port,DNS_count,NTP_count,ARP_count,cnt,L3_ip_dst_count,most_freq_d_ip,most_freq_prot,most_freq_sport,most_freq_dport,sum_et,min_et,max_et,med_et,average_et,skew_et,kurt_et,var,q3,q1,iqr,sum_e,min_e,max_e,med,average,skew_e,kurt_e,var_e,q3_e,q1_e,iqr_e,epoch_timestamp,inter_arrival_time,time_since_previously_displayed_frame
0,1,0,0,0,2,3,313,3232270601,347,223,333,6,8886,49153,0,0,0,0,3,919905197,6,49153,6667,3257,54,347,214.0,191.58823529411765,0.0264972001905828,-0.9636305157442192,9668.948096885812,235.0,123.0,112.0,2679,20,313,180.0,157.58823529411765,0.0264972001905828,-0.9636305157442192,9668.948096885812,201.0,89.0,112.0,1633444684.459118,0.0,0.0
1,1,0,0,0,3,2,201,919905197,235,255,221,6,49153,8886,0,0,0,0,3,919905197,6,49153,8886,3492,54,347,214.0,194.0,-0.043370036616702,-0.886902431148235,9230.666666666666,235.0,123.0,112.0,2880,20,313,180.0,160.0,-0.043370036616702,-0.886902431148235,9230.666666666666,201.0,89.0,112.0,1633444684.583434,0.1243162155151367,0.1243162155151367
2,1,0,0,0,2,3,89,3232270601,123,223,109,6,8886,49153,0,0,0,0,3,919905197,6,49153,8886,3615,54,347,214.0,190.26315789473685,0.0534746687654874,-0.8767685766818274,8996.193905817176,235.0,123.0,112.0,2969,20,313,180.0,156.26315789473685,0.0534746687654874,-0.8767685766818274,8996.193905817176,201.0,89.0,112.0,1633444684.669889,0.0864548683166503,0.210771083831787
3,1,0,0,0,3,2,20,919905197,54,255,40,6,49153,8886,0,0,0,0,3,919905197,6,49153,8886,3669,54,347,214.0,183.45,0.1200117410446513,-0.9655650921936672,9428.3475,235.0,105.75,129.25,2989,20,313,180.0,149.45,0.1200117410446513,-0.9655650921936672,9428.3475,201.0,71.75,129.25,1633444684.795088,0.1251990795135498,0.3359701633453368
4,0,1,0,0,3,2,180,4294967295,214,255,200,17,49153,6667,0,0,0,0,3,919905197,6,49153,8886,214,214,214,214.0,214.0,0.0,-3.0,0.0,214.0,214.0,0.0,180,180,180,180.0,180.0,0.0,-3.0,0.0,180.0,180.0,0.0,1633444685.697161,0.9020729064941406,1.2380430698394775
5,0,1,0,0,3,2,180,4294967295,214,255,200,17,49153,6667,0,0,0,0,3,919905197,6,49153,6667,428,214,214,214.0,214.0,0.0,-3.0,0.0,214.0,214.0,0.0,360,180,180,180.0,180.0,0.0,-3.0,0.0,180.0,180.0,0.0,1633444691.156876,5.459715127944946,6.697758197784424
6,1,0,0,0,3,2,89,919905197,123,255,109,6,49153,8886,0,0,0,0,3,919905197,6,49153,8886,551,123,214,214.0,183.66666666666663,-0.7071067811865467,-1.5000000000000009,1840.2222222222224,214.0,168.5,45.5,449,89,180,180.0,149.66666666666666,-0.7071067811865467,-1.5000000000000009,1840.2222222222224,180.0,134.5,45.5,1633444695.234701,4.077824831008911,10.775583028793335
7,1,0,0,0,2,3,89,3232270601,123,223,109,6,8886,49153,0,0,0,0,3,919905197,6,49153,8886,674,123,214,168.5,168.5,0.0,-2.0,2070.25,214.0,123.0,91.0,538,89,180,134.5,134.5,0.0,-2.0,2070.25,180.0,89.0,91.0,1633444695.320058,0.0853571891784668,10.860940217971802
8,1,0,0,0,3,2,20,919905197,54,255,40,6,49153,8886,0,0,0,0,3,919905197,6,49153,8886,728,54,214,123.0,145.6,-0.1318605198515741,-1.372031310253498,3753.84,214.0,123.0,91.0,558,20,180,89.0,111.6,-0.1318605198515741,-1.372031310253498,3753.84,180.0,89.0,91.0,1633444695.328519,0.0084609985351562,10.869401216506958
9,0,1,0,0,3,2,180,4294967295,214,255,200,17,49153,6667,0,0,0,0,3,919905197,6,49153,8886,942,54,214,168.5,157.0,-0.4419411806684274,-1.2847727264447342,3778.0,214.0,123.0,91.0,738,20,180,134.5,123.0,-0.4419411806684274,-1.2847727264447342,3778.0,180.0,89.0,91.0,1633444696.366535,1.038015842437744,11.907417058944702
