Unnamed: 0,L4_tcp,L4_udp,L7_http,L7_https,port_class_src,port_class_dst,pck_size,ip_dst_new,ethernet_frame_size ,ttl,total_length,protocol ,source_port,dest_port,DNS_count,NTP_count,ARP_count,cnt,L3_ip_dst_count,most_freq_d_ip,most_freq_prot,most_freq_sport,most_freq_dport,sum_et,min_et,max_et,med_et,average_et,skew_et,kurt_et,var,q3,q1,iqr,sum_e,min_e,max_e,med,average,skew_e,kurt_e,var_e,q3_e,q1_e,iqr_e,epoch_timestamp,inter_arrival_time,time_since_previously_displayed_frame
0,0,1,0,0,3,2,180,4294967295,214,255,200,17,49153,6667,0,0,0,0,3,4294967295,6,49153,6667,1829,54,347,214.0,203.22222222222223,-0.216027308244786,0.3459340864342373,5662.83950617284,214.0,214.0,0.0,1523,20,313,180.0,169.22222222222223,-0.216027308244786,0.3459340864342373,5662.83950617284,180.0,180.0,0.0,1633697753.405463,0.0,0.0
1,1,0,0,0,2,3,313,3232270601,347,223,333,6,8886,49342,0,0,0,0,3,4294967295,6,49153,6667,2176,54,347,214.0,217.6,-0.1528339111258946,-0.1957048297362824,6957.039999999999,229.75,214.0,15.75,1836,20,313,180.0,183.6,-0.1528339111258946,-0.1957048297362824,6957.039999999999,195.75,180.0,15.75,1633697754.07675,0.6712870597839355,0.6712870597839355
2,1,0,0,0,3,2,201,918318504,235,255,221,6,49342,8886,0,0,0,0,4,4294967295,6,49153,6667,2411,54,347,214.0,219.1818181818182,-0.2179614151478595,0.0756102137874283,6349.603305785125,235.0,214.0,21.0,2037,20,313,180.0,185.1818181818182,-0.2179614151478595,0.0756102137874283,6349.603305785125,201.0,180.0,21.0,1633697754.322134,0.2453839778900146,0.9166710376739502
3,1,0,0,0,2,3,89,3232270601,123,223,109,6,8886,49342,0,0,0,0,4,4294967295,6,49153,6667,2534,54,347,214.0,211.16666666666663,-0.0337081782962015,-0.2371049014134145,6527.13888888889,235.0,191.25,43.75,2126,20,313,180.0,177.16666666666666,-0.0337081782962015,-0.2371049014134145,6527.13888888889,201.0,157.25,43.75,1633697754.409382,0.0872480869293212,1.0039191246032715
4,1,0,0,0,3,2,20,918318504,54,255,40,6,49342,8886,0,0,0,0,4,4294967295,6,49153,6667,2588,54,347,214.0,199.07692307692307,-0.0453813743566692,-0.5667818534194771,7778.994082840237,235.0,123.0,112.0,2146,20,313,180.0,165.07692307692307,-0.0453813743566692,-0.5667818534194771,7778.994082840237,201.0,89.0,112.0,1633697754.613956,0.2045738697052002,1.2084929943084717
5,0,1,0,0,3,2,180,4294967295,214,255,200,17,49153,6667,0,0,0,0,4,4294967295,6,49153,6667,2802,54,347,214.0,200.14285714285717,-0.084153958243073,-0.3869519411559499,7238.122448979592,229.75,145.75,84.0,2326,20,313,180.0,166.14285714285714,-0.084153958243073,-0.3869519411559499,7238.122448979592,195.75,111.75,84.0,1633697758.511901,3.897944927215576,5.106437921524048
6,1,0,0,0,3,2,89,918318504,123,255,109,6,49342,8886,0,0,0,0,4,4294967295,6,49153,6667,2925,54,347,214.0,195.0,0.0517108938714708,-0.4468964556187558,7125.866666666667,224.5,123.0,101.5,2415,20,313,180.0,161.0,0.0517108938714708,-0.4468964556187558,7125.866666666667,190.5,89.0,101.5,1633697762.735731,4.223829984664917,9.330267906188965
7,1,0,0,0,2,3,89,3232270601,123,223,109,6,8886,49342,0,0,0,0,4,4294967295,6,49153,6667,3048,54,347,214.0,190.5,0.1716880488157042,-0.4544092375507849,6984.25,219.25,123.0,96.25,2504,20,313,180.0,156.5,0.1716880488157042,-0.4544092375507849,6984.25,185.25,89.0,96.25,1633697762.820867,0.0851361751556396,9.415404081344604
8,1,0,0,0,3,2,20,918318504,54,255,40,6,49342,8886,0,0,0,0,4,4294967295,6,49153,8886,3102,54,347,214.0,182.4705882352941,0.193634872948688,-0.6058112337703889,7604.955017301038,214.0,123.0,91.0,2524,20,313,180.0,148.47058823529412,0.193634872948688,-0.6058112337703889,7604.955017301038,180.0,89.0,91.0,1633697763.251985,0.4311180114746094,9.846522092819214
9,0,1,0,0,3,2,180,4294967295,214,255,200,17,49153,6667,0,0,0,0,4,4294967295,6,49153,6667,3316,54,347,214.0,184.22222222222223,0.1381374996788154,-0.5142735035748425,7234.617283950617,214.0,123.0,91.0,2704,20,313,180.0,150.22222222222223,0.1381374996788154,-0.5142735035748425,7234.617283950617,180.0,89.0,91.0,1633697763.864729,0.6127438545227051,10.459265947341919
10,0,1,0,0,3,2,180,4294967295,214,255,200,17,49153,6667,0,0,0,0,4,4294967295,6,49153,6667,3530,54,347,214.0,185.7894736842105,0.0863690312118833,-0.4174905949548884,6898.060941828256,214.0,123.0,91.0,2884,20,313,180.0,151.78947368421052,0.0863690312118833,-0.4174905949548884,6898.060941828256,180.0,89.0,91.0,1633697769.0042,5.139471054077148,15.598737001419067
