Unnamed: 0,L4_tcp,L4_udp,L7_http,L7_https,port_class_src,port_class_dst,pck_size,ip_dst_new,ethernet_frame_size ,ttl,total_length,protocol ,source_port,dest_port,DNS_count,NTP_count,ARP_count,cnt,L3_ip_dst_count,most_freq_d_ip,most_freq_prot,most_freq_sport,most_freq_dport,sum_et,min_et,max_et,med_et,average_et,skew_et,kurt_et,var,q3,q1,iqr,sum_e,min_e,max_e,med,average,skew_e,kurt_e,var_e,q3_e,q1_e,iqr_e,epoch_timestamp,inter_arrival_time,time_since_previously_displayed_frame
0,0,1,0,0,3,2,180,4294967295,214,255,200,17,49153,6667,0,0,0,0,4,4294967295,6,49153,6667,1268,54,235,214.0,181.14285714285717,-1.1805147916237275,-0.207055143752048,3823.5510204081625,214.0,168.5,45.5,1030,20,201,180.0,147.14285714285714,-1.1805147916237275,-0.207055143752048,3823.5510204081625,180.0,134.5,45.5,1633697802.249067,0.0,0.0
1,1,0,0,0,2,3,313,3232270601,347,223,333,6,8886,49342,0,0,0,0,4,4294967295,6,49153,6667,1615,54,347,214.0,201.875,-0.1540605518918966,-0.0226959623914568,6354.359375,219.25,191.25,28.0,1343,20,313,180.0,167.875,-0.1540605518918966,-0.0226959623914568,6354.359375,185.25,157.25,28.0,1633697803.664226,1.415158987045288,1.415158987045288
2,1,0,0,0,3,2,20,918318504,54,255,40,6,49342,8886,0,0,0,0,4,4294967295,6,49153,6667,1669,54,347,214.0,185.44444444444449,-0.0570295525617684,-0.6267917412730237,7808.024691358024,214.0,123.0,91.0,1363,20,313,180.0,151.44444444444446,-0.0570295525617684,-0.6267917412730237,7808.024691358024,180.0,89.0,91.0,1633697803.719383,0.0551569461822509,1.470315933227539
3,1,0,0,0,3,2,20,918318504,54,255,40,6,49342,8886,0,0,0,0,4,4294967295,6,49153,6667,1723,54,347,214.0,172.3,0.098331069057004,-0.8921754629639391,8582.21,214.0,71.25,142.75,1383,20,313,180.0,138.3,0.098331069057004,-0.8921754629639391,8582.21,180.0,37.25,142.75,1633697803.720021,0.0006380081176757,1.4709539413452148
4,1,0,0,0,3,2,201,918318504,235,255,221,6,49342,8886,0,0,0,0,4,4294967295,6,49153,6667,1958,54,347,214.0,178.0,-0.0623437679411199,-0.8500376661384399,8126.909090909091,224.5,88.5,136.0,1584,20,313,180.0,144.0,-0.0623437679411199,-0.8500376661384399,8126.909090909091,190.5,54.5,136.0,1633697803.805091,0.0850698947906494,1.5560238361358643
5,1,0,0,0,2,3,89,3232270601,123,223,109,6,8886,49342,0,0,0,0,4,4294967295,6,49153,6667,2081,54,347,214.0,173.41666666666666,0.0742386100993198,-0.7815496185060256,7680.743055555557,219.25,105.75,113.5,1673,20,313,180.0,139.41666666666666,0.0742386100993198,-0.7815496185060256,7680.743055555557,185.25,71.75,113.5,1633697803.891178,0.0860869884490966,1.642110824584961
6,1,0,0,0,3,2,20,918318504,54,255,40,6,49342,8886,0,0,0,0,4,4294967295,6,49153,6667,2135,54,347,214.0,164.23076923076923,0.190852801276093,-0.906243195184834,8102.485207100593,214.0,54.0,160.0,1693,20,313,180.0,130.23076923076923,0.190852801276093,-0.906243195184834,8102.485207100593,180.0,20.0,160.0,1633697804.050544,0.1593661308288574,1.8014769554138184
7,0,1,0,0,3,2,180,4294967295,214,255,200,17,49153,6667,0,0,0,0,4,4294967295,6,49153,6667,2349,54,347,214.0,167.78571428571428,0.0831071233861805,-0.8564527589344753,7688.025510204082,214.0,71.25,142.75,1873,20,313,180.0,133.78571428571428,0.0831071233861805,-0.8564527589344753,7688.025510204082,180.0,37.25,142.75,1633697807.803371,3.7528269290924072,5.554303884506226
8,0,1,0,0,3,2,180,4294967295,214,255,200,17,49153,6667,0,0,0,0,4,4294967295,6,49153,6667,2563,54,347,214.0,170.86666666666667,-0.0139439204021817,-0.7861963926490096,7308.382222222222,214.0,88.5,125.5,2053,20,313,180.0,136.86666666666667,-0.0139439204021817,-0.7861963926490096,7308.382222222222,180.0,54.5,125.5,1633697813.06287,5.2594990730285645,10.81380295753479
9,0,1,0,0,3,2,180,4294967295,214,255,200,17,49153,6667,0,0,0,0,4,4294967295,6,49153,6667,2777,54,347,214.0,173.5625,-0.1023984462003397,-0.7005609688682424,6960.62109375,214.0,105.75,108.25,2233,20,313,180.0,139.5625,-0.1023984462003397,-0.7005609688682424,6960.62109375,180.0,71.75,108.25,1633697818.136533,5.073662996292114,15.887465953826904
