Unnamed: 0,L4_tcp,L4_udp,L7_http,L7_https,port_class_src,port_class_dst,pck_size,ip_dst_new,ethernet_frame_size ,ttl,total_length,protocol ,source_port,dest_port,DNS_count,NTP_count,ARP_count,cnt,L3_ip_dst_count,most_freq_d_ip,most_freq_prot,most_freq_sport,most_freq_dport,sum_et,min_et,max_et,med_et,average_et,skew_et,kurt_et,var,q3,q1,iqr,sum_e,min_e,max_e,med,average,skew_e,kurt_e,var_e,q3_e,q1_e,iqr_e,epoch_timestamp,inter_arrival_time,time_since_previously_displayed_frame
0,1,0,0,0,3,2,201,1679086845,235,255,221,6,49153,8886,0,0,0,0,5,4294967295,6,49153,6667,1054,54,235,214.0,175.66666666666666,-0.943657039984651,-0.7339362016815101,4250.888888888889,214.0,145.75,68.25,850,20,201,180.0,141.66666666666666,-0.943657039984651,-0.7339362016815101,4250.888888888889,180.0,111.75,68.25,1633373713.050756,0.0,0.0
1,1,0,0,0,2,3,89,3232270601,123,222,109,6,8886,49153,0,0,0,0,5,4294967295,6,49153,6667,1177,54,235,214.0,168.14285714285714,-0.6154044964272374,-1.0975417134874852,3983.265306122448,214.0,123.0,91.0,939,20,201,180.0,134.14285714285714,-0.6154044964272374,-1.0975417134874852,3983.265306122448,180.0,89.0,91.0,1633373713.13877,0.0880141258239746,0.0880141258239746
2,1,0,0,0,3,2,20,1679086845,54,255,40,6,49153,8886,0,0,0,0,5,4294967295,6,49153,6667,1231,54,235,168.5,153.875,-0.3143851023868682,-1.5311165982227186,4910.359375,214.0,105.75,108.25,959,20,201,134.5,119.875,-0.3143851023868682,-1.5311165982227186,4910.359375,180.0,71.75,108.25,1633373713.317918,0.1791479587554931,0.2671620845794677
3,0,1,0,0,3,2,180,4294967295,214,255,200,17,49153,6667,0,0,0,0,5,4294967295,6,49153,6667,1445,54,235,214.0,160.55555555555554,-0.5145074030371856,-1.3795544246525375,4721.802469135802,214.0,123.0,91.0,1139,20,201,180.0,126.55555555555556,-0.5145074030371861,-1.3795544246525375,4721.802469135802,180.0,89.0,91.0,1633373713.974144,0.6562259197235107,0.9233880043029785
4,1,0,0,0,3,2,89,1679086845,123,255,109,6,49153,8886,0,0,0,0,5,4294967295,6,49153,6667,1568,54,235,168.5,156.8,-0.3667214030602401,-1.3946671898329703,4376.56,214.0,123.0,91.0,1228,20,201,134.5,122.8,-0.3667214030602396,-1.3946671898329714,4376.56,180.0,89.0,91.0,1633373718.659346,4.685202121734619,5.608590126037598
5,1,0,0,0,2,3,89,3232270601,123,222,109,6,8886,49153,0,0,0,0,5,4294967295,6,49153,6667,1691,54,235,123.0,153.72727272727272,-0.2402792244807909,-1.3680880113574687,4073.1074380165296,214.0,123.0,91.0,1317,20,201,89.0,119.72727272727272,-0.2402792244807915,-1.3680880113574685,4073.1074380165287,180.0,89.0,91.0,1633373718.745703,0.0863568782806396,5.694947004318237
6,1,0,0,0,3,2,20,1679086845,54,255,40,6,49153,8886,0,0,0,0,5,4294967295,6,49153,6667,1745,54,235,123.0,145.41666666666666,-0.0906552057577483,-1.5000116200120364,4493.409722222222,214.0,105.75,108.25,1337,20,201,89.0,111.41666666666669,-0.0906552057577487,-1.500011620012036,4493.409722222222,180.0,71.75,108.25,1633373718.751482,0.0057790279388427,5.70072603225708
7,1,0,0,0,3,2,20,1679086845,54,255,40,6,49153,8886,0,0,0,0,5,4294967295,6,49153,6667,1799,54,235,123.0,138.3846153846154,0.0502227581260424,-1.5594966300160062,4741.15976331361,214.0,54.0,160.0,1357,20,201,89.0,104.3846153846154,0.0502227581260424,-1.5594966300160062,4741.15976331361,180.0,20.0,160.0,1633373718.75212,0.0006380081176757,5.701364040374756
8,0,1,0,0,3,2,180,4294967295,214,255,200,17,49153,6667,0,0,0,0,5,4294967295,6,49153,6667,2013,54,235,123.0,143.78571428571428,-0.0953590656570402,-1.589718015879187,4781.739795918367,214.0,71.25,142.75,1537,20,201,89.0,109.78571428571428,-0.0953590656570407,-1.5897180158791862,4781.739795918366,180.0,37.25,142.75,1633373719.671033,0.9189128875732422,6.620276927947998
9,0,1,0,0,3,2,180,4294967295,214,255,200,17,49153,6667,0,0,0,0,5,4294967295,6,49153,6667,2227,54,235,123.0,148.46666666666667,-0.2229273805726541,-1.57301404334688,4769.715555555556,214.0,88.5,125.5,1717,20,201,89.0,114.46666666666668,-0.2229273805726541,-1.57301404334688,4769.715555555556,180.0,54.5,125.5,1633373725.184758,5.51372504234314,12.134001970291138
