Unnamed: 0,L4_tcp,L4_udp,L7_http,L7_https,port_class_src,port_class_dst,pck_size,ip_dst_new,ethernet_frame_size ,ttl,total_length,protocol ,source_port,dest_port,DNS_count,NTP_count,ARP_count,cnt,L3_ip_dst_count,most_freq_d_ip,most_freq_prot,most_freq_sport,most_freq_dport,sum_et,min_et,max_et,med_et,average_et,skew_et,kurt_et,var,q3,q1,iqr,sum_e,min_e,max_e,med,average,skew_e,kurt_e,var_e,q3_e,q1_e,iqr_e,epoch_timestamp,inter_arrival_time,time_since_previously_displayed_frame
0,1,0,0,0,2,3,201,3232270601,235,222,221,6,8886,49153,0,0,0,0,5,4294967295,6,49153,6667,663,214,235,214.0,221.0,0.7071067811865476,-1.5,98.0,224.5,214.0,10.5,561,180,201,180.0,187.0,0.7071067811865476,-1.5,98.0,190.5,180.0,10.5,1633373648.086531,0.0,0.0
1,1,0,0,0,3,2,20,1679086845,54,255,40,6,49153,8886,0,0,0,0,5,4294967295,6,49153,6667,717,54,235,214.0,179.25,-1.1056029163119383,-0.7001250722207151,5302.6875,219.25,174.0,45.25,581,20,201,180.0,145.25,-1.1056029163119383,-0.7001250722207151,5302.6875,185.25,140.0,45.25,1633373648.133639,0.0471081733703613,0.0471081733703613
2,1,0,0,0,3,2,201,1679086845,235,255,221,6,49153,8886,0,0,0,0,5,4294967295,6,49153,6667,952,54,235,214.0,190.4,-1.430669653235456,0.1579900054387306,4739.4400000000005,235.0,214.0,21.0,782,20,201,180.0,156.4,-1.430669653235456,0.1579900054387306,4739.4400000000005,201.0,180.0,21.0,1633373648.22165,0.0880107879638671,0.1351189613342284
3,1,0,0,0,2,3,89,3232270601,123,222,109,6,8886,49153,0,0,0,0,5,4294967295,6,49153,6667,1075,54,235,214.0,179.16666666666666,-0.9169279388371218,-0.7933891503454467,4580.472222222223,229.75,145.75,84.0,871,20,201,180.0,145.16666666666666,-0.9169279388371218,-0.7933891503454467,4580.472222222223,195.75,111.75,84.0,1633373648.309615,0.0879650115966796,0.223083972930908
4,1,0,0,0,3,2,20,1679086845,54,255,40,6,49153,8886,0,0,0,0,5,4294967295,6,49153,6667,1129,54,235,214.0,161.28571428571428,-0.4577953934152133,-1.5712856509031212,5844.489795918367,224.5,88.5,136.0,891,20,201,180.0,127.28571428571428,-0.4577953934152139,-1.5712856509031212,5844.489795918367,190.5,54.5,136.0,1633373648.885972,0.5763571262359619,0.7994410991668699
5,0,1,0,0,3,2,180,4294967295,214,255,200,17,49153,6667,0,0,0,0,5,4294967295,6,49153,6667,1343,54,235,214.0,167.875,-0.6721703699817525,-1.3198127115855391,5417.859375,219.25,105.75,113.5,1071,20,201,180.0,133.875,-0.6721703699817525,-1.3198127115855391,5417.859375,185.25,71.75,113.5,1633373652.444924,3.5589520931243896,4.35839319229126
6,0,1,0,0,3,2,180,4294967295,214,255,200,17,49153,6667,0,0,0,0,5,4294967295,6,49153,6667,1557,54,235,214.0,173.0,-0.8553543897224493,-1.0286726293468949,5026.0,214.0,123.0,91.0,1251,20,201,180.0,139.0,-0.8553543897224493,-1.0286726293468949,5026.0,180.0,89.0,91.0,1633373658.245258,5.8003339767456055,10.158727169036865
7,1,0,0,0,3,2,89,1679086845,123,255,109,6,49153,8886,0,0,0,0,5,4294967295,6,49153,6667,1680,54,235,214.0,168.0,-0.6584443925691895,-1.2073006430619342,4748.4,214.0,123.0,91.0,1340,20,201,180.0,134.0,-0.6584443925691895,-1.2073006430619342,4748.4,180.0,89.0,91.0,1633373658.250198,0.0049397945404052,10.16366696357727
8,1,0,0,0,2,3,89,3232270601,123,222,109,6,8886,49153,0,0,0,0,5,4294967295,6,49153,6667,1803,54,235,214.0,163.9090909090909,-0.4963697899787985,-1.2976436314788826,4484.082644628098,214.0,123.0,91.0,1429,20,201,180.0,129.9090909090909,-0.4963697899787985,-1.2976436314788826,4484.082644628098,180.0,89.0,91.0,1633373658.3365,0.0863020420074462,10.249969005584717
9,1,0,0,0,3,2,20,1679086845,54,255,40,6,49153,8886,0,0,0,0,5,4294967295,6,49153,6667,1857,54,235,168.5,154.75,-0.3030120939966849,-1.5381526490434672,5033.1875,214.0,105.75,108.25,1449,20,201,134.5,120.75,-0.3030120939966849,-1.5381526490434672,5033.1875,180.0,71.75,108.25,1633373658.575995,0.239495038986206,10.489464044570923
