L4_tcp,L4_udp,L7_http,L7_https,port_class_src,port_class_dst,pck_size,ip_dst_new,ethernet_frame_size ,ttl,total_length,protocol ,source_port,dest_port,DNS_count,NTP_count,ARP_count,cnt,L3_ip_dst_count,most_freq_d_ip,most_freq_prot,most_freq_sport,most_freq_dport,sum_et,min_et,max_et,med_et,average_et,skew_et,kurt_et,var,q3,q1,iqr,sum_e,min_e,max_e,med,average,skew_e,kurt_e,var_e,q3_e,q1_e,iqr_e,epoch_timestamp,inter_arrival_time,time_since_previously_displayed_frame
1,0,0,1,1,3,412,3232270669,446,229,432,6,443,58133,0,0,0,0,1,3232270669,6,443,58133,446,446,446,446,446,0,-3,0,446,446,0,412,412,412,412,412,0,-3,0,412,412,0,1633440886.71259,0,0
1,0,0,1,3,1,53,911297469,87,255,73,6,58133,443,0,0,0,0,2,3232270669,6,443,443,533,87,446,266.5,266.5,0,-2,32220.25,356.25,176.75,179.5,465,53,412,232.5,232.5,0,-2,32220.25,322.25,142.75,179.5,1633440886.72589,0.0133028030395507,0.0133028030395507
1,0,0,1,1,3,385,3232270669,419,229,405,6,443,58133,0,0,0,0,2,3232270669,6,443,58133,952,87,446,419,317.333333333333,-0.692626438663935,-1.5,26648.2222222222,432.5,253,179.5,850,53,412,385,283.333333333333,-0.692626438663935,-1.5,26648.2222222222,398.5,219,179.5,1633440886.76909,0.0432040691375732,0.0565068721771239
1,0,0,1,3,1,53,911297469,87,255,73,6,58133,443,0,0,0,0,2,3232270669,6,443,443,1039,87,446,253,259.75,0.0091187754526259,-1.98785088593268,29933.6875,425.75,87,338.75,903,53,412,219,225.75,0.0091187754526259,-1.98785088593268,29933.6875,391.75,53,338.75,1633440886.78001,0.010915994644165,0.0674228668212889
1,0,0,1,1,3,20,3232270669,54,229,40,6,443,58133,0,0,0,0,2,3232270669,6,443,58133,1093,54,446,87,218.6,0.400763462047533,-1.80882736044638,30720.24,419,87,332,923,20,412,53,184.6,0.400763462047533,-1.80882736044638,30720.24,385,53,332,1633440886.8491,0.0690901279449462,0.136512994766235
1,0,0,1,3,1,283,911297469,317,255,303,6,58133,443,0,0,0,0,2,3232270669,6,443,443,1410,54,446,202,235,0.141739205415629,-1.80482619781655,26945,393.5,87,306.5,1206,20,412,168,201,0.141739205415629,-1.80482619781655,26945,359.5,53,306.5,1633440886.85197,0.0028669834136962,0.139379978179931
1,0,0,1,1,3,20,3232270669,54,229,40,6,443,58133,0,0,0,0,2,3232270669,6,443,58133,1464,54,446,87,209.142857142857,0.405619166398119,-1.67291709274031,27107.2653061224,368,70.5,297.5,1226,20,412,53,175.142857142857,0.405619166398119,-1.67291709274031,27107.2653061224,334,36.5,297.5,1633440886.88089,0.0289227962493896,0.168302774429321
1,0,0,1,1,3,53,3232270669,87,229,73,6,443,58133,0,0,0,0,2,3232270669,6,443,58133,1551,54,446,87,193.875,0.624565243026225,-1.44469841030049,25350.609375,342.5,78.75,263.75,1279,20,412,53,159.875,0.624565243026225,-1.44469841030049,25350.609375,308.5,44.75,263.75,1633440886.88607,0.0051782131195068,0.173480987548828
0,1,0,0,2,1,56,3232270593,90,255,76,17,18638,53,1,0,0,0,3,3232270669,6,443,58133,1641,54,446,87,182.333333333333,0.80955574199039,-1.17212374268759,23599.5555555556,317,87,230,1335,20,412,53,148.333333333333,0.80955574199039,-1.17212374268759,23599.5555555556,283,53,230,1633440886.92399,0.0379168987274169,0.211397886276245
1,0,0,1,1,3,414,3232270669,448,229,434,6,443,58133,1,0,0,0,3,3232270669,6,443,58133,2089,54,448,88.5,208.9,0.501550834952561,-1.61719176160076,27591.69,393.5,87,306.5,1749,20,414,54.5,174.9,0.501550834952561,-1.61719176160076,27591.69,359.5,53,306.5,1633440886.92911,0.0051229000091552,0.2165207862854
